candidate,variant,model_kind,repeat_adapt,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc,selection_score,error
raw__logreg_0.0003__r1,raw,logreg_0.0003,1.0,balanced_accuracy,0.5299999999999999,0.6722689075630253,0.6741829038340665,0.6628242074927954,125.0,47.0,70.0,115.0,0.7359836580766814,0.6877192982456141,0.6871306146572105,0.6666666666666666,107.0,37.0,52.0,89.0,0.7374901497241922,0.6111111111111112,0.6168831168831169,0.65,18.0,10.0,18.0,26.0,0.711038961038961,0.782051282051282,0.6683673469387755,0.42696629213483145,164.0,32.0,19.0,19.0,0.7538936627282493,0.7283406208987605,
raw__logreg_0.0003__r1,raw,logreg_0.0003,1.0,accuracy,0.5299999999999999,0.6722689075630253,0.6741829038340665,0.6628242074927954,125.0,47.0,70.0,115.0,0.7359836580766814,0.6877192982456141,0.6871306146572105,0.6666666666666666,107.0,37.0,52.0,89.0,0.7374901497241922,0.6111111111111112,0.6168831168831169,0.65,18.0,10.0,18.0,26.0,0.711038961038961,0.782051282051282,0.6683673469387755,0.42696629213483145,164.0,32.0,19.0,19.0,0.7538936627282493,0.7283406208987605,
raw__logreg_0.0003__r2,raw,logreg_0.0003,2.0,balanced_accuracy,0.5199999999999999,0.6778711484593838,0.6781583909490887,0.6831955922865014,118.0,54.0,61.0,124.0,0.7264299182903835,0.6736842105263158,0.6734633569739953,0.6642599277978339,100.0,44.0,49.0,92.0,0.7238967691095352,0.6944444444444444,0.6850649350649352,0.7441860465116279,18.0,10.0,12.0,32.0,0.7183441558441558,0.7393162393162394,0.6746777658431794,0.41904761904761906,151.0,45.0,16.0,22.0,0.7602040816326531,0.7885265744142017,
raw__logreg_0.0003__r2,raw,logreg_0.0003,2.0,accuracy,0.5199999999999999,0.6778711484593838,0.6781583909490887,0.6831955922865014,118.0,54.0,61.0,124.0,0.7264299182903835,0.6736842105263158,0.6734633569739953,0.6642599277978339,100.0,44.0,49.0,92.0,0.7238967691095352,0.6944444444444444,0.6850649350649352,0.7441860465116279,18.0,10.0,12.0,32.0,0.7183441558441558,0.7393162393162394,0.6746777658431794,0.41904761904761906,151.0,45.0,16.0,22.0,0.7602040816326531,0.7885265744142017,
raw__logreg_0.0003__r4,raw,logreg_0.0003,4.0,balanced_accuracy,0.4799999999999999,0.6582633053221288,0.6565839094908863,0.680628272251309,105.0,67.0,55.0,130.0,0.7158705216844752,0.6491228070175439,0.6493055555555556,0.6527777777777778,91.0,53.0,47.0,94.0,0.7167060677698975,0.6944444444444444,0.6590909090909092,0.7659574468085106,14.0,14.0,8.0,36.0,0.6696428571428571,0.6752136752136753,0.668233082706767,0.3968253968253968,133.0,63.0,13.0,25.0,0.7518796992481203,0.7605517650453391,
raw__logreg_0.0003__r4,raw,logreg_0.0003,4.0,accuracy,0.4799999999999999,0.6582633053221288,0.6565839094908863,0.680628272251309,105.0,67.0,55.0,130.0,0.7158705216844752,0.6491228070175439,0.6493055555555556,0.6527777777777778,91.0,53.0,47.0,94.0,0.7167060677698975,0.6944444444444444,0.6590909090909092,0.7659574468085106,14.0,14.0,8.0,36.0,0.6696428571428571,0.6752136752136753,0.668233082706767,0.3968253968253968,133.0,63.0,13.0,25.0,0.7518796992481203,0.7605517650453391,
raw__logreg_0.001__r1,raw,logreg_0.001,1.0,balanced_accuracy,0.61,0.6554621848739496,0.6612350722815838,0.6019417475728155,141.0,31.0,92.0,93.0,0.7133563796354495,0.6947368421052632,0.6932624113475178,0.6419753086419753,120.0,24.0,63.0,78.0,0.7368006304176518,0.5,0.5454545454545454,0.45454545454545453,21.0,7.0,29.0,15.0,0.5787337662337663,0.8333333333333334,0.677765843179377,0.4657534246575342,178.0,18.0,21.0,17.0,0.736439312567132,0.6498027541283354,
raw__logreg_0.001__r1,raw,logreg_0.001,1.0,accuracy,0.61,0.6554621848739496,0.6612350722815838,0.6019417475728155,141.0,31.0,92.0,93.0,0.7133563796354495,0.6947368421052632,0.6932624113475178,0.6419753086419753,120.0,24.0,63.0,78.0,0.7368006304176518,0.5,0.5454545454545454,0.45454545454545453,21.0,7.0,29.0,15.0,0.5787337662337663,0.8333333333333334,0.677765843179377,0.4657534246575342,178.0,18.0,21.0,17.0,0.736439312567132,0.6498027541283354,
raw__logreg_0.001__r2,raw,logreg_0.001,2.0,balanced_accuracy,0.4799999999999999,0.6610644257703081,0.6594908862350723,0.6824146981627297,106.0,66.0,55.0,130.0,0.7142363293526084,0.6771929824561403,0.6775265957446809,0.684931506849315,93.0,51.0,41.0,100.0,0.7292159180457052,0.5972222222222222,0.573051948051948,0.6741573033707865,13.0,15.0,14.0,30.0,0.614448051948052,0.7008547008547008,0.6623254564983888,0.39655172413793105,141.0,55.0,15.0,23.0,0.7360365198711063,0.6820519655112678,
raw__logreg_0.001__r2,raw,logreg_0.001,2.0,accuracy,0.4799999999999999,0.6610644257703081,0.6594908862350723,0.6824146981627297,106.0,66.0,55.0,130.0,0.7142363293526084,0.6771929824561403,0.6775265957446809,0.684931506849315,93.0,51.0,41.0,100.0,0.7292159180457052,0.5972222222222222,0.573051948051948,0.6741573033707865,13.0,15.0,14.0,30.0,0.614448051948052,0.7008547008547008,0.6623254564983888,0.39655172413793105,141.0,55.0,15.0,23.0,0.7360365198711063,0.6820519655112678,
raw__logreg_0.001__r4,raw,logreg_0.001,4.0,balanced_accuracy,0.5199999999999999,0.6750700280112045,0.6762727844123193,0.672316384180791,122.0,50.0,66.0,119.0,0.7344437460716531,0.6666666666666666,0.6661495271867612,0.6468401486988847,103.0,41.0,54.0,87.0,0.7250788022064618,0.7083333333333334,0.702922077922078,0.7529411764705882,19.0,9.0,12.0,32.0,0.7573051948051948,0.717948717948718,0.6831364124597208,0.42105263157894735,144.0,52.0,14.0,24.0,0.7359022556390978,0.7806355946495729,
raw__logreg_0.001__r4,raw,logreg_0.001,4.0,accuracy,0.48999999999999994,0.6750700280112045,0.6748428661219359,0.6847826086956522,115.0,57.0,59.0,126.0,0.7344437460716531,0.6596491228070176,0.6594267139479906,0.6498194945848376,98.0,46.0,51.0,90.0,0.7250788022064618,0.7361111111111112,0.7126623376623377,0.7912087912087912,17.0,11.0,8.0,36.0,0.7573051948051948,0.6752136752136753,0.657626208378088,0.3870967741935484,134.0,62.0,14.0,24.0,0.7359022556390978,0.7733903140229738,
raw__logreg_0.003__r1,raw,logreg_0.003,1.0,balanced_accuracy,0.63,0.6638655462184874,0.668730358265242,0.6226415094339622,138.0,34.0,86.0,99.0,0.7315839094908864,0.6877192982456141,0.6864657210401892,0.642570281124498,116.0,28.0,61.0,80.0,0.7500492513790386,0.5694444444444444,0.6087662337662337,0.5507246376811594,22.0,6.0,25.0,19.0,0.6363636363636364,0.7948717948717948,0.6654135338345865,0.42857142857142855,168.0,28.0,20.0,18.0,0.7185821697099891,0.717486098980285,
raw__logreg_0.003__r1,raw,logreg_0.003,1.0,accuracy,0.38999999999999996,0.6694677871148459,0.6659648020113136,0.705,98.0,74.0,44.0,141.0,0.7315839094908864,0.6842105263157895,0.6851359338061466,0.7077922077922078,86.0,58.0,32.0,109.0,0.7500492513790386,0.6111111111111112,0.577922077922078,0.6956521739130435,12.0,16.0,12.0,32.0,0.6363636363636364,0.6196581196581197,0.6562835660580022,0.3776223776223776,118.0,78.0,11.0,27.0,0.7185821697099891,0.6883934097189911,
raw__logreg_0.003__r2,raw,logreg_0.003,2.0,balanced_accuracy,0.48999999999999994,0.6890756302521008,0.6871307353865493,0.7116883116883117,109.0,63.0,48.0,137.0,0.7357322438717787,0.6982456140350877,0.6986554373522458,0.7074829931972789,95.0,49.0,37.0,104.0,0.7524133175728921,0.6527777777777778,0.625,0.7252747252747253,14.0,14.0,11.0,33.0,0.6306818181818182,0.7008547008547008,0.65171858216971,0.38596491228070173,142.0,54.0,16.0,22.0,0.7185821697099892,0.7400945771352748,
raw__logreg_0.003__r2,raw,logreg_0.003,2.0,accuracy,0.48999999999999994,0.6890756302521008,0.6871307353865493,0.7116883116883117,109.0,63.0,48.0,137.0,0.7357322438717787,0.6982456140350877,0.6986554373522458,0.7074829931972789,95.0,49.0,37.0,104.0,0.7524133175728921,0.6527777777777778,0.625,0.7252747252747253,14.0,14.0,11.0,33.0,0.6306818181818182,0.7008547008547008,0.65171858216971,0.38596491228070173,142.0,54.0,16.0,22.0,0.7185821697099892,0.7400945771352748,
raw__logreg_0.003__r4,raw,logreg_0.003,4.0,balanced_accuracy,0.4799999999999999,0.6722689075630253,0.6713230672532998,0.688,111.0,61.0,56.0,129.0,0.7158390949088624,0.6666666666666666,0.6668144208037825,0.6689895470383276,94.0,50.0,45.0,96.0,0.720104412923562,0.6944444444444444,0.6785714285714286,0.75,17.0,11.0,11.0,33.0,0.6915584415584415,0.6752136752136753,0.657626208378088,0.3870967741935484,134.0,62.0,14.0,24.0,0.7148227712137486,0.7807065222075118,
