profile,model_kind,repeat_adapt,threshold_objective,threshold,task_l6_label,n,correct,accuracy
adapt72_high_focus,logreg_0.0003,1,balanced_accuracy,0.49999999999999994,AB,188,143,0.7606382978723404
adapt72_high_focus,logreg_0.0003,1,balanced_accuracy,0.49999999999999994,B1,8,2,0.25
adapt72_high_focus,logreg_0.0003,1,balanced_accuracy,0.49999999999999994,B2,7,2,0.2857142857142857
adapt72_high_focus,logreg_0.0003,1,balanced_accuracy,0.49999999999999994,TC,31,18,0.5806451612903226
adapt72_high_focus,logreg_0.0003,1,accuracy,0.49999999999999994,AB,188,143,0.7606382978723404
adapt72_high_focus,logreg_0.0003,1,accuracy,0.49999999999999994,B1,8,2,0.25
adapt72_high_focus,logreg_0.0003,1,accuracy,0.49999999999999994,B2,7,2,0.2857142857142857
adapt72_high_focus,logreg_0.0003,1,accuracy,0.49999999999999994,TC,31,18,0.5806451612903226
adapt72_high_focus,logreg_0.0003,2,balanced_accuracy,0.49999999999999994,AB,188,141,0.75
adapt72_high_focus,logreg_0.0003,2,balanced_accuracy,0.49999999999999994,B1,8,2,0.25
adapt72_high_focus,logreg_0.0003,2,balanced_accuracy,0.49999999999999994,B2,7,2,0.2857142857142857
adapt72_high_focus,logreg_0.0003,2,balanced_accuracy,0.49999999999999994,TC,31,20,0.6451612903225806
adapt72_high_focus,logreg_0.0003,2,accuracy,0.49999999999999994,AB,188,141,0.75
adapt72_high_focus,logreg_0.0003,2,accuracy,0.49999999999999994,B1,8,2,0.25
adapt72_high_focus,logreg_0.0003,2,accuracy,0.49999999999999994,B2,7,2,0.2857142857142857
adapt72_high_focus,logreg_0.0003,2,accuracy,0.49999999999999994,TC,31,20,0.6451612903225806
adapt72_high_focus,logreg_0.0003,4,balanced_accuracy,0.5599999999999999,AB,188,158,0.8404255319148937
adapt72_high_focus,logreg_0.0003,4,balanced_accuracy,0.5599999999999999,B1,8,3,0.375
adapt72_high_focus,logreg_0.0003,4,balanced_accuracy,0.5599999999999999,B2,7,2,0.2857142857142857
adapt72_high_focus,logreg_0.0003,4,balanced_accuracy,0.5599999999999999,TC,31,18,0.5806451612903226
adapt72_high_focus,logreg_0.0003,4,accuracy,0.5299999999999999,AB,188,151,0.8031914893617021
adapt72_high_focus,logreg_0.0003,4,accuracy,0.5299999999999999,B1,8,3,0.375
