eval_group,task_l6_label,n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp
third_holdout,AB,188,0.6808510638297872,,0.0,128,60,0,0
third_holdout,B1,8,0.5,,0.0,4,4,0,0
third_holdout,B2,7,0.7142857142857143,,0.8333333333333334,0,0,2,5
third_holdout,TC,31,0.6774193548387096,,0.8076923076923077,0,0,10,21
old,A,44,0.5227272727272727,,0.0,23,21,0,0
old,AB,50,0.8,,0.0,40,10,0,0
old,B1,50,0.46,,0.0,23,27,0,0
old,B2,60,0.65,,0.7878787878787878,0,0,21,39
old,B3,24,0.5833333333333334,,0.7368421052631579,0,0,10,14
old,TC,57,0.7017543859649122,,0.8247422680412371,0,0,17,40
adapt72,AB,24,0.5416666666666666,,0.0,13,11,0,0
adapt72,B1,4,0.0,,0.0,0,4,0,0
adapt72,B2,22,0.6363636363636364,,0.7777777777777778,0,0,8,14
adapt72,TC,22,0.8181818181818182,,0.9,0,0,4,18
