variant,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,selection_score,old_guard_090
crop,logreg_bal_c0.03,none,high_sens80,0.38999999999999996,0.622673434856176,0.6563718561123026,0.6135181975736569,191,177,46,177,0.7937219730941704,0.5190217391304348,0.7269082667186586,0.38999999999999996,0.6596491228070176,0.6614213947990544,0.7069486404833837,71,73,24,117,0.8297872340425532,0.4930555555555556,0.7235520094562647,0.38999999999999996,0.5882352941176471,0.6337108013937283,0.4878048780487805,120,104,22,60,0.7317073170731707,0.5357142857142857,0.7082425958188154,0.4177656650497854,False
crop,logreg_bal_c0.03,domain_label,high_sens80,0.38999999999999996,0.622673434856176,0.6563718561123026,0.6135181975736569,191,177,46,177,0.7937219730941704,0.5190217391304348,0.7267620393838956,0.38999999999999996,0.656140350877193,0.6579491725768322,0.7048192771084337,70,74,24,117,0.8297872340425532,0.4861111111111111,0.7246355397951143,0.38999999999999996,0.5915032679738562,0.6359429442508711,0.4897959183673469,121,103,22,60,0.7317073170731707,0.5401785714285714,0.7059560104529616,0.41383670969571384,False
crop,logreg_plain_c0.01,none,high_sens80,0.39499999999999996,0.626057529610829,0.6573223337882628,0.6129597197898424,195,173,48,175,0.7847533632286996,0.529891304347826,0.7296378436342367,0.39499999999999996,0.6526315789473685,0.6542553191489362,0.6972477064220184,72,72,27,114,0.8085106382978723,0.5,0.7284278959810875,0.39499999999999996,0.6013071895424836,0.6465047909407666,0.5,123,101,21,61,0.7439024390243902,0.5491071428571429,0.7079159407665505,0.4136473656722497,False
wpc_stats,logreg_plain_c0.003,domain_label,high_sens80,0.4799999999999999,0.6294416243654822,0.6582728114642231,0.6123893805309735,199,169,50,173,0.7757847533632287,0.5407608695652174,0.7261771300448431,0.4799999999999999,0.6526315789473685,0.6543291962174941,0.6990881458966566,71,73,26,115,0.8156028368794326,0.4930555555555556,0.7411347517730497,0.4799999999999999,0.6078431372549019,0.6393728222996515,0.4915254237288136,128,96,24,58,0.7073170731707317,0.5714285714285714,0.6799869337979094,0.4128371277429662,False
crop,logreg_plain_c0.03,domain_label,high_sens80,0.38999999999999996,0.6209813874788495,0.6550131604601286,0.6124567474048442,190,178,46,177,0.7937219730941704,0.5163043478260869,0.7267011113277442,0.38999999999999996,0.656140350877193,0.6579491725768322,0.7048192771084337,70,74,24,117,0.8297872340425532,0.4861111111111111,0.7248817966903074,0.38999999999999996,0.5882352941176471,0.6337108013937283,0.4878048780487805,120,104,22,60,0.7317073170731707,0.5357142857142857,0.7060648954703832,0.41251347206732913,False
crop,logreg_plain_c0.03,none,high_sens80,0.30999999999999994,0.6192893401015228,0.6563048352505362,0.6153846153846154,186,182,43,180,0.8071748878923767,0.5054347826086957,0.729515987521934,0.30999999999999994,0.6526315789473685,0.65447695035461,0.7027027027027027,69,75,24,117,0.8297872340425532,0.4791666666666667,0.7262608353033885,0.30999999999999994,0.5882352941176471,0.6453070557491289,0.5,117,107,19,63,0.7682926829268293,0.5223214285714286,0.7102025261324042,0.4107401553914932,False
wpc_stats,logreg_plain_c0.03,none,balanced_accuracy,0.3,0.6159052453468697,0.6571212712029636,0.6184873949579832,180,188,39,184,0.8251121076233184,0.4891304347826087,0.7207789042698381,0.3,0.6491228070175439,0.6512263593380615,0.7058823529411765,65,79,21,120,0.851063829787234,0.4513888888888889,0.7326142631993696,0.3,0.5849673202614379,0.6469403310104529,0.5019607843137255,115,109,18,64,0.7804878048780488,0.5133928571428571,0.6818379790940767,0.40539083957789457,False
wpc_stats,logreg_plain_c0.03,none,high_sens80,0.3,0.6159052453468697,0.6571212712029636,0.6184873949579832,180,188,39,184,0.8251121076233184,0.4891304347826087,0.7207789042698381,0.3,0.6491228070175439,0.6512263593380615,0.7058823529411765,65,79,21,120,0.851063829787234,0.4513888888888889,0.7326142631993696,0.3,0.5849673202614379,0.6469403310104529,0.5019607843137255,115,109,18,64,0.7804878048780488,0.5133928571428571,0.6818379790940767,0.40539083957789457,False
crop,logreg_bal_c0.01,domain_label,high_sens80,0.43999999999999995,0.6192893401015228,0.6536544648079547,0.6113989637305699,189,179,46,177,0.7937219730941704,0.5135869565217391,0.7277612595047768,0.43999999999999995,0.6491228070175439,0.6509308510638298,0.6987951807228916,69,75,25,116,0.8226950354609929,0.4791666666666667,0.7269503546099291,0.43999999999999995,0.5915032679738562,0.639808362369338,0.4939271255060729,120,104,21,61,0.7439024390243902,0.5357142857142857,0.7043771777003485,0.4044697860457743,False
crop,logreg_plain_c0.01,domain_label,high_sens80,0.43999999999999995,0.6192893401015228,0.6536544648079547,0.6113989637305699,189,179,46,177,0.7937219730941704,0.5135869565217391,0.7277003314486254,0.43999999999999995,0.6491228070175439,0.6509308510638298,0.6987951807228916,69,75,25,116,0.8226950354609929,0.4791666666666667,0.7268026004728132,0.43999999999999995,0.5915032679738562,0.639808362369338,0.4939271255060729,120,104,21,61,0.7439024390243902,0.5357142857142857,0.7041594076655052,0.4044697860457743,False
