feature_set,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc,old_guard_092,old_guard_090,selection_score
prob_only,logreg_bal_c0.03,none,old_third_balanced,0.4599999999999999,0.8494077834179357,0.8516889257165139,0.8118393234672304,310,58,31,192,0.8609865470852018,0.842391304347826,0.8962638915968025,0.4599999999999999,0.9192982456140351,0.9192523640661938,0.9181494661921709,133,11,12,129,0.9148936170212766,0.9236111111111112,0.9472517730496454,0.4599999999999999,0.7843137254901961,0.7792356271777003,0.65625,177,47,19,63,0.7682926829268293,0.7901785714285714,0.7907229965156795,0.4599999999999999,0.6944444444444444,0.6266233766233766,0.7884615384615384,9,19,3,41,0.9318181818181818,0.32142857142857145,0.6939935064935066,0.4599999999999999,0.811965811965812,0.7180451127819549,0.5,168,28,16,22,0.5789473684210527,0.8571428571428571,0.674140708915145,False,True,0.8492386744902258
prob_only,logreg_bal_c0.03,none,high_sensitivity,0.4599999999999999,0.8494077834179357,0.8516889257165139,0.8118393234672304,310,58,31,192,0.8609865470852018,0.842391304347826,0.8962638915968025,0.4599999999999999,0.9192982456140351,0.9192523640661938,0.9181494661921709,133,11,12,129,0.9148936170212766,0.9236111111111112,0.9472517730496454,0.4599999999999999,0.7843137254901961,0.7792356271777003,0.65625,177,47,19,63,0.7682926829268293,0.7901785714285714,0.7907229965156795,0.4599999999999999,0.6944444444444444,0.6266233766233766,0.7884615384615384,9,19,3,41,0.9318181818181818,0.32142857142857145,0.6939935064935066,0.4599999999999999,0.811965811965812,0.7180451127819549,0.5,168,28,16,22,0.5789473684210527,0.8571428571428571,0.674140708915145,False,True,0.8492386744902258
prob_only,logreg_bal_c0.03,domain_label,old_third_balanced,0.4549999999999999,0.8477157360406091,0.85033023006434,0.810126582278481,309,59,31,192,0.8609865470852018,0.8396739130434783,0.8962151491518814,0.4549999999999999,0.9192982456140351,0.9192523640661938,0.9181494661921709,133,11,12,129,0.9148936170212766,0.9236111111111112,0.9472025216706068,0.4549999999999999,0.7810457516339869,0.7770034843205575,0.6528497409326425,176,48,19,63,0.7682926829268293,0.7857142857142857,0.7897974738675959,0.4549999999999999,0.6944444444444444,0.6266233766233766,0.7884615384615384,9,19,3,41,0.9318181818181818,0.32142857142857145,0.6931818181818181,0.4549999999999999,0.8076923076923077,0.7154940923737916,0.4943820224719101,167,29,16,22,0.5789473684210527,0.8520408163265306,0.6734693877551019,False,True,0.8479895498403658
prob_only,logreg_bal_c0.03,domain_label,high_sensitivity,0.4549999999999999,0.8477157360406091,0.85033023006434,0.810126582278481,309,59,31,192,0.8609865470852018,0.8396739130434783,0.8962151491518814,0.4549999999999999,0.9192982456140351,0.9192523640661938,0.9181494661921709,133,11,12,129,0.9148936170212766,0.9236111111111112,0.9472025216706068,0.4549999999999999,0.7810457516339869,0.7770034843205575,0.6528497409326425,176,48,19,63,0.7682926829268293,0.7857142857142857,0.7897974738675959,0.4549999999999999,0.6944444444444444,0.6266233766233766,0.7884615384615384,9,19,3,41,0.9318181818181818,0.32142857142857145,0.6931818181818181,0.4549999999999999,0.8076923076923077,0.7154940923737916,0.4943820224719101,167,29,16,22,0.5789473684210527,0.8520408163265306,0.6734693877551019,False,True,0.8479895498403658
prob_only,logreg_bal_c0.01,domain_label,high_sensitivity,0.48499999999999993,0.8409475465313029,0.8413616201988692,0.8,309,59,35,188,0.8430493273542601,0.8396739130434783,0.8963004484304932,0.48499999999999993,0.9228070175438596,0.922798463356974,0.9219858156028369,133,11,11,130,0.9219858156028369,0.9236111111111112,0.9516351457840819,0.48499999999999993,0.7647058823529411,0.7465156794425087,0.6170212765957447,176,48,24,58,0.7073170731707317,0.7857142857142857,0.7897974738675957,0.48499999999999993,0.625,0.5698051948051949,0.7272727272727273,9,19,8,36,0.8181818181818182,0.32142857142857145,0.6939935064935066,0.48499999999999993,0.8076923076923077,0.7154940923737916,0.4943820224719101,167,29,16,22,0.5789473684210527,0.8520408163265306,0.6917293233082706,True,True,0.8391497128034837
prob_only,logreg_bal_c0.01,none,high_sensitivity,0.48999999999999994,0.8409475465313029,0.8404781633846754,0.7991452991452992,310,58,36,187,0.8385650224215246,0.842391304347826,0.8962273347631117,0.48999999999999994,0.9228070175438596,0.922798463356974,0.9219858156028369,133,11,11,130,0.9219858156028369,0.9236111111111112,0.951881402679275,0.48999999999999994,0.7647058823529411,0.7426502613240418,0.6129032258064516,177,47,25,57,0.6951219512195121,0.7901785714285714,0.7901785714285715,0.48999999999999994,0.625,0.5698051948051949,0.7272727272727273,9,19,8,36,0.8181818181818182,0.32142857142857145,0.6915584415584415,0.48999999999999994,0.8076923076923077,0.7048872180451128,0.4827586206896552,168,28,17,21,0.5526315789473685,0.8571428571428571,0.6909237379162192,True,True,0.837835470643205
prob_only,logreg_bal_c0.01,none,old_third_balanced,0.5499999999999999,0.8578680203045685,0.8452305517644765,0.8082191780821918,330,38,46,177,0.7937219730941704,0.8967391304347826,0.8962273347631117,0.5499999999999999,0.9192982456140351,0.9191784869976359,0.9175627240143369,134,10,13,128,0.9078014184397163,0.9305555555555556,0.951881402679275,0.5499999999999999,0.8006535947712419,0.7362804878048781,0.6163522012578616,196,28,33,49,0.5975609756097561,0.875,0.7901785714285715,0.5499999999999999,0.6944444444444444,0.698051948051948,0.7317073170731707,20,8,14,30,0.6818181818181818,0.7142857142857143,0.6915584415584415,0.5499999999999999,0.8333333333333334,0.6989795918367347,0.4935064935064935,176,20,19,19,0.5,0.8979591836734694,0.6909237379162192,False,True,0.8369474961481055
prob_only,logreg_bal_c0.01,domain_label,old_third_balanced,0.5499999999999999,0.8578680203045685,0.8452305517644765,0.8082191780821918,330,38,46,177,0.7937219730941704,0.8967391304347826,0.8963004484304932,0.5499999999999999,0.9192982456140351,0.9191784869976359,0.9175627240143369,134,10,13,128,0.9078014184397163,0.9305555555555556,0.9516351457840819,0.5499999999999999,0.8006535947712419,0.7362804878048781,0.6163522012578616,196,28,33,49,0.5975609756097561,0.875,0.7897974738675957,0.5499999999999999,0.6944444444444444,0.698051948051948,0.7317073170731707,20,8,14,30,0.6818181818181818,0.7142857142857143,0.6939935064935066,0.5499999999999999,0.8333333333333334,0.6989795918367347,0.4935064935064935,176,20,19,19,0.5,0.8979591836734694,0.6917293233082706,False,True,0.8369474961481055
prob_dino64,logreg_bal_c0.03,domain_label,old_third_balanced,0.57,0.8646362098138748,0.8524322480015598,0.817351598173516,332,36,44,179,0.8026905829596412,0.9021739130434783,0.89755556638721,0.57,0.9157894736842105,0.9157062647754137,0.9142857142857143,133,11,13,128,0.9078014184397163,0.9236111111111112,0.9408983451536643,0.57,0.8169934640522876,0.7551720383275261,0.6455696202531646,199,25,31,51,0.6219512195121951,0.8883928571428571,0.8095601045296167,0.57,0.6944444444444444,0.6655844155844155,0.7608695652173914,15,13,9,35,0.7954545454545454,0.5357142857142857,0.6939935064935064,0.57,0.8547008547008547,0.6799140708915146,0.48484848484848486,184,12,22,16,0.42105263157894735,0.9387755102040817,0.7187164339419979,False,True,0.8335737967004186
prob_dino64,logreg_bal_c0.03,domain_label,accuracy,0.57,0.8646362098138748,0.8524322480015598,0.817351598173516,332,36,44,179,0.8026905829596412,0.9021739130434783,0.89755556638721,0.57,0.9157894736842105,0.9157062647754137,0.9142857142857143,133,11,13,128,0.9078014184397163,0.9236111111111112,0.9408983451536643,0.57,0.8169934640522876,0.7551720383275261,0.6455696202531646,199,25,31,51,0.6219512195121951,0.8883928571428571,0.8095601045296167,0.57,0.6944444444444444,0.6655844155844155,0.7608695652173914,15,13,9,35,0.7954545454545454,0.5357142857142857,0.6939935064935064,0.57,0.8547008547008547,0.6799140708915146,0.48484848484848486,184,12,22,16,0.42105263157894735,0.9387755102040817,0.7187164339419979,False,True,0.8335737967004186
