variant,model,objective,threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity,old_specificity,old_auc,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity,third_specificity,third_auc
whole,logreg_c0.003,balanced_accuracy,0.5099999999999999,0.7368421052631579,0.7367760047281324,0.7330960854092526,107,37,38,103,0.7304964539007093,0.7430555555555556,0.7815701339637511,0.6993464052287581,0.6168336236933798,0.43902439024390244,178,46,46,36,0.43902439024390244,0.7946428571428571,0.6822190766550522
whole,logreg_c0.003,accuracy,0.5099999999999999,0.7368421052631579,0.7367760047281324,0.7330960854092526,107,37,38,103,0.7304964539007093,0.7430555555555556,0.7815701339637511,0.6993464052287581,0.6168336236933798,0.43902439024390244,178,46,46,36,0.43902439024390244,0.7946428571428571,0.6822190766550522
whole,logreg_c0.003,sens90,0.31999999999999995,0.6596491228070176,0.6619385342789599,0.7188405797101449,64,80,17,124,0.8794326241134752,0.4444444444444444,0.7815701339637511,0.5751633986928104,0.6286476480836236,0.48412698412698413,115,109,21,61,0.7439024390243902,0.5133928571428571,0.6822190766550522
whole,logreg_c0.01,balanced_accuracy,0.5199999999999999,0.7157894736842105,0.7154994089834515,0.7054545454545454,107,37,44,97,0.6879432624113475,0.7430555555555556,0.7726063829787234,0.6830065359477124,0.6095383275261325,0.4327485380116959,172,52,45,37,0.45121951219512196,0.7678571428571429,0.6607687282229966
whole,logreg_c0.01,accuracy,0.5199999999999999,0.7157894736842105,0.7154994089834515,0.7054545454545454,107,37,44,97,0.6879432624113475,0.7430555555555556,0.7726063829787234,0.6830065359477124,0.6095383275261325,0.4327485380116959,172,52,45,37,0.45121951219512196,0.7678571428571429,0.6607687282229966
whole,logreg_c0.01,sens90,0.15999999999999998,0.6385964912280702,0.6416962174940899,0.7193460490463215,50,94,9,132,0.9361702127659575,0.3472222222222222,0.7726063829787234,0.4934640522875817,0.5921711672473868,0.45993031358885017,85,139,16,66,0.8048780487804879,0.3794642857142857,0.6607687282229966
whole,logreg_c0.03,balanced_accuracy,0.61,0.7192982456140351,0.7186022458628842,0.696969696969697,113,31,49,92,0.6524822695035462,0.7847222222222222,0.7672379826635146,0.6993464052287581,0.6013719512195121,0.41025641025641024,182,42,50,32,0.3902439024390244,0.8125,0.6489002613240418
whole,logreg_c0.03,accuracy,0.61,0.7192982456140351,0.7186022458628842,0.696969696969697,113,31,49,92,0.6524822695035462,0.7847222222222222,0.7672379826635146,0.6993464052287581,0.6013719512195121,0.41025641025641024,182,42,50,32,0.3902439024390244,0.8125,0.6489002613240418
whole,logreg_c0.03,sens90,0.09999999999999999,0.6385964912280702,0.6416223404255319,0.7178082191780822,51,93,10,131,0.9290780141843972,0.3541666666666667,0.7672379826635146,0.49673202614379086,0.5944033101045296,0.46153846153846156,86,138,16,66,0.8048780487804879,0.38392857142857145,0.6489002613240418
whole,logreg_c0.1,balanced_accuracy,0.6599999999999999,0.7157894736842105,0.7149083924349882,0.6872586872586872,115,29,52,89,0.6312056737588653,0.7986111111111112,0.7620173364854216,0.6830065359477124,0.5824804006968641,0.3821656050955414,179,45,52,30,0.36585365853658536,0.7991071428571429,0.6405161149825784
whole,logreg_c0.1,accuracy,0.6599999999999999,0.7157894736842105,0.7149083924349882,0.6872586872586872,115,29,52,89,0.6312056737588653,0.7986111111111112,0.7620173364854216,0.6830065359477124,0.5824804006968641,0.3821656050955414,179,45,52,30,0.36585365853658536,0.7991071428571429,0.6405161149825784
whole,logreg_c0.1,sens90,0.06,0.6456140350877193,0.6484190307328606,0.7186629526462396,55,89,12,129,0.9148936170212766,0.3819444444444444,0.7620173364854216,0.5065359477124183,0.5856380662020906,0.4509090909090909,93,131,20,62,0.7560975609756098,0.41517857142857145,0.6405161149825784
whole,logreg_c0.3,balanced_accuracy,0.7,0.712280701754386,0.711436170212766,0.6846153846153846,114,30,52,89,0.6312056737588653,0.7916666666666666,0.7591115051221433,0.6830065359477124,0.5824804006968641,0.3821656050955414,179,45,52,30,0.36585365853658536,0.7991071428571429,0.6349085365853658
whole,logreg_c0.3,accuracy,0.7,0.712280701754386,0.711436170212766,0.6846153846153846,114,30,52,89,0.6312056737588653,0.7916666666666666,0.7591115051221433,0.6830065359477124,0.5824804006968641,0.3821656050955414,179,45,52,30,0.36585365853658536,0.7991071428571429,0.6349085365853658
whole,logreg_c0.3,sens90,0.05,0.6385964912280702,0.6411790780141844,0.7082152974504249,57,87,16,125,0.8865248226950354,0.3958333333333333,0.7591115051221433,0.5196078431372549,0.5713741289198606,0.43243243243243246,103,121,26,56,0.6829268292682927,0.45982142857142855,0.6349085365853658
whole,logreg_c1,balanced_accuracy,0.7599999999999999,0.712280701754386,0.711436170212766,0.6846153846153846,114,30,52,89,0.6312056737588653,0.7916666666666666,0.7569936958234831,0.6830065359477124,0.5824804006968641,0.3821656050955414,179,45,52,30,0.36585365853658536,0.7991071428571429,0.6312608885017422
whole,logreg_c1,accuracy,0.7599999999999999,0.712280701754386,0.711436170212766,0.6846153846153846,114,30,52,89,0.6312056737588653,0.7916666666666666,0.7569936958234831,0.6830065359477124,0.5824804006968641,0.3821656050955414,179,45,52,30,0.36585365853658536,0.7991071428571429,0.6312608885017422
whole,logreg_c1,sens90,0.06,0.656140350877193,0.6583185579196218,0.7134502923976608,65,79,19,122,0.8652482269503546,0.4513888888888889,0.7569936958234831,0.5555555555555556,0.5843314459930313,0.4380165289256198,117,107,29,53,0.6463414634146342,0.5223214285714286,0.6312608885017422
crop,logreg_c0.003,balanced_accuracy,0.4499999999999999,0.7017543859649122,0.7022754137115839,0.7138047138047138,94,50,35,106,0.75177304964539,0.6527777777777778,0.757141449960599,0.6699346405228758,0.63926393728223,0.48205128205128206,158,66,35,47,0.573170731707317,0.7053571428571429,0.6870644599303136
crop,logreg_c0.003,accuracy,0.4499999999999999,0.7017543859649122,0.7022754137115839,0.7138047138047138,94,50,35,106,0.75177304964539,0.6527777777777778,0.757141449960599,0.6699346405228758,0.63926393728223,0.48205128205128206,158,66,35,47,0.573170731707317,0.7053571428571429,0.6870644599303136
crop,logreg_c0.003,sens90,0.25999999999999995,0.631578947368421,0.6344562647754137,0.7091412742382271,52,92,13,128,0.9078014184397163,0.3611111111111111,0.757141449960599,0.477124183006536,0.5848758710801394,0.4557823129251701,79,145,15,67,0.8170731707317073,0.35267857142857145,0.6870644599303136
crop,logreg_c0.01,balanced_accuracy,0.62,0.7052631578947368,0.7044178486997636,0.676923076923077,113,31,53,88,0.624113475177305,0.7847222222222222,0.7545311268715524,0.7189542483660131,0.6147648083623694,0.4266666666666667,188,36,50,32,0.3902439024390244,0.8392857142857143,0.6610953832752613
