accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,candidate,threshold
0.7192982456140351,0.7191193853427896,0.7122302158273381,106,38,42,99,0.7517237982663515,logreg_c003,0.5599999999999999
0.7192982456140351,0.7190455082742317,0.7101449275362319,107,37,43,98,0.7648246650906226,logreg_c0003,0.5399999999999999
0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.7578309692671396,logreg_c001,0.57
0.712280701754386,0.7121010638297872,0.7050359712230215,105,39,43,98,0.7471434200157604,logreg_c01,0.57
0.7087719298245614,0.7090721040189125,0.7147766323024055,98,46,37,104,0.7578802206461782,svc_c1,0.4699999999999999
0.7087719298245614,0.7079639479905437,0.6819923371647509,113,31,52,89,0.7355693459416863,extra_d3_l4,0.5099999999999999
0.7052631578947368,0.7057476359338062,0.7162162162162162,95,49,35,106,0.7450748620961387,extra_d5_l8,0.48999999999999994
0.7052631578947368,0.704934988179669,0.6934306569343066,106,38,46,95,0.7446808510638299,logreg_c03,0.63
0.7052631578947368,0.704934988179669,0.6934306569343066,106,38,46,95,0.7424645390070922,logreg_c10,0.6599999999999999
0.6947368421052632,0.6954048463356974,0.7109634551495017,91,53,34,107,0.7459121355397951,extra_d5_l2,0.4799999999999999
0.6947368421052632,0.6946660756501182,0.6903914590747331,101,43,44,97,0.7332052797478329,rf_d7,0.49999999999999994
0.6947368421052632,0.6945183215130024,0.6859205776173285,103,41,46,95,0.7412332545311269,extra_d7_l2,0.49999999999999994
0.6947368421052632,0.6935579196217494,0.6533864541832669,116,28,59,82,0.7516745468873128,extra_d5_l4,0.5199999999999999
0.6912280701754386,0.6900118203309693,0.648,116,28,60,81,0.7369483845547674,extra_d7_l4,0.5199999999999999
0.6877192982456141,0.6870567375886525,0.6641509433962264,108,36,53,88,0.7333037825059101,extra_dnone_l2,0.5099999999999999
0.6842105263157895,0.6844710401891253,0.6896551724137931,95,49,41,100,0.7413810086682427,extra_d7_l8,0.48999999999999994
0.6842105263157895,0.6841755319148937,0.6808510638297872,99,45,45,96,0.7467494089834514,extra_dnone_l8,0.49999999999999994
0.6842105263157895,0.6833628841607564,0.6538461538461539,110,34,56,85,0.7382781717888101,extra_dnone_l4,0.5199999999999999
0.6807017543859649,0.6804816784869976,0.6714801444043321,101,43,48,93,0.727738376674547,rf_d5,0.49999999999999994
0.6771929824561403,0.6770833333333333,0.6714285714285714,99,45,47,94,0.7145882584712372,extra_d3_l2,0.49999999999999994
0.6771929824561403,0.676418439716312,0.648854961832061,108,36,56,85,0.7358156028368794,rf_d3,0.5099999999999999
0.6701754385964912,0.6690307328605201,0.626984126984127,112,32,62,79,0.7174940898345153,extra_d3_l8,0.5099999999999999
0.6666666666666666,0.665410756501182,0.6184738955823293,113,31,64,77,0.6936564223798267,mlp96_a003,0.7499999999999999
0.6385964912280702,0.638815011820331,0.643598615916955,89,55,48,93,0.6874507486209614,mlp64_32_a003,0.49999999999999994
0.6350877192982456,0.635195035460993,0.6363636363636364,90,54,50,91,0.6822793538219071,knn11,0.49999999999999994
0.624561403508772,0.6216755319148937,0.47804878048780486,129,15,92,49,0.662677304964539,gb_d2_lr03,0.6499999999999999
0.6070175438596491,0.6090425531914894,0.6686390532544378,60,84,28,113,0.6505122143420015,gb_d1_lr03,0.43999999999999995
0.6,0.600177304964539,0.6041666666666666,84,60,54,87,0.6335943656422379,svc_c03,0.49999999999999994
0.5824561403508772,0.5800827423167849,0.45662100456621,116,28,91,50,0.6144109535066983,knn7,0.58
