accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,candidate,threshold
0.7087719298245614,0.7088504728132388,0.7087719298245614,101,43,40,101,0.7645291568163908,logreg_c10,0.37999999999999995
0.7087719298245614,0.7078900709219857,0.6795366795366795,114,30,53,88,0.7666469661150512,logreg_c003,0.61
0.7087719298245614,0.707816193853428,0.6770428015564203,115,29,54,87,0.767188731284476,logreg_c001,0.6
0.7052631578947368,0.7044917257683215,0.6793893129770993,112,32,52,89,0.7410608747044917,svc_c1,0.5399999999999999
0.7052631578947368,0.7044178486997636,0.676923076923077,113,31,53,88,0.7645291568163909,logreg_c01,0.61
0.7052631578947368,0.7044178486997636,0.676923076923077,113,31,53,88,0.764381402679275,logreg_c03,0.62
0.7017543859649122,0.7007239952718676,0.6666666666666666,115,29,56,85,0.7385244286840031,rf_d5,0.5199999999999999
0.6982456140350877,0.6990986997635934,0.7189542483660131,89,55,31,110,0.7658589440504334,logreg_c0003,0.3999999999999999
0.6982456140350877,0.6986554373522458,0.7074829931972789,95,49,37,104,0.7384751773049645,extra_d5_l8,0.48999999999999994
0.6947368421052632,0.694813829787234,0.6947368421052632,99,45,42,99,0.7466509062253743,extra_dnone_l2,0.48999999999999994
0.6947368421052632,0.6940011820330969,0.6692015209125475,110,34,53,88,0.7234535066981875,extra_d7_l4,0.5099999999999999
0.6912280701754386,0.6904550827423168,0.6641221374045801,110,34,54,87,0.7114361702127661,mlp96_a003,0.8799999999999999
0.6877192982456141,0.6876477541371158,0.6832740213523132,100,44,45,96,0.7211386918833727,gb_d1_lr03,0.48999999999999994
0.6842105263157895,0.6845449172576832,0.6917808219178082,94,50,40,101,0.7459121355397951,rf_d7,0.4799999999999999
0.6807017543859649,0.6797429078014184,0.6459143968871596,111,33,58,83,0.724537037037037,extra_d5_l2,0.5099999999999999
0.6807017543859649,0.6790041371158393,0.6160337552742616,121,23,68,73,0.7240445232466509,extra_d7_l8,0.5299999999999999
0.6771929824561403,0.6775265957446809,0.684931506849315,93,51,41,100,0.7330575256107171,extra_dnone_l8,0.48999999999999994
0.6771929824561403,0.6769355791962175,0.6666666666666666,101,43,49,92,0.7209416863672182,extra_d3_l4,0.49999999999999994
0.6771929824561403,0.676418439716312,0.648854961832061,108,36,56,85,0.7116331757289205,extra_d3_l8,0.5099999999999999
0.6771929824561403,0.6751625295508275,0.5964912280701754,125,19,73,68,0.7302501970055163,extra_d5_l4,0.5399999999999999
0.6736842105263158,0.6742021276595744,0.6868686868686869,90,54,39,102,0.7067080378250591,mlp64_32_a003,0.37999999999999995
0.6736842105263158,0.6732417257683215,0.6568265682656826,103,41,52,89,0.7223207249802995,extra_d7_l2,0.49999999999999994
0.6736842105263158,0.6730200945626478,0.6490566037735849,106,38,55,86,0.7249310480693459,extra_dnone_l4,0.5099999999999999
0.6701754385964912,0.670951536643026,0.6907894736842105,86,58,36,105,0.7168538219070135,rf_d3,0.4799999999999999
0.6701754385964912,0.6701388888888888,0.6666666666666666,97,47,47,94,0.7133077226162333,extra_d3_l2,0.49999999999999994
0.6631578947368421,0.6631205673758864,0.6595744680851063,96,48,48,93,0.6989263199369582,gb_d2_lr03,0.49999999999999994
0.656140350877193,0.6558067375886525,0.6423357664233577,99,45,53,88,0.6924497635933806,svc_c03,0.49999999999999994
0.6385964912280702,0.6394060283687943,0.6622950819672131,81,63,40,101,0.6707052797478329,knn11,0.49999999999999994
0.6140350877192983,0.6119976359338062,0.5175438596491229,116,28,82,59,0.6212322695035462,knn7,0.58
