accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,candidate,threshold
0.7228070175438597,0.7221483451536643,0.7018867924528301,113,31,48,93,0.772655634357762,logreg_c001,0.58
0.7192982456140351,0.7190455082742317,0.7101449275362319,107,37,43,98,0.7773837667454688,logreg_c0003,0.5199999999999999
0.7192982456140351,0.7189716312056738,0.708029197080292,108,36,44,97,0.7685185185185186,logreg_c003,0.5399999999999999
0.7192982456140351,0.7184544917257684,0.6923076923076923,115,29,51,90,0.7561071710007881,rf_d7,0.5099999999999999
0.7157894736842105,0.7157210401891253,0.7117437722419929,104,40,41,100,0.7658589440504335,svc_c1,0.48999999999999994
0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.7652679275019699,logreg_c01,0.59
0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.7640366430260047,logreg_c03,0.63
0.7157894736842105,0.7151300236406619,0.6943396226415094,112,32,49,92,0.7426615445232467,mlp96_a003,0.74
0.7087719298245614,0.7084072104018913,0.6959706959706959,107,37,46,95,0.7626576044129235,logreg_c10,0.6
0.7087719298245614,0.707816193853428,0.6770428015564203,115,29,54,87,0.753053585500394,extra_d5_l4,0.5099999999999999
0.7087719298245614,0.7073729314420805,0.6612244897959184,121,23,60,81,0.7469956658786446,extra_d7_l4,0.5299999999999999
0.7052631578947368,0.7053782505910166,0.7062937062937062,100,44,40,101,0.7370961386918833,extra_d3_l4,0.49999999999999994
0.7017543859649122,0.7021276595744681,0.7098976109215017,96,48,37,104,0.7590130023640661,extra_dnone_l8,0.48999999999999994
0.7017543859649122,0.7008717494089834,0.6718146718146718,113,31,54,87,0.7483254531126871,extra_d5_l2,0.5099999999999999
0.6982456140350877,0.6981382978723405,0.6928571428571428,102,42,44,97,0.756353427895981,extra_dnone_l2,0.49999999999999994
0.6947368421052632,0.6937795508274232,0.6614785992217899,113,31,56,85,0.7449271079590228,extra_dnone_l4,0.5199999999999999
0.6947368421052632,0.6934840425531915,0.6506024096385542,117,27,60,81,0.7266055949566588,rf_d3,0.5199999999999999
0.6947368421052632,0.6931885342789599,0.6390041493775933,121,23,64,77,0.7424645390070922,rf_d5,0.5299999999999999
0.6947368421052632,0.6931146572104019,0.6359832635983264,122,22,65,76,0.7447301024428684,extra_d3_l8,0.5199999999999999
0.6912280701754386,0.6903812056737588,0.6615384615384615,111,33,55,86,0.7425630417651693,extra_d3_l2,0.5099999999999999
0.6877192982456141,0.6878693853427896,0.6898954703832753,97,47,42,99,0.7436465721040189,extra_d7_l8,0.49999999999999994
0.6807017543859649,0.6798906619385343,0.6513409961685823,109,35,56,85,0.7480299448384555,extra_d5_l8,0.5099999999999999
0.6736842105263158,0.6753102836879432,0.7155963302752294,75,69,24,117,0.7412825059101655,extra_d7_l2,0.4599999999999999
0.6596491228070176,0.6586140661938534,0.6196078431372549,109,35,62,79,0.6969070133963751,gb_d1_lr03,0.5399999999999999
0.6526315789473685,0.6548463356973995,0.7113702623906706,64,80,19,122,0.699468085106383,gb_d2_lr03,0.3999999999999999
0.6526315789473685,0.6524083924349882,0.6425992779783394,97,47,52,89,0.701068754925138,svc_c03,0.49999999999999994
0.6491228070175439,0.6481235224586288,0.609375,107,37,63,78,0.6814913317572893,mlp64_32_a003,0.6799999999999999
0.6280701754385964,0.6265514184397163,0.5619834710743802,111,33,73,68,0.670557525610717,knn11,0.5499999999999999
0.6070175438596491,0.6049054373522459,0.504424778761062,116,28,84,57,0.636647951142632,knn7,0.58
