align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
diag,32,0.6356857419013977,svc_c1,none,none,balanced_accuracy,0.4499999999999999,0.6606826241134751,0.6596491228070176,0.6606826241134751,0.6881028938906752,81,63,34,107,0.7069050433412136,0.6111111111111112,0.6215556330659227,0.6111111111111112,33,28,14,33,0.6170212765957447,0.6095238095238096,0.6183052090975789,0.616822429906542,31,27,14,33,0.6128026412325752
coral,64,0.77251136302948,logreg_c01,maxsim,none,balanced_accuracy,0.71,0.636081560283688,0.6385964912280702,0.636081560283688,0.5209302325581395,126,18,85,56,0.6712962962962963,0.6481481481481481,0.620160446459714,0.5,51,10,28,19,0.5723753051970701,0.638095238095238,0.6159207630227439,0.5,48,10,28,19,0.5722670579603815
coral,32,0.635778546333313,logreg_c001,none,p85,balanced_accuracy,0.5299999999999999,0.6689568557919622,0.6701754385964912,0.6689568557919622,0.624,113,31,63,78,0.7086780929866037,0.6203703703703703,0.6077781653296128,0.5393258426966292,43,18,23,24,0.6386466689919778,0.6095238095238096,0.6001467351430667,0.5393258426966292,40,18,23,24,0.6280264123257521
coral,32,0.6356742978096008,extra_d5,none,none,balanced_accuracy,0.49999999999999994,0.6136968085106382,0.6140350877192983,0.6136968085106382,0.5985401459854015,93,51,59,82,0.6367710795902286,0.6111111111111112,0.6069061737007325,0.5625,39,22,20,27,0.5964422741541682,0.6,0.5975788701393985,0.5625,36,22,20,27,0.5902421129860602
coral,64,0.7723962068557739,svc_c1,none,none,balanced_accuracy,0.5399999999999999,0.6012854609929078,0.6035087719298246,0.6012854609929078,0.49327354260089684,117,27,86,55,0.6152728526398739,0.6111111111111112,0.5922567143355424,0.5,45,16,26,21,0.5940006975933032,0.6095238095238096,0.5940939104915628,0.5060240963855421,43,15,26,21,0.599046221570066
coral,64,0.7726590037345886,logreg_c001,none,p90,balanced_accuracy,0.5199999999999999,0.6623079196217494,0.6631578947368421,0.6623079196217494,0.6307692307692307,107,37,59,82,0.6863179669030733,0.6018518518518519,0.593826299267527,0.5376344086021505,40,21,22,25,0.5692361353331008,0.6,0.5935436537050623,0.5434782608695652,38,20,22,25,0.5685986793837124
coral,32,0.6359437704086304,logreg_c001,none,p80,balanced_accuracy,0.5499999999999999,0.6539598108747045,0.656140350877193,0.6539598108747045,0.5625,124,20,78,63,0.7073483057525612,0.6203703703703703,0.5955702825252878,0.4810126582278481,48,13,28,19,0.6292291594000697,0.6095238095238096,0.5900586940572267,0.4810126582278481,45,13,28,19,0.6188554658840792
mean,32,0.6357256174087524,svc_c1,none,none,balanced_accuracy,0.48999999999999994,0.7015366430260047,0.7017543859649122,0.7015366430260047,0.6931407942238267,104,40,45,96,0.7202029156816392,0.5833333333333334,0.5920823160097664,0.5794392523364486,32,29,16,31,0.6027206138821067,0.580952380952381,0.5884079236977255,0.5849056603773585,30,28,16,31,0.598679383712399
coral,128,0.8975314497947693,logreg_c001,maxsim,none,balanced_accuracy,0.5399999999999999,0.6164302600472813,0.6175438596491228,0.6164302600472813,0.5691699604743083,104,40,69,72,0.6482466509062254,0.5925925925925926,0.5880711545169166,0.5416666666666666,38,23,21,26,0.5350540634809906,0.5904761904761905,0.586940572267058,0.5473684210526316,36,22,21,26,0.5381511371973587
none,200,0.9630778431892395,extra_d5,top5sim,none,balanced_accuracy,0.49999999999999994,0.5695183215130024,0.5684210526315789,0.5695183215130024,0.6070287539936102,67,77,46,95,0.5972222222222223,0.5740740740740741,0.5838855946982908,0.5740740740740741,31,30,16,31,0.5584234391349842,0.5714285714285714,0.5797872340425532,0.5794392523364486,29,29,16,31,0.5564930300807043
coral,128,0.8976867198944092,logreg_c001,top5sim,none,balanced_accuracy,0.5299999999999999,0.6236702127659575,0.624561403508772,0.6236702127659575,0.5868725868725869,102,42,65,76,0.6423857368006304,0.5833333333333334,0.5774328566445762,0.5263157894736842,38,23,22,25,0.5395884199511685,0.580952380952381,0.5763022743947175,0.5319148936170213,36,22,22,25,0.5429200293470287
coral,128,0.8977340459823608,logreg_c001,none,p85,balanced_accuracy,0.5399999999999999,0.6687352245862884,0.6701754385964912,0.6687352245862884,0.6147540983606558,116,28,66,75,0.6689814814814815,0.5833333333333334,0.5725497035228462,0.5054945054945055,40,21,24,23,0.5385420299965121,0.580952380952381,0.5722670579603815,0.5111111111111111,38,20,24,23,0.5418195157740279
coral,128,0.8976798057556152,extra_d5,none,none,balanced_accuracy,0.5199999999999999,0.6230053191489362,0.624561403508772,0.6230053191489362,0.5560165975103735,111,33,74,67,0.6234239558707643,0.5925925925925926,0.5685385420299964,0.45,46,15,29,18,0.5371468433903035,0.5904761904761905,0.5707997065297139,0.45569620253164556,44,14,29,18,0.537417461482025
coral,64,0.7724988460540771,rf_d5,none,p85,balanced_accuracy,0.4799999999999999,0.6428043735224587,0.6421052631578947,0.6428043735224587,0.6622516556291391,83,61,41,100,0.6827226162332545,0.5648148148148148,0.5732472968259505,0.5607476635514018,31,30,17,30,0.5779560516219043,0.5619047619047619,0.5691489361702128,0.5660377358490566,29,29,17,30,0.5693323550990462
coral,32,0.6360117197036743,logreg_c001,none,none,balanced_accuracy,0.5299999999999999,0.6549202127659575,0.656140350877193,0.6549202127659575,0.608,111,33,65,76,0.6928191489361702,0.5925925925925926,0.5758632717125916,0.4883720930232558,43,18,26,21,0.6142309033833275,0.580952380952381,0.5682318415260454,0.4883720930232558,40,18,26,21,0.6027146001467352
