group,n,n_low,n_high,auc,accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp
overall,285,144,141,0.9429669030732861,0.8982456140350877,0.8981973995271868,0.896797153024911,0.8936170212765957,0.9027777777777778,130,14,15,126
difficulty=easy,151,77,74,0.995085995085995,0.9801324503311258,0.9802562302562303,0.9798657718120806,0.9864864864864865,0.974025974025974,75,2,1,73
difficulty=hard,99,50,49,0.7791836734693878,0.7777777777777778,0.7775510204081633,0.7708333333333334,0.7551020408163265,0.8,40,10,12,37
difficulty=medium,35,17,18,0.9411764705882353,0.8857142857142857,0.8856209150326797,0.8888888888888888,0.8888888888888888,0.8823529411764706,15,2,2,16
difficulty_fine=easy,151,77,74,0.995085995085995,0.9801324503311258,0.9802562302562303,0.9798657718120806,0.9864864864864865,0.974025974025974,75,2,1,73
difficulty_fine=hard_core,65,31,34,0.9003795066413662,0.8461538461538461,0.8458254269449715,0.8529411764705882,0.8529411764705882,0.8387096774193549,26,5,5,29
difficulty_fine=hard_salvage_teacher,34,19,15,0.5894736842105264,0.6470588235294118,0.6350877192982456,0.5714285714285714,0.5333333333333333,0.7368421052631579,14,5,7,8
difficulty_fine=medium,35,17,18,0.9411764705882353,0.8857142857142857,0.8856209150326797,0.8888888888888888,0.8888888888888888,0.8823529411764706,15,2,2,16
task_l6_label=A,44,44,0,,0.9090909090909091,0.9090909090909091,0.0,,0.9090909090909091,40,4,0,0
task_l6_label=AB,50,50,0,,0.9,0.9,0.0,,0.9,45,5,0,0
task_l6_label=B1,50,50,0,,0.9,0.9,0.0,,0.9,45,5,0,0
task_l6_label=B2,60,0,60,,0.85,0.85,0.918918918918919,0.85,,0,0,9,51
task_l6_label=B3,24,0,24,,0.9166666666666666,0.9166666666666666,0.9565217391304348,0.9166666666666666,,0,0,2,22
task_l6_label=TC,57,0,57,,0.9298245614035088,0.9298245614035088,0.9636363636363636,0.9298245614035088,,0,0,4,53
