group,n,auc,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,config,sources,meta,objective
overall,285,0.7919129235618597,0.743859649122807,0.7445330969267139,0.7574750830564784,98,46,27,114,baseline_main_upper__meta0__f1,main|upper,False,f1
overall,285,0.784869976359338,0.7403508771929824,0.7410608747044918,0.7549668874172185,97,47,27,114,task7_plus_allgross__meta0__f1,stage2|stage3|main|upper|gross_aux65|gross_aux55|gross_distill55,False,f1
overall,285,0.7852639873916472,0.7403508771929824,0.7409131205673759,0.7516778523489933,99,45,29,112,baseline_main_upper__meta0__balanced_accuracy,main|upper,False,balanced_accuracy
overall,285,0.7917159180457053,0.7368421052631579,0.7377364066193853,0.755700325732899,94,50,25,116,baseline_main_upper__meta1__f1,main|upper,True,f1
overall,285,0.7966410559495666,0.7368421052631579,0.7369976359338062,0.7386759581881533,104,40,35,106,task7_plus_distill__meta0__balanced_accuracy,stage2|stage3|main|upper|gross_distill55,False,balanced_accuracy
overall,285,0.7909278959810875,0.7333333333333333,0.7339686761229315,0.7466666666666667,97,47,29,112,task7_plus_distill__meta0__f1,stage2|stage3|main|upper|gross_distill55,False,f1
overall,285,0.7969858156028369,0.7333333333333333,0.7335254137115839,0.7361111111111112,103,41,35,106,task7_base__meta0__balanced_accuracy,stage2|stage3|main|upper,False,balanced_accuracy
overall,285,0.7934397163120568,0.7298245614035088,0.7305703309692672,0.7458745874587459,95,49,28,113,task7_plus_aux55_distill__meta0__f1,stage2|stage3|main|upper|gross_aux55|gross_distill55,False,f1
overall,285,0.7836879432624113,0.7298245614035088,0.729831560283688,0.7279151943462897,105,39,38,103,task7_plus_allgross__meta0__balanced_accuracy,stage2|stage3|main|upper|gross_aux65|gross_aux55|gross_distill55,False,balanced_accuracy
overall,285,0.782456658786446,0.7263157894736842,0.7272458628841607,0.7467532467532467,92,52,26,115,task7_plus_distill__meta1__f1,stage2|stage3|main|upper|gross_distill55,True,f1
overall,285,0.7862982663514577,0.7263157894736842,0.727024231678487,0.7417218543046358,95,49,29,112,task7_plus_aux55_distill__meta1__f1,stage2|stage3|main|upper|gross_aux55|gross_distill55,True,f1
overall,285,0.783343183609141,0.7263157894736842,0.7265809692671394,0.7310344827586207,101,43,35,106,task7_plus_aux55_distill__meta0__balanced_accuracy,stage2|stage3|main|upper|gross_aux55|gross_distill55,False,balanced_accuracy
overall,285,0.782456658786446,0.7263157894736842,0.7265809692671394,0.7310344827586207,101,43,35,106,task7_plus_distill__meta1__balanced_accuracy,stage2|stage3|main|upper|gross_distill55,True,balanced_accuracy
overall,285,0.7797970843183608,0.7228070175438597,0.7235520094562649,0.7392739273927392,94,50,29,112,task7_plus_allgross__meta1__f1,stage2|stage3|main|upper|gross_aux65|gross_aux55|gross_distill55,True,f1
overall,285,0.773936170212766,0.7228070175438597,0.7231087470449172,0.7285223367697594,100,44,35,106,task7_plus_allgross__meta1__balanced_accuracy,stage2|stage3|main|upper|gross_aux65|gross_aux55|gross_distill55,True,balanced_accuracy
overall,285,0.7511327817178881,0.7228070175438597,0.7225916075650118,0.7148014440433214,107,37,42,99,upper_plus_distill__meta1__balanced_accuracy,upper|gross_distill55,True,balanced_accuracy
overall,285,0.7862982663514577,0.7157894736842105,0.7163859338061466,0.7290969899665551,95,49,32,109,task7_plus_aux55_distill__meta1__balanced_accuracy,stage2|stage3|main|upper|gross_aux55|gross_distill55,True,balanced_accuracy
overall,285,0.7847222222222221,0.7157894736842105,0.7159426713947991,0.7177700348432056,101,43,38,103,upper_plus_distill__meta0__balanced_accuracy,upper|gross_distill55,False,balanced_accuracy
overall,285,0.7635441292356187,0.712280701754386,0.7134308510638298,0.7388535031847133,87,57,25,116,upper_plus_distill__meta1__f1,upper|gross_distill55,True,f1
overall,285,0.7920606776989756,0.712280701754386,0.7133569739952719,0.7371794871794872,88,56,26,115,task7_base__meta1__f1,stage2|stage3|main|upper,True,f1
overall,285,0.7894996059889677,0.712280701754386,0.7129875886524824,0.7284768211920529,93,51,31,110,upper_plus_distill__meta0__f1,upper|gross_distill55,False,f1
overall,285,0.800531914893617,0.7087719298245614,0.7098847517730495,0.7348242811501597,87,57,26,115,task7_base__meta0__f1,stage2|stage3|main|upper,False,f1
overall,285,0.7722123719464146,0.7087719298245614,0.7093676122931443,0.7224080267558528,94,50,33,108,baseline_main_upper__meta1__balanced_accuracy,main|upper,True,balanced_accuracy
overall,285,0.7933412135539796,0.7087719298245614,0.7092198581560283,0.7186440677966102,96,48,35,106,task7_base__meta1__balanced_accuracy,stage2|stage3|main|upper,True,balanced_accuracy
