score,selection_mode,target_accept_acc,accept_n,accept_frac,review_n,review_frac,review_error_precision,error_recall_in_review,fn_recall_in_review,hardcore_recall_in_review,accept_accuracy,accept_balanced_accuracy,accept_specificity_low,accept_sensitivity_high,accept_tn,accept_fp,accept_fn,accept_tp,review_base_n,review_base_accuracy,review_base_balanced_accuracy,review_base_specificity_low,review_base_sensitivity_high,review_base_tn,review_base_fp,review_base_fn,review_base_tp,final_if_review_corrected_n,final_if_review_corrected_accuracy,final_if_review_corrected_balanced_accuracy,final_if_review_corrected_specificity_low,final_if_review_corrected_sensitivity_high,final_if_review_corrected_tn,final_if_review_corrected_fp,final_if_review_corrected_fn,final_if_review_corrected_tp
upper_low_conf,raw,0.9,100,0.3508771929824561,185,0.6491228070175439,0.2972972972972973,0.8333333333333334,0.8125,0.8307692307692308,0.89,0.8894230769230769,0.9038461538461539,0.875,47,5,6,42,185,0.7027027027027027,0.7026063581112669,0.6847826086956522,0.7204301075268817,63,29,26,67,285,0.9614035087719298,0.9613622931442081,0.9652777777777778,0.9574468085106383,139,5,6,135
all_vote_disagree,raw,0.9,100,0.3508771929824561,185,0.6491228070175439,0.2648648648648649,0.7424242424242424,0.65625,0.7384615384615385,0.83,0.8232323232323232,0.8909090909090909,0.7555555555555555,49,6,11,34,185,0.7351351351351352,0.7333216292134832,0.6853932584269663,0.78125,61,28,21,75,285,0.9403508771929825,0.9401595744680851,0.9583333333333334,0.9219858156028369,138,6,11,130
mean_absdiff_to_upper,raw,0.9,53,0.18596491228070175,232,0.8140350877192982,0.23706896551724138,0.8333333333333334,0.75,0.8307692307692308,0.7924528301886793,0.7941595441595442,0.8846153846153846,0.7037037037037037,23,3,8,19,232,0.7629310344827587,0.7633809099018734,0.7372881355932204,0.7894736842105263,87,31,24,90,285,0.9614035087719298,0.9612145390070922,0.9791666666666666,0.9432624113475178,141,3,8,133
learn_upper_fn_extra,raw,0.9,40,0.14035087719298245,245,0.8596491228070176,0.24489795918367346,0.9090909090909091,1.0,0.9076923076923077,0.85,0.5,0.0,1.0,0,6,0,34,245,0.7551020408163265,0.7490180143573073,0.7971014492753623,0.7009345794392523,110,28,32,75,285,0.9789473684210527,0.9791666666666667,0.9583333333333334,1.0,138,6,0,141
learn_upper_wrong_rf,raw,0.9,39,0.1368421052631579,246,0.8631578947368421,0.23983739837398374,0.8939393939393939,0.8125,0.8923076923076924,0.8205128205128205,0.8293650793650793,0.9444444444444444,0.7142857142857143,17,1,6,15,246,0.7601626016260162,0.7607142857142857,0.7380952380952381,0.7833333333333333,93,33,26,94,285,0.9754385964912281,0.9752511820330969,0.9930555555555556,0.9574468085106383,143,1,6,135
learn_upper_wrong_extra,raw,0.9,39,0.1368421052631579,246,0.8631578947368421,0.21951219512195122,0.8181818181818182,0.71875,0.8153846153846154,0.6923076923076923,0.7105978260869565,0.8125,0.6086956521739131,13,3,9,14,246,0.7804878048780488,0.781448622881356,0.7578125,0.8050847457627118,97,31,23,95,285,0.9578947368421052,0.957668439716312,0.9791666666666666,0.9361702127659575,141,3,9,132
hybrid_rank_allrange_025_fn_075,raw,0.9,36,0.12631578947368421,249,0.8736842105263158,0.2289156626506024,0.8636363636363636,1.0,0.8615384615384616,0.75,0.5,0.0,1.0,0,9,0,27,249,0.7710843373493976,0.767056530214425,0.8148148148148148,0.7192982456140351,110,25,32,82,285,0.968421052631579,0.96875,0.9375,1.0,135,9,0,141
hybrid_fn_then_overall,raw,0.9,36,0.12631578947368421,249,0.8736842105263158,0.2289156626506024,0.8636363636363636,1.0,0.8615384615384616,0.75,0.5,0.0,1.0,0,9,0,27,249,0.7710843373493976,0.767056530214425,0.8148148148148148,0.7192982456140351,110,25,32,82,285,0.968421052631579,0.96875,0.9375,1.0,135,9,0,141
hybrid_mean_all_std_abs_fn,raw,0.9,34,0.11929824561403508,251,0.8807017543859649,0.24701195219123506,0.9393939393939394,0.9375,0.9384615384615385,0.8823529411764706,0.8583333333333334,0.8,0.9166666666666666,8,2,2,22,251,0.7529880478087649,0.7523918867202449,0.7611940298507462,0.7435897435897436,102,32,30,87,285,0.9859649122807017,0.9859633569739953,0.9861111111111112,0.9858156028368794,142,2,2,139
learn_hard_core_rf,raw,0.9,31,0.10877192982456141,254,0.8912280701754386,0.23228346456692914,0.8939393939393939,0.875,0.8923076923076924,0.7741935483870968,0.7752100840336134,0.7857142857142857,0.7647058823529411,11,3,4,13,254,0.7677165354330708,0.7678660049627791,0.7615384615384615,0.7741935483870968,99,31,28,96,285,0.9754385964912281,0.9753989361702127,0.9791666666666666,0.9716312056737588,141,3,4,137
hybrid_overall_then_fn,raw,0.9,30,0.10526315789473684,255,0.8947368421052632,0.24313725490196078,0.9393939393939394,0.96875,0.9384615384615385,0.8666666666666667,0.825,0.7,0.95,7,3,1,19,255,0.7568627450980392,0.7562291846552363,0.7686567164179104,0.743801652892562,103,31,31,90,285,0.9859649122807017,0.9860372340425532,0.9791666666666666,0.9929078014184397,141,3,1,140
hybrid_rank_allrange_075_fn_025,raw,0.9,29,0.10175438596491228,256,0.8982456140350877,0.23828125,0.9242424242424242,0.96875,0.9230769230769231,0.8275862068965517,0.7261904761904762,0.5,0.9523809523809523,4,4,1,20,256,0.76171875,0.7605392156862745,0.7794117647058824,0.7416666666666667,106,30,31,89,285,0.9824561403508771,0.982565011820331,0.9722222222222222,0.9929078014184397,140,4,1,140
all_std,raw,0.9,23,0.08070175438596491,262,0.9192982456140351,0.22900763358778625,0.9090909090909091,0.84375,0.9076923076923077,0.7391304347826086,0.7658730158730158,0.8888888888888888,0.6428571428571429,8,1,5,9,262,0.7709923664122137,0.7714785651793525,0.7555555555555555,0.7874015748031497,102,33,27,100,285,0.9789473684210527,0.978797281323877,0.9930555555555556,0.9645390070921985,143,1,5,136
learn_hard_core_extra,raw,0.9,23,0.08070175438596491,262,0.9192982456140351,0.23282442748091603,0.9242424242424242,0.90625,0.9230769230769231,0.782608695652174,0.7846153846153847,0.8,0.7692307692307693,8,2,3,10,262,0.767175572519084,0.7673157649253731,0.7611940298507462,0.7734375,102,32,29,99,285,0.9824561403508771,0.9824172576832151,0.9861111111111112,0.9787234042553191,142,2,3,138
all_range,raw,0.9,21,0.07368421052631578,264,0.9263157894736842,0.23484848484848486,0.9393939393939394,0.875,0.9384615384615385,0.8095238095238095,0.8461538461538461,1.0,0.6923076923076923,8,0,4,9,264,0.7651515151515151,0.765625,0.75,0.78125,102,34,28,100,285,0.9859649122807017,0.9858156028368794,1.0,0.9716312056737588,144,0,4,137
hybrid_rank_allrange_050_fn_050,raw,0.9,19,0.06666666666666667,266,0.9333333333333333,0.23684210526315788,0.9545454545454546,1.0,0.9538461538461539,0.8421052631578947,0.5,0.0,1.0,0,3,0,16,266,0.7631578947368421,0.7620709219858156,0.7801418439716312,0.744,110,31,32,93,285,0.9894736842105263,0.9895833333333333,0.9791666666666666,1.0,141,3,0,141
learn_upper_fn_rf,raw,0.9,17,0.05964912280701754,268,0.9403508771929825,0.23507462686567165,0.9545454545454546,1.0,0.9538461538461539,0.8235294117647058,0.5,0.0,1.0,0,3,0,14,268,0.7649253731343284,0.7640866700173117,0.7801418439716312,0.7480314960629921,110,31,32,95,285,0.9894736842105263,0.9895833333333333,0.9791666666666666,1.0,141,3,0,141
learn_upper_wrong_gb,raw,0.9,13,0.0456140350877193,272,0.9543859649122807,0.23161764705882354,0.9545454545454546,0.90625,0.9538461538461539,0.7692307692307693,0.7857142857142857,1.0,0.5714285714285714,6,0,3,4,272,0.7683823529411765,0.7686026389790179,0.7536231884057971,0.7835820895522388,104,34,29,105,285,0.9894736842105263,0.9893617021276595,1.0,0.9787234042553191,144,0,3,138
hybrid_max_allrange_fn,raw,0.9,13,0.0456140350877193,272,0.9543859649122807,0.23529411764705882,0.9696969696969697,1.0,0.9692307692307692,0.8461538461538461,0.5,0.0,1.0,0,2,0,11,272,0.7647058823529411,0.7642470205850487,0.7746478873239436,0.7538461538461538,110,32,32,98,285,0.9929824561403509,0.9930555555555556,0.9861111111111112,1.0,142,2,0,141
learn_upper_wrong_logreg,raw,0.9,7,0.02456140350877193,278,0.9754385964912281,0.2302158273381295,0.9696969696969697,0.9375,0.9846153846153847,0.7142857142857143,0.75,1.0,0.5,3,0,2,2,278,0.7697841726618705,0.7699435730185846,0.7588652482269503,0.781021897810219,107,34,30,107,285,0.9929824561403509,0.9929078014184397,1.0,0.9858156028368794,144,0,2,139
learn_upper_fn_gb,raw,0.9,7,0.02456140350877193,278,0.9754385964912281,0.2302158273381295,0.9696969696969697,1.0,0.9692307692307692,0.7142857142857143,0.5,0.0,1.0,0,2,0,5,278,0.7697841726618705,0.7696768848384423,0.7746478873239436,0.7647058823529411,110,32,32,104,285,0.9929824561403509,0.9930555555555556,0.9861111111111112,1.0,142,2,0,141
max_absdiff_to_upper,raw,0.9,6,0.021052631578947368,279,0.9789473684210527,0.2222222222222222,0.9393939393939394,0.875,0.9384615384615385,0.3333333333333333,0.6,1.0,0.2,1,0,4,1,279,0.7777777777777778,0.7781777046482928,0.7622377622377622,0.7941176470588235,109,34,28,108,285,0.9859649122807017,0.9858156028368794,1.0,0.9716312056737588,144,0,4,137
learn_hard_core_logreg,raw,0.9,1,0.0035087719298245615,284,0.9964912280701754,0.22887323943661972,0.9848484848484849,0.96875,1.0,0.0,,,0.0,0,0,1,0,284,0.7711267605633803,0.7712301587301587,0.7638888888888888,0.7785714285714286,110,34,31,109,285,0.9964912280701754,0.9964539007092199,1.0,0.9929078014184397,144,0,1,140
upper_predlow_pupper,raw,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
predlow_ensemble_mean,raw,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
predlow_ensemble_median,raw,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
predlow_range,raw,0.9,0,0.0,285,1.0,0.23157894736842105,1.0,1.0,1.0,,,,,0,0,0,0,285,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,285,1.0,1.0,1.0,1.0,144,0,0,141
