gate_score,gate_target_accept_acc,gate_selection_mode,feature_set,model,train_scope,accept_n,accept_frac,review_n,review_frac,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,accept_accuracy,review_base_accuracy,review_final_accuracy,review_final_sensitivity_high,review_final_specificity_low,rescued_total,hurt_total,rescued_fn,hardcore_final_accuracy,hardcore_rescued,hardcore_hurt
hybrid_max_allrange_fn,0.9,raw,raw_outputs,extra,review_train,13,0.0456140350877193,272,0.9543859649122807,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.7719414893617021,0.7708333333333334,0.7730496453900709,111,33,32,109,0.8461538461538461,0.7647058823529411,0.7683823529411765,0.7538461538461538,0.7816901408450704,2,1,1,0.26153846153846155,0,1
hybrid_overall_then_fn,0.9,raw,raw_outputs,extra,review_train,30,0.10526315789473684,255,0.8947368421052632,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.7719414893617021,0.7708333333333334,0.7730496453900709,111,33,32,109,0.8666666666666667,0.7568627450980392,0.7607843137254902,0.743801652892562,0.7761194029850746,2,1,1,0.26153846153846155,0,1
all_range,0.9,raw,raw_outputs,gb,review_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.7716459810874705,0.7986111111111112,0.7446808510638298,115,29,36,105,0.8095238095238095,0.7651515151515151,0.7689393939393939,0.75,0.7867647058823529,10,9,0,0.3076923076923077,5,3
hybrid_overall_then_fn,0.95,raw,raw_plus_review,gb,review_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.7716459810874705,0.7986111111111112,0.7446808510638298,115,29,36,105,0.9047619047619048,0.7575757575757576,0.7613636363636364,0.7096774193548387,0.8071428571428572,10,9,1,0.2923076923076923,6,5
hybrid_mean_all_std_abs_fn,0.9,raw,raw_outputs,extra,review_train,34,0.11929824561403508,251,0.8807017543859649,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.8823529411764706,0.7529880478087649,0.7529880478087649,0.7435897435897436,0.7611940298507462,1,1,1,0.26153846153846155,0,1
hybrid_overall_then_fn,0.95,raw,raw_outputs,extra,review_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.9047619047619048,0.7575757575757576,0.7575757575757576,0.7419354838709677,0.7714285714285715,1,1,1,0.26153846153846155,0,1
upper_low_conf,0.9,raw,raw_plus_review,extra,review_train,100,0.3508771929824561,185,0.6491228070175439,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.89,0.7027027027027027,0.7027027027027027,0.7204301075268817,0.6847826086956522,0,0,0,0.27692307692307694,0,0
upper_low_conf,0.95,raw,raw_plus_review,rf,review_train,58,0.20350877192982456,227,0.7964912280701755,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7683215130023641,0.7777777777777778,0.7588652482269503,112,32,34,107,0.9137931034482759,0.7312775330396476,0.7312775330396476,0.7321428571428571,0.7304347826086957,2,2,0,0.3076923076923077,2,0
all_range,0.9,raw,raw_plus_review,gb,review_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7680260047281324,0.8055555555555556,0.7304964539007093,116,28,38,103,0.8095238095238095,0.7651515151515151,0.7651515151515151,0.734375,0.7941176470588235,10,10,1,0.24615384615384617,5,7
hybrid_overall_then_fn,0.9,raw,raw_plus_review,gb,review_train,30,0.10526315789473684,255,0.8947368421052632,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7679521276595744,0.8125,0.723404255319149,117,27,39,102,0.8666666666666667,0.7568627450980392,0.7568627450980392,0.6859504132231405,0.8208955223880597,11,11,1,0.2923076923076923,6,5
