field,value,count
gross_delta_status,rescued_by_gross,44
gross_delta_status,stable_correct_after_gross,11
gross_delta_status,hurt_by_gross,6
gross_delta_status,still_wrong_after_gross,4
antishortcut_bucket,low_with_protective_gross,27
antishortcut_bucket,high_with_invasive_or_complex_gross,15
antishortcut_bucket,high_truth_with_bland_gross,14
antishortcut_bucket,gross_trap_do_not_overtrust,6
antishortcut_bucket,low_truth_with_highrisk_like_gross,3
exp_manual_confound_target,A_AB,22
exp_manual_confound_target,B2,20
exp_manual_confound_target,none,9
exp_manual_confound_target,TC,8
exp_manual_confound_target,B1,6
exp_manual_irregularity,high,37
exp_manual_irregularity,low,28
exp_manual_hemonec,none,54
exp_manual_hemonec,mild,11
