profile,split,n,n_AB,n_B1,n_B2,n_TC
adapt48_balanced,adapt,48,18,6,12,12
adapt48_balanced,holdout,258,194,6,17,41
adapt60_balanced,adapt,60,24,6,15,15
adapt60_balanced,holdout,246,188,6,14,38
adapt72_balanced,adapt,72,30,6,18,18
adapt72_balanced,holdout,234,182,6,11,35
adapt84_balanced,adapt,84,36,6,21,21
adapt84_balanced,holdout,222,176,6,8,32
adapt72_high_focus,adapt,72,24,4,22,22
adapt72_high_focus,holdout,234,188,8,7,31
adapt96_high_focus,adapt,96,30,4,26,36
adapt96_high_focus,holdout,210,182,8,3,17
