profile,mode,repeat_adapt,C,threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_auc,holdout_tn,holdout_fp,holdout_fn,holdout_tp,train_n_old,train_n_adapt,holdout_n,oof_accuracy,oof_balanced_accuracy,oof_f1,oof_auc,oof_tn,oof_fp,oof_fn,oof_tp
adapt96_high_focus,existing_wpc64_old_only,0,,,0.7619047619047619,0.7789473684210526,0.3902439024390244,0.793157894736842,144,46,4,16,,,,,,,,,,,
adapt72_high_focus,old_plus_adapt_logreg,4,0.0003,0.58,0.8290598290598291,0.7282491944146079,0.5238095238095238,0.7518796992481203,172,24,16,22,285.0,72.0,234.0,0.6610644257703081,0.6658233815210559,0.6206896551724138,0.7277812696417348,137.0,35.0,86.0,99.0
adapt72_balanced,existing_wpc64_old_only,0,,,0.7435897435897436,0.7172756706753006,0.5081967213114754,0.748959296947271,143,45,15,31,,,,,,,,,,,
adapt72_balanced,old_plus_adapt_logreg,8,0.0003,0.57,0.7735042735042735,0.7112627197039778,0.5137614678899083,0.7756706753006475,153,35,18,28,285.0,72.0,234.0,0.6694677871148459,0.6685969868173258,0.6289308176100629,0.7020087884494665,139.0,41.0,77.0,100.0
adapt48_balanced,existing_wpc64_old_only,0,,,0.7403100775193798,0.7100862068965517,0.5314685314685315,0.7466379310344827,153,47,20,38,,,,,,,,,,,
adapt72_high_focus,existing_wpc64_old_only,0,,,0.7435897435897436,0.7090494092373791,0.45454545454545453,0.7360365198711063,149,47,13,25,,,,,,,,,,,
adapt60_balanced,existing_wpc64_old_only,0,,,0.7398373983739838,0.708366375892149,0.5151515151515151,0.7501982553528945,148,46,18,34,,,,,,,,,,,
adapt72_high_focus,old_plus_adapt_logreg,2,0.0003,0.5399999999999999,0.7948717948717948,0.7078410311493019,0.4782608695652174,0.7602040816326531,164,32,16,22,285.0,72.0,234.0,0.6526610644257703,0.6552639849151477,0.6352941176470588,0.7010370835952231,125.0,47.0,77.0,108.0
adapt48_balanced,old_plus_adapt_logreg,2,0.0003,0.5599999999999999,0.8217054263565892,0.7075,0.5576923076923077,0.7785344827586207,183,17,29,29,285.0,48.0,258.0,0.6426426426426426,0.6411796536796537,0.5703971119133574,0.6879509379509379,135.0,33.0,86.0,79.0
adapt84_balanced,old_plus_adapt_logreg,2,0.001,0.5499999999999999,0.7972972972972973,0.7008241758241758,0.4943820224719101,0.7460164835164834,155,27,18,22,285.0,84.0,222.0,0.7073170731707317,0.7067689053410894,0.6842105263157895,0.7502203419707385,144.0,42.0,66.0,117.0
adapt72_balanced,old_plus_adapt_logreg,1,0.0003,0.4699999999999999,0.688034188034188,0.6991211840888066,0.4748201438848921,0.7814523589269194,128,60,13,33,285.0,72.0,234.0,0.6470588235294118,0.6475047080979284,0.6631016042780749,0.6923101067168863,107.0,73.0,53.0,124.0
adapt72_high_focus,old_plus_adapt_logreg,4,0.001,0.5399999999999999,0.7435897435897436,0.6984425349087002,0.4444444444444444,0.7359022556390978,150,46,14,24,285.0,72.0,234.0,0.6862745098039216,0.6876964173475801,0.6818181818181818,0.7428346951602767,125.0,47.0,65.0,120.0
