profile,adapt_n,holdout_n,model_kind,repeat_adapt,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc,selection_score
adapt96_high_focus,96,210,logreg_0.0003,2,balanced_accuracy,0.5099999999999999,0.7244094488188977,0.7251504776630404,0.7286821705426356,135,47,58,141,0.7529681373902479,0.7228070175438597,0.7225916075650118,0.7148014440433214,107,37,42,99,0.7481284475965327,0.7291666666666666,0.7304900181488203,0.7636363636363637,28,10,16,42,0.7735934664246824,0.638095238095238,0.6505376344086021,0.2962962962962963,118,68,8,16,0.7318548387096775,0.8457500157617697
adapt96_high_focus,96,210,logreg_0.0003,2,accuracy,0.5099999999999999,0.7244094488188977,0.7251504776630404,0.7286821705426356,135,47,58,141,0.7529681373902479,0.7228070175438597,0.7225916075650118,0.7148014440433214,107,37,42,99,0.7481284475965327,0.7291666666666666,0.7304900181488203,0.7636363636363637,28,10,16,42,0.7735934664246824,0.638095238095238,0.6505376344086021,0.2962962962962963,118,68,8,16,0.7318548387096775,0.8457500157617697
adapt96_high_focus,96,210,logreg_0.003,2,balanced_accuracy,0.5199999999999999,0.7217847769028871,0.7219338450494229,0.7295918367346939,132,50,56,143,0.7674360815064333,0.7192982456140351,0.719562647754137,0.7241379310344828,100,44,36,105,0.767434988179669,0.7291666666666666,0.7486388384754991,0.7450980392156863,32,6,20,38,0.808076225045372,0.6238095238095238,0.6243279569892473,0.27522935779816515,116,70,9,15,0.6975806451612903,0.8421596214407695
adapt96_high_focus,96,210,logreg_0.003,2,accuracy,0.5199999999999999,0.7217847769028871,0.7219338450494229,0.7295918367346939,132,50,56,143,0.7674360815064333,0.7192982456140351,0.719562647754137,0.7241379310344828,100,44,36,105,0.767434988179669,0.7291666666666666,0.7486388384754991,0.7450980392156863,32,6,20,38,0.808076225045372,0.6238095238095238,0.6243279569892473,0.27522935779816515,116,70,9,15,0.6975806451612903,0.8421596214407695
adapt96_high_focus,96,210,logreg_0.0003,4,balanced_accuracy,0.5499999999999999,0.6902887139107612,0.6929565409464906,0.6810810810810811,137,45,73,126,0.7481915069854768,0.6912280701754386,0.6904550827423168,0.6641221374045801,110,34,54,87,0.7500492513790386,0.6875,0.6914700544464609,0.7222222222222222,27,11,19,39,0.7313974591651543,0.6952380952380952,0.646505376344086,0.30434782608695654,132,54,10,14,0.7457437275985663,0.8079848676558957
adapt96_high_focus,96,210,logreg_0.0003,4,accuracy,0.5499999999999999,0.6902887139107612,0.6929565409464906,0.6810810810810811,137,45,73,126,0.7481915069854768,0.6912280701754386,0.6904550827423168,0.6641221374045801,110,34,54,87,0.7500492513790386,0.6875,0.6914700544464609,0.7222222222222222,27,11,19,39,0.7313974591651543,0.6952380952380952,0.646505376344086,0.30434782608695654,132,54,10,14,0.7457437275985663,0.8079848676558957
adapt96_high_focus,96,210,logreg_0.003,1,balanced_accuracy,0.5399999999999999,0.6955380577427821,0.6970429068419017,0.6947368421052632,133,49,67,132,0.7614721961455629,0.7052631578947368,0.7051566193853428,0.7,103,41,43,98,0.7685677698975573,0.6666666666666666,0.6878402903811252,0.68,30,8,24,34,0.7590744101633393,0.6523809523809524,0.6404569892473118,0.2912621359223301,122,64,9,15,0.6807795698924731,0.8048187725354867
adapt150_high_focus,150,156,logreg_0.0003,1,balanced_accuracy,0.5399999999999999,0.6919540229885057,0.68881230116649,0.6598984771573604,171,59,75,130,0.7490562036055143,0.6877192982456141,0.6872783687943262,0.6715867158671587,105,39,50,91,0.7357171000788022,0.7,0.6884084302325582,0.6341463414634146,66,20,25,39,0.7727107558139534,0.8269230769230769,0.7089371980676329,0.425531914893617,119,19,8,10,0.788244766505636,0.8043218098465857
adapt150_high_focus,150,156,logreg_0.0003,1,accuracy,0.5399999999999999,0.6919540229885057,0.68881230116649,0.6598984771573604,171,59,75,130,0.7490562036055143,0.6877192982456141,0.6872783687943262,0.6715867158671587,105,39,50,91,0.7357171000788022,0.7,0.6884084302325582,0.6341463414634146,66,20,25,39,0.7727107558139534,0.8269230769230769,0.7089371980676329,0.425531914893617,119,19,8,10,0.788244766505636,0.8043218098465857
adapt72_high_focus,72,234,logreg_0.003,1,accuracy,0.41999999999999993,0.6946778711484594,0.6913104965430547,0.7268170426065163,103,69,40,145,0.7673790069138906,0.6947368421052632,0.695848108747045,0.7220447284345048,85,59,28,113,0.7863967691095352,0.6944444444444444,0.6850649350649352,0.7441860465116279,18,10,12,32,0.7215909090909092,0.5897435897435898,0.6278195488721805,0.35135135135135137,112,84,12,26,0.6941460794844254,0.8027444168723239
adapt96_high_focus,96,210,logreg_0.0003,1,balanced_accuracy,0.4699999999999999,0.6929133858267716,0.6896018554310012,0.7220902612826603,112,70,47,152,0.7451819537246672,0.6807017543859649,0.6814420803782506,0.6996699669966997,88,56,35,106,0.7430063041765168,0.7291666666666666,0.7123411978221416,0.7796610169491526,24,14,12,46,0.7604355716878404,0.5857142857142857,0.6209677419354839,0.2689075630252101,107,79,8,16,0.7159498207885304,0.7982293907492689
adapt96_high_focus,96,210,logreg_0.0003,1,accuracy,0.4699999999999999,0.6929133858267716,0.6896018554310012,0.7220902612826603,112,70,47,152,0.7451819537246672,0.6807017543859649,0.6814420803782506,0.6996699669966997,88,56,35,106,0.7430063041765168,0.7291666666666666,0.7123411978221416,0.7796610169491526,24,14,12,46,0.7604355716878404,0.5857142857142857,0.6209677419354839,0.2689075630252101,107,79,8,16,0.7159498207885304,0.7982293907492689
adapt96_high_focus,96,210,logreg_0.001,4,accuracy,0.37999999999999995,0.6902887139107612,0.684273013418742,0.7342342342342343,100,82,36,163,0.748136285824728,0.6807017543859649,0.6820330969267139,0.7147335423197492,80,64,27,114,0.7493104806934594,0.71875,0.6855716878402904,0.784,20,18,9,49,0.7481851179673321,0.5190476190476191,0.6196236559139785,0.26277372262773724,91,95,6,18,0.728494623655914,0.7981809462562611
adapt180_mixed,180,126,logreg_0.001,1,balanced_accuracy,0.5299999999999999,0.6989247311827957,0.692334448915128,0.65,195,67,73,130,0.7500846087316211,0.6912280701754386,0.6909722222222222,0.6811594202898551,103,41,47,94,0.7511327817178881,0.7111111111111111,0.6801530891197376,0.5806451612903226,92,26,26,36,0.7353745215965009,0.8174603174603174,0.7900943396226415,0.5660377358490566,88,18,5,15,0.8537735849056604,0.7977946264983249
adapt180_mixed,180,126,logreg_0.001,1,accuracy,0.5299999999999999,0.6989247311827957,0.692334448915128,0.65,195,67,73,130,0.7500846087316211,0.6912280701754386,0.6909722222222222,0.6811594202898551,103,41,47,94,0.7511327817178881,0.7111111111111111,0.6801530891197376,0.5806451612903226,92,26,26,36,0.7353745215965009,0.8174603174603174,0.7900943396226415,0.5660377358490566,88,18,5,15,0.8537735849056604,0.7977946264983249
adapt120_high_focus,120,186,logreg_0.0003,1,balanced_accuracy,0.61,0.6790123456790124,0.6817682926829268,0.5911949685534591,181,19,111,94,0.739829268292683,0.6842105263157895,0.6818853427895981,0.5909090909090909,130,14,76,65,0.7434988179669031,0.6666666666666666,0.6819196428571428,0.5918367346938775,51,5,35,29,0.7232142857142857,0.8709677419354839,0.6061507936507937,0.29411764705882354,157,11,13,5,0.7123015873015873,0.7970308712448827
adapt120_high_focus,120,186,logreg_0.0003,1,accuracy,0.61,0.6790123456790124,0.6817682926829268,0.5911949685534591,181,19,111,94,0.739829268292683,0.6842105263157895,0.6818853427895981,0.5909090909090909,130,14,76,65,0.7434988179669031,0.6666666666666666,0.6819196428571428,0.5918367346938775,51,5,35,29,0.7232142857142857,0.8709677419354839,0.6061507936507937,0.29411764705882354,157,11,13,5,0.7123015873015873,0.7970308712448827
adapt180_mixed,180,126,logreg_0.001,2,balanced_accuracy,0.5099999999999999,0.6881720430107527,0.6850110931448126,0.648910411622276,186,76,69,134,0.7555371714360922,0.6807017543859649,0.6806294326241135,0.6761565836298933,99,45,46,95,0.7475374310480695,0.7,0.6831601968288683,0.5909090909090909,87,31,23,39,0.7560142154182613,0.7936507936507936,0.7962264150943397,0.5517241379310345,84,22,4,16,0.8797169811320754,0.7968658515207891
adapt72_high_focus,72,234,logreg_0.0003,1,balanced_accuracy,0.49999999999999994,0.6834733893557423,0.6831552482715273,0.6937669376693767,116,56,57,128,0.7323067253299812,0.6807017543859649,0.6807033096926713,0.6784452296819788,98,46,45,96,0.740198975571316,0.6944444444444444,0.6850649350649352,0.7441860465116279,18,10,12,32,0.6996753246753247,0.7051282051282052,0.6330558539205156,0.3669724770642202,145,51,18,20,0.7368421052631579,0.7967170272045528
adapt72_high_focus,72,234,logreg_0.0003,1,accuracy,0.49999999999999994,0.6834733893557423,0.6831552482715273,0.6937669376693767,116,56,57,128,0.7323067253299812,0.6807017543859649,0.6807033096926713,0.6784452296819788,98,46,45,96,0.740198975571316,0.6944444444444444,0.6850649350649352,0.7441860465116279,18,10,12,32,0.6996753246753247,0.7051282051282052,0.6330558539205156,0.3669724770642202,145,51,18,20,0.7368421052631579,0.7967170272045528
adapt180_mixed,180,126,logreg_0.0003,4,balanced_accuracy,0.5399999999999999,0.6881720430107527,0.6822378069416764,0.6401985111662531,191,71,74,129,0.7486932651449629,0.6807017543859649,0.6802600472813238,0.6642066420664207,104,40,51,90,0.7343873128447597,0.7,0.6831601968288683,0.5909090909090909,87,31,23,39,0.7644887916894478,0.8174603174603174,0.8509433962264151,0.6101694915254238,85,21,2,18,0.8952830188679245,0.7961636718336232
adapt72_high_focus,72,234,logreg_0.0003,4,balanced_accuracy,0.5599999999999999,0.680672268907563,0.6845380263984915,0.6524390243902439,136,36,78,107,0.7325895663104967,0.6807017543859649,0.6795212765957447,0.6374501992031872,114,30,61,80,0.7302994483845547,0.6805555555555556,0.6996753246753247,0.7012987012987013,22,6,17,27,0.7402597402597403,0.7735042735042735,0.6738721804511278,0.43010752688172044,161,35,18,20,0.7289205155746509,0.7956936175413414
adapt180_mixed,180,126,logreg_0.003,2,balanced_accuracy,0.3499999999999999,0.6774193548387096,0.6904448539089234,0.6822033898305084,154,108,42,161,0.7566840897980671,0.6912280701754386,0.6924497635933806,0.7215189873417721,83,61,27,114,0.761968085106383,0.6555555555555556,0.6798797156916347,0.6025641025641025,71,47,15,47,0.7311372334609075,0.626984126984127,0.7174528301886792,0.41975308641975306,62,44,3,17,0.8509433962264151,0.7955108759384834
adapt120_high_focus,120,186,logreg_0.001,1,balanced_accuracy,0.6499999999999999,0.6814814814814815,0.6839634146341463,0.6055045871559633,177,23,106,99,0.7470243902439025,0.6807017543859649,0.6787086288416075,0.6026200873362445,125,19,72,69,0.7567966903073287,0.6833333333333333,0.6986607142857143,0.6122448979591837,52,4,34,30,0.712890625,0.8655913978494624,0.6279761904761905,0.32432432432432434,155,13,12,6,0.7192460317460319,0.7948193263170032
adapt72_high_focus,72,234,logreg_0.003,2,balanced_accuracy,0.4799999999999999,0.6778711484593838,0.6769327467001887,0.6933333333333334,112,60,55,130,0.7423318667504715,0.6771929824561403,0.6776004728132388,0.6870748299319728,92,52,40,101,0.7468971631205674,0.6805555555555556,0.6866883116883117,0.7160493827160493,20,8,15,29,0.7573051948051948,0.6410256410256411,0.6160042964554242,0.34375,128,68,16,22,0.6919978517722879,0.7926920515400684
adapt72_high_focus,72,234,logreg_0.003,2,accuracy,0.4799999999999999,0.6778711484593838,0.6769327467001887,0.6933333333333334,112,60,55,130,0.7423318667504715,0.6771929824561403,0.6776004728132388,0.6870748299319728,92,52,40,101,0.7468971631205674,0.6805555555555556,0.6866883116883117,0.7160493827160493,20,8,15,29,0.7573051948051948,0.6410256410256411,0.6160042964554242,0.34375,128,68,16,22,0.6919978517722879,0.7926920515400684
