seed,threshold,adapt_n,holdout_n,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc
20260521,0.6599999999999999,180,126,0.7053763440860215,0.6803106080547513,0.5885885885885885,230,32,105,98,0.7473207234986651,0.6771929824561403,0.6753102836879432,0.603448275862069,123,21,71,70,0.7265070921985816,0.75,0.6791962821213778,0.5544554455445545,107,11,34,28,0.7802077638053581,0.9206349206349206,0.8514150943396226,0.75,101,5,5,15,0.8952830188679245
20260622,0.58,180,126,0.7010752688172043,0.6853683300116572,0.6212534059945504,212,50,89,114,0.7542774414319557,0.6596491228070176,0.6585401891252955,0.616600790513834,110,34,63,78,0.7236997635933806,0.7666666666666667,0.7225259704756698,0.631578947368421,102,16,26,36,0.8028977583378896,0.8253968253968254,0.7339622641509433,0.5217391304347826,92,14,8,12,0.809433962264151
20260723,0.61,180,126,0.7010752688172043,0.6814857293272666,0.6062322946175638,219,43,96,107,0.7580566314443651,0.6631578947368421,0.6615691489361701,0.6,117,27,69,72,0.7227147360126084,0.7611111111111111,0.7144614543466375,0.6194690265486725,102,16,27,35,0.8117823947512302,0.8253968253968254,0.6933962264150944,0.47619047619047616,94,12,10,10,0.8141509433962264
20260824,0.57,180,126,0.7161290322580646,0.7053829955251383,0.65625,207,55,77,126,0.7724213138795923,0.6912280701754386,0.6906028368794326,0.6691729323308271,108,36,52,89,0.7475866824271079,0.7555555555555555,0.7178786221979223,0.6271186440677966,99,19,25,37,0.8034445051940952,0.7936507936507936,0.6948113207547171,0.4583333333333333,89,17,9,11,0.7740566037735849
20260925,0.58,180,126,0.6924731182795699,0.678844056706652,0.6186666666666667,206,56,87,116,0.7599744293611101,0.6526315789473685,0.6519651300236406,0.6264150943396226,103,41,58,83,0.732318754925138,0.7555555555555555,0.7025697102241661,0.6,103,15,29,33,0.7874521596500821,0.8095238095238095,0.744811320754717,0.52,89,17,7,13,0.8396226415094339
20261026,0.62,180,126,0.6860215053763441,0.6653536644981762,0.5828571428571429,217,45,101,102,0.7350054525627046,0.6596491228070176,0.65802304964539,0.5941422594142259,117,27,70,71,0.7093183609141056,0.7277777777777777,0.673728813559322,0.5585585585585585,100,18,31,31,0.7773373428102788,0.873015873015873,0.7216981132075472,0.5555555555555556,100,6,10,10,0.8136792452830188
20261127,0.5299999999999999,180,126,0.6946236559139785,0.6862990260594893,0.6395939086294417,197,65,77,126,0.7497085699244161,0.6807017543859649,0.680186170212766,0.6617100371747212,105,39,52,89,0.7489657210401891,0.7166666666666667,0.6882176052487698,0.592,92,26,25,37,0.740978676872608,0.7698412698412699,0.7617924528301887,0.5084745762711864,82,24,5,15,0.8433962264150944
20261228,0.62,180,126,0.6752688172043011,0.6530383935622156,0.5623188405797102,217,45,106,97,0.7264693716391531,0.6385964912280702,0.6371158392434988,0.5761316872427984,112,32,71,70,0.71448975571316,0.7333333333333333,0.6626571897211591,0.5294117647058824,105,13,35,27,0.738928376161837,0.8571428571428571,0.7933962264150943,0.6086956521739131,94,12,6,14,0.8957547169811322
20261329,0.5099999999999999,180,126,0.6989247311827957,0.6995449930432821,0.6713615023474179,182,80,60,143,0.7649193396758545,0.6701754385964912,0.6705082742316785,0.678082191780822,92,52,42,99,0.7306442080378249,0.7444444444444445,0.7361946418808092,0.6567164179104478,90,28,18,44,0.8116457080371787,0.7142857142857143,0.6679245283018868,0.4,78,28,8,12,0.7764150943396226
20261430,0.62,180,126,0.6989247311827957,0.67791336065882,0.5977011494252874,221,41,99,104,0.755292746211409,0.6526315789473685,0.6510047281323877,0.5857740585774058,116,28,71,70,0.7269011032308905,0.7722222222222223,0.7191088026243848,0.6238532110091743,105,13,28,34,0.7970202296336796,0.8571428571428571,0.6514150943396226,0.4375,101,5,13,7,0.780188679245283
