kind,repeat_adapt,threshold_objective,task_l6_label,n,correct,accuracy
extratrees_3,1,accuracy,AB,212,200,0.9433962264150944
extratrees_3,1,accuracy,B1,12,8,0.6666666666666666
extratrees_3,1,accuracy,B2,29,10,0.3448275862068966
extratrees_3,1,accuracy,TC,53,20,0.37735849056603776
extratrees_3,1,balanced_accuracy,AB,212,169,0.7971698113207547
extratrees_3,1,balanced_accuracy,B1,12,3,0.25
extratrees_3,1,balanced_accuracy,B2,29,12,0.41379310344827586
extratrees_3,1,balanced_accuracy,TC,53,31,0.5849056603773585
extratrees_5,1,accuracy,AB,212,197,0.9292452830188679
extratrees_5,1,accuracy,B1,12,7,0.5833333333333334
extratrees_5,1,accuracy,B2,29,10,0.3448275862068966
extratrees_5,1,accuracy,TC,53,21,0.39622641509433965
extratrees_5,1,balanced_accuracy,AB,212,169,0.7971698113207547
extratrees_5,1,balanced_accuracy,B1,12,5,0.4166666666666667
extratrees_5,1,balanced_accuracy,B2,29,13,0.4482758620689655
extratrees_5,1,balanced_accuracy,TC,53,33,0.6226415094339622
logreg_0.0003,4,accuracy,AB,212,198,0.9339622641509434
logreg_0.0003,4,accuracy,B1,12,6,0.5
logreg_0.0003,4,accuracy,B2,29,13,0.4482758620689655
logreg_0.0003,4,accuracy,TC,53,27,0.5094339622641509
logreg_0.0003,4,balanced_accuracy,AB,212,153,0.7216981132075472
logreg_0.0003,4,balanced_accuracy,B1,12,2,0.16666666666666666
logreg_0.0003,4,balanced_accuracy,B2,29,20,0.6896551724137931
logreg_0.0003,4,balanced_accuracy,TC,53,40,0.7547169811320755
logreg_0.001,2,accuracy,AB,212,201,0.9481132075471698
logreg_0.001,2,accuracy,B1,12,8,0.6666666666666666
logreg_0.001,2,accuracy,B2,29,10,0.3448275862068966
logreg_0.001,2,accuracy,TC,53,26,0.49056603773584906
logreg_0.001,2,balanced_accuracy,AB,212,166,0.7830188679245284
logreg_0.001,2,balanced_accuracy,B1,12,2,0.16666666666666666
logreg_0.001,2,balanced_accuracy,B2,29,16,0.5517241379310345
logreg_0.001,2,balanced_accuracy,TC,53,35,0.660377358490566
