candidate,adapt_weight,kind,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,old_accuracy,adapt_accuracy
logreg_c0.03_aw1,1.0,logreg,0.865546218487395,0.86598051539912,0.8681318681318682,151,21,27,158,0.9242928975487115,0.9192982456140351,0.6527777777777778
logreg_c0.1_aw1,1.0,logreg,0.865546218487395,0.86536769327467,0.8702702702702703,148,24,24,161,0.9203331238214959,0.9157894736842105,0.6666666666666666
logreg_c0.3_aw1,1.0,logreg,0.8599439775910365,0.8597580138277813,0.8648648648648649,147,25,25,160,0.9126964173475801,0.9087719298245615,0.6666666666666666
logreg_c1_aw1,1.0,logreg,0.84593837535014,0.845835952231301,0.8509485094850948,145,27,28,157,0.903016970458831,0.8947368421052632,0.6527777777777778
logreg_c0.03_aw2,2.0,logreg,0.8543417366946778,0.8545568824638592,0.8579234972677595,148,24,28,157,0.9232558139534884,0.9052631578947369,0.6527777777777778
logreg_c0.1_aw2,2.0,logreg,0.8487394957983193,0.8489472030169705,0.8524590163934426,147,25,29,156,0.9155248271527341,0.8947368421052632,0.6666666666666666
logreg_c0.3_aw2,2.0,logreg,0.8515406162464986,0.8514456316781898,0.8563685636856369,146,26,27,158,0.9073852922690132,0.9017543859649123,0.6527777777777778
logreg_c1_aw2,2.0,logreg,0.8403361344537815,0.8404305468258957,0.8446866485013624,145,27,30,155,0.8966687617850408,0.887719298245614,0.6527777777777778
logreg_c0.03_aw4,4.0,logreg,0.8431372549019608,0.8437460716530484,0.8453038674033149,148,24,32,153,0.9182275298554369,0.8842105263157894,0.6805555555555556
logreg_c0.1_aw4,4.0,logreg,0.8291316526610645,0.8298240100565681,0.8310249307479224,146,26,35,150,0.9091137649277184,0.8771929824561403,0.6388888888888888
logreg_c0.3_aw4,4.0,logreg,0.834733893557423,0.8352294154619736,0.837465564738292,146,26,33,152,0.8975801382778128,0.887719298245614,0.625
logreg_c1_aw4,4.0,logreg,0.8263305322128851,0.8269170333123822,0.8287292817679558,145,27,35,150,0.8861093651791326,0.8807017543859649,0.6111111111111112
logreg_c0.03_aw8,8.0,logreg,0.8291316526610645,0.8302325581395349,0.8291316526610645,148,24,37,148,0.9063482086737901,0.8736842105263158,0.6527777777777778
logreg_c0.1_aw8,8.0,logreg,0.8263305322128851,0.8273255813953488,0.8268156424581006,147,25,37,148,0.8945631678189817,0.8771929824561403,0.625
logreg_c0.3_aw8,8.0,logreg,0.8207282913165266,0.8215116279069767,0.8222222222222222,145,27,37,148,0.8823381521055941,0.8771929824561403,0.5972222222222222
logreg_c1_aw8,8.0,logreg,0.8179271708683473,0.8186046511627907,0.8199445983379502,144,28,37,148,0.8725329981143936,0.8666666666666667,0.625
et_d2_aw1,1.0,extratrees,0.8515406162464986,0.8530798240100566,0.8498583569405099,154,18,35,150,0.913796354494029,0.9228070175438596,0.5694444444444444
et_d3_aw1,1.0,extratrees,0.8571428571428571,0.8586895034569453,0.8555240793201133,155,17,34,151,0.924010056568196,0.9263157894736842,0.5833333333333334
et_d4_aw1,1.0,extratrees,0.8571428571428571,0.8580766813324954,0.8579387186629527,152,20,31,154,0.9238843494657447,0.9263157894736842,0.5833333333333334
et_dnone_aw1,1.0,extratrees,0.8571428571428571,0.8570553111250785,0.8617886178861789,147,25,26,159,0.9239786297925833,0.9263157894736842,0.5833333333333334
et_d2_aw3,3.0,extratrees,0.8319327731092437,0.8321181646763043,0.8360655737704918,144,28,32,153,0.9037397862979258,0.8982456140350877,0.5694444444444444
et_d3_aw3,3.0,extratrees,0.8571428571428571,0.8580766813324954,0.8579387186629527,152,20,31,154,0.9195788812067881,0.9263157894736842,0.5833333333333334
et_d4_aw3,3.0,extratrees,0.8543417366946778,0.8547611565053426,0.8571428571428571,149,23,29,156,0.9197360150848523,0.9263157894736842,0.5694444444444444
