candidate,C,adapt_weight,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc
crop_logreg_c0.0003_aw1,0.0003,1.0,0.6414565826330533,0.6415933375235701,0.6483516483516484,111,61,67,118,0.7010999371464487
crop_logreg_c0.001_aw1,0.001,1.0,0.6414565826330533,0.6417976115650534,0.6464088397790055,112,60,68,117,0.7042426147077312
crop_logreg_c0.003_aw1,0.003,1.0,0.6526610644257703,0.6530169704588309,0.6574585635359116,114,58,66,119,0.7019798868636078
crop_logreg_c0.01_aw1,0.01,1.0,0.6442577030812325,0.6449088623507229,0.6462395543175488,114,58,69,116,0.6945945945945946
crop_logreg_c0.0003_aw2,0.0003,2.0,0.6218487394957983,0.6218573224387178,0.6301369863013698,107,65,70,115,0.6861407919547454
crop_logreg_c0.001_aw2,0.001,2.0,0.6162464985994398,0.6166561910747957,0.6204986149584487,108,64,73,112,0.6935575109993716
crop_logreg_c0.003_aw2,0.003,2.0,0.6274509803921569,0.6280798240100566,0.6295264623955432,111,61,72,113,0.6944374607165305
crop_logreg_c0.01_aw2,0.01,2.0,0.6442577030812325,0.6445003142677561,0.650137741046832,112,60,67,118,0.6877749842866122
crop_logreg_c0.0003_aw4,0.0003,4.0,0.6190476190476191,0.618541797611565,0.6324324324324324,104,68,68,117,0.6678818353236958
crop_logreg_c0.001_aw4,0.001,4.0,0.6162464985994398,0.6160433689503457,0.6267029972752044,105,67,70,115,0.6769013199245758
crop_logreg_c0.003_aw4,0.003,4.0,0.6190476190476191,0.6191546197360152,0.6263736263736264,107,65,71,114,0.6818981772470144
crop_logreg_c0.01_aw4,0.01,4.0,0.6442577030812325,0.6449088623507229,0.6462395543175488,114,58,69,116,0.681269641734758
