candidate,kind,C,adapt_weight,pca_components_or_depth,train_low_n,train_low_pos,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,old_low_accuracy,adapt_low_accuracy,old_low_pos,adapt_low_pos
logreg_c0.0003_aw1,logreg,0.0003,1.0,,186,30,0.532258064516129,0.573076923076923,0.304,80,76,11,19,0.597863247863248,0.541095890410959,0.5,12,18
logreg_c0.001_aw1,logreg,0.001,1.0,,186,30,0.5483870967741935,0.5557692307692308,0.288135593220339,85,71,13,17,0.5972222222222222,0.5753424657534246,0.45,12,18
logreg_c0.003_aw1,logreg,0.003,1.0,,186,30,0.553763440860215,0.532051282051282,0.26548672566371684,88,68,15,15,0.5905982905982906,0.5958904109589042,0.4,12,18
logreg_c0.01_aw1,logreg,0.01,1.0,,186,30,0.5698924731182796,0.5147435897435897,0.24528301886792453,93,63,17,13,0.5861111111111111,0.6232876712328768,0.375,12,18
logreg_c0.03_aw1,logreg,0.03,1.0,,186,30,0.6129032258064516,0.5269230769230769,0.25,102,54,18,12,0.5782051282051283,0.678082191780822,0.375,12,18
logreg_c0.1_aw1,logreg,0.1,1.0,,186,30,0.6290322580645161,0.5365384615384616,0.25806451612903225,105,51,18,12,0.5784188034188034,0.6917808219178082,0.4,12,18
logreg_c0.0003_aw2,logreg,0.0003,2.0,,186,30,0.5591397849462365,0.6025641025641025,0.32786885245901637,84,72,10,20,0.5908119658119658,0.5616438356164384,0.55,12,18
logreg_c0.001_aw2,logreg,0.001,2.0,,186,30,0.5053763440860215,0.4897435897435897,0.23333333333333334,80,76,16,14,0.5794871794871794,0.5273972602739726,0.425,12,18
logreg_c0.003_aw2,logreg,0.003,2.0,,186,30,0.521505376344086,0.49935897435897436,0.23931623931623933,83,73,16,14,0.5696581196581196,0.547945205479452,0.425,12,18
logreg_c0.01_aw2,logreg,0.01,2.0,,186,30,0.553763440860215,0.47820512820512817,0.20952380952380953,92,64,19,11,0.5626068376068376,0.6027397260273972,0.375,12,18
logreg_c0.03_aw2,logreg,0.03,2.0,,186,30,0.6075268817204301,0.5237179487179487,0.24742268041237114,101,55,18,12,0.5632478632478632,0.6643835616438356,0.4,12,18
logreg_c0.1_aw2,logreg,0.1,2.0,,186,30,0.6182795698924731,0.5301282051282051,0.25263157894736843,103,53,18,12,0.5638888888888889,0.6712328767123288,0.425,12,18
logreg_c0.0003_aw4,logreg,0.0003,4.0,,186,30,0.5268817204301075,0.542948717948718,0.2786885245901639,81,75,13,17,0.5779914529914529,0.5205479452054794,0.55,12,18
logreg_c0.001_aw4,logreg,0.001,4.0,,186,30,0.489247311827957,0.4935897435897436,0.24,76,80,15,15,0.5555555555555556,0.5,0.45,12,18
logreg_c0.003_aw4,logreg,0.003,4.0,,186,30,0.510752688172043,0.492948717948718,0.23529411764705882,81,75,16,14,0.542948717948718,0.5205479452054794,0.475,12,18
logreg_c0.01_aw4,logreg,0.01,4.0,,186,30,0.553763440860215,0.4916666666666667,0.22429906542056074,91,65,18,12,0.5425213675213675,0.589041095890411,0.425,12,18
logreg_c0.03_aw4,logreg,0.03,4.0,,186,30,0.5860215053763441,0.49743589743589745,0.2222222222222222,98,58,19,11,0.5467948717948719,0.6301369863013698,0.425,12,18
logreg_c0.1_aw4,logreg,0.1,4.0,,186,30,0.6182795698924731,0.5166666666666666,0.23655913978494625,104,52,19,11,0.5557692307692308,0.6643835616438356,0.45,12,18
logreg_c0.0003_aw8,logreg,0.0003,8.0,,186,30,0.478494623655914,0.514102564102564,0.2595419847328244,72,84,13,17,0.5517094017094017,0.4726027397260274,0.5,12,18
logreg_c0.001_aw8,logreg,0.001,8.0,,186,30,0.5,0.5269230769230769,0.2677165354330709,76,80,13,17,0.5356837606837607,0.5,0.5,12,18
logreg_c0.003_aw8,logreg,0.003,8.0,,186,30,0.5053763440860215,0.4897435897435897,0.23333333333333334,80,76,16,14,0.5262820512820513,0.5136986301369864,0.475,12,18
logreg_c0.01_aw8,logreg,0.01,8.0,,186,30,0.543010752688172,0.48525641025641025,0.22018348623853212,89,67,18,12,0.5311965811965812,0.5684931506849316,0.45,12,18
logreg_c0.03_aw8,logreg,0.03,8.0,,186,30,0.5806451612903226,0.5076923076923077,0.23529411764705882,96,60,18,12,0.5378205128205129,0.6164383561643836,0.45,12,18
logreg_c0.1_aw8,logreg,0.1,8.0,,186,30,0.6129032258064516,0.5134615384615384,0.23404255319148937,103,53,19,11,0.5461538461538462,0.6575342465753424,0.45,12,18
pca16_logreg_c0.003_aw1,logreg,0.003,1.0,16.0,186,30,0.5161290322580645,0.5365384615384615,0.27419354838709675,79,77,13,17,0.5286324786324785,0.5205479452054794,0.5,12,18
pca32_logreg_c0.003_aw1,logreg,0.003,1.0,32.0,186,30,0.553763440860215,0.558974358974359,0.2905982905982906,86,70,13,17,0.6106837606837607,0.5616438356164384,0.525,12,18
pca64_logreg_c0.003_aw1,logreg,0.003,1.0,64.0,186,30,0.532258064516129,0.5326923076923077,0.2689075630252101,83,73,14,16,0.5952991452991453,0.5616438356164384,0.425,12,18
pca16_logreg_c0.01_aw1,logreg,0.01,1.0,16.0,186,30,0.5161290322580645,0.5096153846153846,0.25,81,75,15,15,0.5271367521367522,0.5342465753424658,0.45,12,18
pca32_logreg_c0.01_aw1,logreg,0.01,1.0,32.0,186,30,0.6075268817204301,0.6044871794871794,0.3302752293577982,95,61,12,18,0.6170940170940171,0.6164383561643836,0.575,12,18
pca64_logreg_c0.01_aw1,logreg,0.01,1.0,64.0,186,30,0.5268817204301075,0.4891025641025641,0.22807017543859648,85,71,17,13,0.5878205128205128,0.5616438356164384,0.4,12,18
pca16_logreg_c0.03_aw1,logreg,0.03,1.0,16.0,186,30,0.5268817204301075,0.5025641025641026,0.2413793103448276,84,72,16,14,0.5286324786324786,0.547945205479452,0.45,12,18
pca32_logreg_c0.03_aw1,logreg,0.03,1.0,32.0,186,30,0.6344086021505376,0.5935897435897436,0.32,102,54,14,16,0.6188034188034188,0.6575342465753424,0.55,12,18
pca64_logreg_c0.03_aw1,logreg,0.03,1.0,64.0,186,30,0.5967741935483871,0.4769230769230769,0.1935483870967742,102,54,21,9,0.586965811965812,0.6438356164383562,0.425,12,18
pca16_logreg_c0.1_aw1,logreg,0.1,1.0,16.0,186,30,0.5752688172043011,0.5179487179487179,0.24761904761904763,94,62,17,13,0.527991452991453,0.6027397260273972,0.475,12,18
pca32_logreg_c0.1_aw1,logreg,0.1,1.0,32.0,186,30,0.6559139784946236,0.5391025641025641,0.2558139534883721,111,45,19,11,0.6250000000000001,0.6986301369863014,0.5,12,18
pca64_logreg_c0.1_aw1,logreg,0.1,1.0,64.0,186,30,0.6666666666666666,0.532051282051282,0.24390243902439024,114,42,20,10,0.5972222222222222,0.7191780821917808,0.475,12,18
pca16_logreg_c0.003_aw2,logreg,0.003,2.0,16.0,186,30,0.5376344086021505,0.5762820512820512,0.3064516129032258,81,75,11,19,0.552991452991453,0.5136986301369864,0.625,12,18
pca32_logreg_c0.003_aw2,logreg,0.003,2.0,32.0,186,30,0.553763440860215,0.558974358974359,0.2905982905982906,86,70,13,17,0.6104700854700855,0.5616438356164384,0.525,12,18
pca64_logreg_c0.003_aw2,logreg,0.003,2.0,64.0,186,30,0.5161290322580645,0.523076923076923,0.26229508196721313,80,76,14,16,0.5841880341880342,0.5342465753424658,0.45,12,18
pca16_logreg_c0.01_aw2,logreg,0.01,2.0,16.0,186,30,0.5483870967741935,0.5692307692307692,0.3,84,72,12,18,0.5517094017094017,0.5342465753424658,0.6,12,18
pca32_logreg_c0.01_aw2,logreg,0.01,2.0,32.0,186,30,0.5860215053763441,0.5647435897435897,0.29357798165137616,93,63,14,16,0.6123931623931624,0.6027397260273972,0.525,12,18
pca64_logreg_c0.01_aw2,logreg,0.01,2.0,64.0,186,30,0.532258064516129,0.49230769230769234,0.23008849557522124,86,70,17,13,0.5797008547008548,0.5547945205479452,0.45,12,18
pca16_logreg_c0.03_aw2,logreg,0.03,2.0,16.0,186,30,0.5860215053763441,0.5512820512820513,0.2803738317757009,94,62,15,15,0.552991452991453,0.6027397260273972,0.525,12,18
pca32_logreg_c0.03_aw2,logreg,0.03,2.0,32.0,186,30,0.6129032258064516,0.5403846153846155,0.2653061224489796,101,55,17,13,0.6138888888888889,0.6301369863013698,0.55,12,18
pca64_logreg_c0.03_aw2,logreg,0.03,2.0,64.0,186,30,0.5752688172043011,0.4641025641025641,0.18556701030927836,98,58,21,9,0.5856837606837607,0.6301369863013698,0.375,12,18
pca16_logreg_c0.1_aw2,logreg,0.1,2.0,16.0,186,30,0.5967741935483871,0.5442307692307693,0.27184466019417475,97,59,16,14,0.5538461538461539,0.6164383561643836,0.525,12,18
pca32_logreg_c0.1_aw2,logreg,0.1,2.0,32.0,186,30,0.6505376344086021,0.5358974358974359,0.25287356321839083,110,46,19,11,0.6185897435897436,0.684931506849315,0.525,12,18
pca64_logreg_c0.1_aw2,logreg,0.1,2.0,64.0,186,30,0.6666666666666666,0.5185897435897436,0.225,115,41,21,9,0.5961538461538461,0.7054794520547946,0.525,12,18
pca16_logreg_c0.003_aw4,logreg,0.003,4.0,16.0,186,30,0.5161290322580645,0.5634615384615385,0.296875,77,79,11,19,0.5666666666666668,0.4794520547945205,0.65,12,18
pca32_logreg_c0.003_aw4,logreg,0.003,4.0,32.0,186,30,0.543010752688172,0.5525641025641026,0.2857142857142857,84,72,13,17,0.5942307692307692,0.5342465753424658,0.575,12,18
pca64_logreg_c0.003_aw4,logreg,0.003,4.0,64.0,186,30,0.5161290322580645,0.5096153846153846,0.25,81,75,15,15,0.5662393162393162,0.5068493150684932,0.55,12,18
pca16_logreg_c0.01_aw4,logreg,0.01,4.0,16.0,186,30,0.5483870967741935,0.5557692307692308,0.288135593220339,85,71,13,17,0.5643162393162393,0.5342465753424658,0.6,12,18
pca32_logreg_c0.01_aw4,logreg,0.01,4.0,32.0,186,30,0.5645161290322581,0.551923076923077,0.2831858407079646,89,67,14,16,0.6,0.5616438356164384,0.575,12,18
pca64_logreg_c0.01_aw4,logreg,0.01,4.0,64.0,186,30,0.5698924731182796,0.5282051282051282,0.25925925925925924,92,64,16,14,0.5675213675213675,0.5753424657534246,0.55,12,18
