eval_group,task_l6_label,n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp
third_holdout,AB,188,0.7393617021276596,,0.0,139,49,0,0
third_holdout,B1,8,0.5,,0.0,4,4,0,0
third_holdout,B2,7,0.42857142857142855,,0.6,0,0,4,3
third_holdout,TC,31,0.8064516129032258,,0.8928571428571429,0,0,6,25
old,A,44,0.6818181818181818,,0.0,30,14,0,0
old,AB,50,0.78,,0.0,39,11,0,0
old,B1,50,0.5,,0.0,25,25,0,0
old,B2,60,0.6,,0.75,0,0,24,36
old,B3,24,0.5416666666666666,,0.7027027027027027,0,0,11,13
old,TC,57,0.7368421052631579,,0.8484848484848485,0,0,15,42
adapt72,AB,24,1.0,,0.0,24,0,0,0
adapt72,B1,4,1.0,,0.0,4,0,0,0
adapt72,B2,22,1.0,,1.0,0,0,0,22
adapt72,TC,22,1.0,,1.0,0,0,0,22
