accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,candidate,threshold
0.7192982456140351,0.7188238770685579,0.7037037037037037,110,34,46,95,0.7650216706067772,svc_c1,0.5099999999999999
0.7157894736842105,0.7143912529550827,0.6693877551020408,122,22,59,82,0.7759554767533492,logreg_c0003,0.61
0.712280701754386,0.7115839243498818,0.6893939393939394,112,32,50,91,0.7474389282899921,extra_d7_l2,0.5099999999999999
0.712280701754386,0.7112145390070922,0.6771653543307087,117,27,55,86,0.7522655634357762,rf_d7,0.5199999999999999
0.7087719298245614,0.7081117021276596,0.6867924528301886,111,33,50,91,0.7445330969267141,extra_d3_l8,0.5099999999999999
0.7087719298245614,0.7078900709219857,0.6795366795366795,114,30,53,88,0.7716706067769898,logreg_c001,0.6
0.7087719298245614,0.7075945626477541,0.6693227091633466,118,26,57,84,0.7679275019700551,logreg_c003,0.69
0.7052631578947368,0.7047872340425532,0.6888888888888889,108,36,48,93,0.7493104806934594,extra_dnone_l4,0.49999999999999994
0.7017543859649122,0.7014627659574468,0.6909090909090909,105,39,46,95,0.7644306540583137,logreg_c01,0.5299999999999999
0.7017543859649122,0.7012411347517731,0.6840148698884758,108,36,49,92,0.7629531126871554,logreg_c03,0.6499999999999999
0.6982456140350877,0.6980644208037825,0.6906474820143885,103,41,45,96,0.7620173364854216,logreg_c10,0.5399999999999999
0.6982456140350877,0.6974734042553192,0.6717557251908397,111,33,53,88,0.7424152876280536,extra_d7_l8,0.5099999999999999
0.6982456140350877,0.6973995271867612,0.6692307692307692,112,32,54,87,0.7534475965327029,extra_d7_l4,0.5099999999999999
0.6982456140350877,0.6971040189125295,0.6587301587301587,116,28,58,83,0.7540386130811663,extra_d5_l2,0.5199999999999999
0.6982456140350877,0.6971040189125295,0.6587301587301587,116,28,58,83,0.7566489361702128,extra_dnone_l8,0.5199999999999999
0.6947368421052632,0.694813829787234,0.6947368421052632,99,45,42,99,0.7554176516942473,rf_d5,0.48999999999999994
0.6947368421052632,0.6927452718676123,0.6200873362445415,127,17,70,71,0.7467001576044129,extra_d5_l8,0.5399999999999999
0.6912280701754386,0.6916371158392436,0.7006802721088435,94,50,38,103,0.7268026004728132,mlp64_32_a003,0.35999999999999993
0.6912280701754386,0.6906767139479906,0.6716417910447762,107,37,51,90,0.7309397163120567,extra_d5_l4,0.5099999999999999
0.6912280701754386,0.6891991725768322,0.6140350877192983,127,17,71,70,0.7367513790386131,extra_dnone_l2,0.5499999999999999
0.6877192982456141,0.6880910165484634,0.6962457337883959,94,50,39,102,0.7203999211977936,mlp96_a003,0.4799999999999999
0.6877192982456141,0.6858747044917257,0.6180257510729614,124,20,69,72,0.7412332545311269,extra_d3_l2,0.5199999999999999
0.6842105263157895,0.6834367612293144,0.6564885496183206,109,35,55,86,0.73650512214342,extra_d3_l4,0.5099999999999999
0.6842105263157895,0.6826979905437351,0.628099173553719,119,25,65,76,0.7414302600472813,rf_d3,0.5199999999999999
0.6736842105263158,0.6737588652482269,0.6736842105263158,96,48,45,96,0.7038514578408195,svc_c03,0.49999999999999994
0.6666666666666666,0.6674054373522458,0.6864686468646864,86,58,37,104,0.7074960598896769,gb_d1_lr03,0.4799999999999999
0.656140350877193,0.6549940898345153,0.6111111111111112,110,34,64,77,0.7097616233254531,gb_d2_lr03,0.5599999999999999
0.6175438596491228,0.6178339243498818,0.6254295532646048,85,59,50,91,0.6587618203309694,knn11,0.49999999999999994
0.6105263157894737,0.6110372340425532,0.6262626262626263,81,63,48,93,0.6477787628053585,knn7,0.49999999999999994
