variant,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,task_l6_label,n
orig_wpc,0.75,0.75,0.0,6,2,0,0,A,8
orig_wpc,0.5384615384615384,0.5384615384615384,0.0,21,18,0,0,AB,39
orig_wpc,0.6363636363636364,0.6363636363636364,0.0,7,4,0,0,B1,11
orig_wpc,0.0,0.0,0.0,0,0,1,0,B1_B2_mixed,1
orig_wpc,0.3571428571428571,0.3571428571428571,0.5263157894736842,0,0,18,10,B2,28
orig_wpc,0.3333333333333333,0.3333333333333333,0.5,0,0,2,1,B2_B3_mixed,3
orig_wpc,0.6,0.6,0.75,0,0,4,6,B3,10
orig_wpc,0.6666666666666666,0.6666666666666666,0.0,2,1,0,0,MNT_assumed_low,3
orig_wpc,0.8,0.8,0.8888888888888888,0,0,1,4,TC,5
bgnorm085_wpc,0.5,0.5,0.0,4,4,0,0,A,8
bgnorm085_wpc,0.4102564102564102,0.4102564102564102,0.0,16,23,0,0,AB,39
bgnorm085_wpc,0.6363636363636364,0.6363636363636364,0.0,7,4,0,0,B1,11
bgnorm085_wpc,1.0,1.0,1.0,0,0,0,1,B1_B2_mixed,1
bgnorm085_wpc,0.3928571428571428,0.3928571428571428,0.5641025641025641,0,0,17,11,B2,28
bgnorm085_wpc,0.3333333333333333,0.3333333333333333,0.5,0,0,2,1,B2_B3_mixed,3
bgnorm085_wpc,0.8,0.8,0.8888888888888888,0,0,2,8,B3,10
bgnorm085_wpc,0.0,0.0,0.0,0,3,0,0,MNT_assumed_low,3
bgnorm085_wpc,0.6,0.6,0.75,0,0,2,3,TC,5
flip_lr_wpc,0.75,0.75,0.0,6,2,0,0,A,8
flip_lr_wpc,0.6666666666666666,0.6666666666666666,0.0,26,13,0,0,AB,39
flip_lr_wpc,0.8181818181818182,0.8181818181818182,0.0,9,2,0,0,B1,11
flip_lr_wpc,0.0,0.0,0.0,0,0,1,0,B1_B2_mixed,1
flip_lr_wpc,0.2142857142857142,0.2142857142857142,0.3529411764705882,0,0,22,6,B2,28
flip_lr_wpc,0.0,0.0,0.0,0,0,3,0,B2_B3_mixed,3
flip_lr_wpc,0.4,0.4,0.5714285714285714,0,0,6,4,B3,10
flip_lr_wpc,0.6666666666666666,0.6666666666666666,0.0,2,1,0,0,MNT_assumed_low,3
flip_lr_wpc,0.6,0.6,0.75,0,0,2,3,TC,5
tta_avg_orig_flip_wpc,0.875,0.875,0.0,7,1,0,0,A,8
tta_avg_orig_flip_wpc,0.7948717948717948,0.7948717948717948,0.0,31,8,0,0,AB,39
tta_avg_orig_flip_wpc,0.9090909090909092,0.9090909090909092,0.0,10,1,0,0,B1,11
tta_avg_orig_flip_wpc,1.0,1.0,1.0,0,0,0,1,B1_B2_mixed,1
tta_avg_orig_flip_wpc,0.1428571428571428,0.1428571428571428,0.25,0,0,24,4,B2,28
tta_avg_orig_flip_wpc,0.3333333333333333,0.3333333333333333,0.5,0,0,2,1,B2_B3_mixed,3
tta_avg_orig_flip_wpc,0.2,0.2,0.3333333333333333,0,0,8,2,B3,10
tta_avg_orig_flip_wpc,1.0,1.0,0.0,3,0,0,0,MNT_assumed_low,3
tta_avg_orig_flip_wpc,0.2,0.2,0.3333333333333333,0,0,4,1,TC,5
