align,pca_components,pca_explained,c,gamma,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
diag,32,0.6357396841049194,0.3,scale,balanced_accuracy,-0.08601240992546078,0.6561022458628842,0.656140350877193,0.6561022458628842,0.6524822695035462,95,49,49,92,0.7034574468085106,0.6388888888888888,0.6339379141960237,0.5894736842105263,41,20,19,28,0.6459713986745726,0.6285714285714286,0.6254585473220836,0.5894736842105263,38,20,19,28,0.6397652237710932
diag,40,0.6801644563674927,0.3,scale,balanced_accuracy,-0.0786433488130569,0.666371158392435,0.6666666666666666,0.666371158392435,0.6545454545454545,100,44,51,90,0.7048364854215918,0.6296296296296297,0.6232996163236832,0.574468085106383,41,20,20,27,0.6285315660969655,0.6190476190476191,0.6148202494497432,0.574468085106383,38,20,20,27,0.6228906823184153
diag,40,0.6801644563674927,0.3,scale,accuracy,-0.0786433488130569,0.6666666666666666,0.6666666666666666,0.666371158392435,0.6545454545454545,100,44,51,90,0.7048364854215918,0.6296296296296297,0.6232996163236832,0.574468085106383,41,20,20,27,0.6285315660969655,0.6190476190476191,0.6148202494497432,0.574468085106383,38,20,20,27,0.6228906823184153
diag,40,0.6801644563674927,1.0,scale,balanced_accuracy,0.13285695314407353,0.6863918439716312,0.6877192982456141,0.6863918439716312,0.6396761133603239,117,27,62,79,0.7227639873916469,0.6296296296296297,0.6110917335193582,0.5238095238095238,46,15,25,22,0.6100453435647019,0.6190476190476191,0.6047322083639032,0.5238095238095238,43,15,25,22,0.607850330154072
diag,40,0.6801644563674927,1.0,scale,accuracy,0.13285695314407353,0.6877192982456141,0.6877192982456141,0.6863918439716312,0.6396761133603239,117,27,62,79,0.7227639873916469,0.6296296296296297,0.6110917335193582,0.5238095238095238,46,15,25,22,0.6100453435647019,0.6190476190476191,0.6047322083639032,0.5238095238095238,43,15,25,22,0.607850330154072
diag,32,0.6357396841049194,10.0,0.01,balanced_accuracy,0.024260401725769043,0.6736111111111112,0.6736842105263158,0.6736111111111112,0.6690391459074733,98,46,47,94,0.7162135539795115,0.6018518518518519,0.5962678758283921,0.5473684210526316,39,22,21,26,0.6089989536100453,0.6095238095238096,0.6041819515774027,0.5591397849462365,38,20,21,26,0.6100513573000733
diag,32,0.6357396841049194,10.0,0.01,accuracy,0.024260401725769043,0.6736842105263158,0.6736842105263158,0.6736111111111112,0.6690391459074733,98,46,47,94,0.7162135539795115,0.6018518518518519,0.5962678758283921,0.5473684210526316,39,22,21,26,0.6089989536100453,0.6095238095238096,0.6041819515774027,0.5591397849462365,38,20,21,26,0.6100513573000733
diag,40,0.6801644563674927,10.0,scale,balanced_accuracy,0.14852646827697757,0.6722813238770686,0.6736842105263158,0.6722813238770686,0.6204081632653061,116,28,65,76,0.7181343577620174,0.6111111111111112,0.6044645971398674,0.5531914893617021,40,21,21,26,0.6023718172305546,0.6095238095238096,0.6041819515774027,0.5591397849462365,38,20,21,26,0.6019809244314013
diag,40,0.6801644563674927,10.0,scale,accuracy,0.14852646827697757,0.6736842105263158,0.6736842105263158,0.6722813238770686,0.6204081632653061,116,28,65,76,0.7181343577620174,0.6111111111111112,0.6044645971398674,0.5531914893617021,40,21,21,26,0.6023718172305546,0.6095238095238096,0.6041819515774027,0.5591397849462365,38,20,21,26,0.6019809244314013
diag,32,0.6357396841049194,3.0,0.01,balanced_accuracy,-0.17378448009490954,0.657136524822695,0.656140350877193,0.657136524822695,0.6838709677419355,81,63,35,106,0.7175925925925926,0.5833333333333334,0.5969654691314963,0.5945945945945946,30,31,14,33,0.6337635158702476,0.5904761904761905,0.601063829787234,0.6055045871559633,29,29,14,33,0.6287600880410859
diag,32,0.6357396841049194,3.0,0.01,accuracy,-0.17378448009490954,0.656140350877193,0.656140350877193,0.657136524822695,0.6838709677419355,81,63,35,106,0.7175925925925926,0.5833333333333334,0.5969654691314963,0.5945945945945946,30,31,14,33,0.6337635158702476,0.5904761904761905,0.601063829787234,0.6055045871559633,29,29,14,33,0.6287600880410859
diag,48,0.71592116355896,0.3,0.01,balanced_accuracy,0.06119689524173744,0.6581708037825059,0.6596491228070176,0.6581708037825059,0.6008230452674898,115,29,68,73,0.6891745468873127,0.6203703703703703,0.6053365887687479,0.5287356321839081,44,17,24,23,0.600976630624346,0.6095238095238096,0.5981291269258987,0.5287356321839081,41,17,24,23,0.5942773294203962
