align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
coral,64,0.9600134491920471,logreg_c01,top5sim,none,balanced_accuracy,0.63,0.6303191489361701,0.631578947368421,0.6303191489361701,0.5783132530120482,108,36,69,72,0.6478526398739165,0.6574074074074074,0.6332403208929194,0.5316455696202531,50,11,26,21,0.5877223578653645,0.6476190476190476,0.6285766691122523,0.5316455696202531,47,11,26,21,0.5707997065297138
none,200,0.9999929666519165,rf_d5,none,p80,balanced_accuracy,0.48999999999999994,0.5166223404255319,0.5157894736842106,0.5166223404255319,0.5490196078431373,63,81,57,84,0.5000492513790386,0.6203703703703703,0.629752354377398,0.616822429906542,34,27,14,33,0.6557377049180328,0.6095238095238096,0.6183052090975789,0.616822429906542,31,27,14,33,0.6452677916360968
diag,200,0.9999927878379822,rf_d5,none,none,balanced_accuracy,0.4799999999999999,0.5562943262411347,0.5543859649122806,0.5562943262411347,0.6208955223880597,54,90,37,104,0.5479708431836092,0.5648148148148148,0.5854551796302755,0.5982905982905983,26,35,12,35,0.5831880013951866,0.580952380952381,0.5964783565663976,0.6140350877192983,26,32,12,35,0.5858400586940572
coral,64,0.9599411487579346,logreg_c01,maxsim,none,balanced_accuracy,0.5299999999999999,0.6450206855791962,0.6456140350877193,0.6450206855791962,0.6217228464419475,101,43,58,83,0.6728723404255319,0.6111111111111112,0.6020230205790025,0.5434782608695652,41,20,22,25,0.5873735612138123,0.6,0.5935436537050623,0.5434782608695652,38,20,22,25,0.5707997065297139
coral,200,0.9999927878379822,rf_d5,top5sim,none,balanced_accuracy,0.5199999999999999,0.5950797872340425,0.5964912280701754,0.5950797872340425,0.5306122448979592,105,39,76,65,0.5750098502758078,0.6111111111111112,0.5995814440181374,0.5333333333333333,42,19,23,24,0.5280781304499477,0.6,0.5915260454878943,0.5333333333333333,39,19,23,24,0.5209097578870139
none,128,0.9999477863311768,rf_d5,top5sim,none,balanced_accuracy,0.49999999999999994,0.5583628841607564,0.5578947368421052,0.5583628841607564,0.5743243243243243,74,70,56,85,0.5564913317572893,0.6018518518518519,0.584059993024067,0.49411764705882355,44,17,26,21,0.5824904080920823,0.6,0.5854732208363903,0.5,42,16,26,21,0.578503301540719
none,128,0.9999477863311768,rf_d5,none,none,balanced_accuracy,0.4799999999999999,0.5843676122931443,0.5824561403508772,0.5843676122931443,0.6447761194029851,58,86,33,108,0.553585500394011,0.6018518518518519,0.593826299267527,0.5376344086021505,40,21,22,25,0.5856295779560516,0.5904761904761905,0.58492296404989,0.5376344086021505,37,21,22,25,0.5821716801173881
none,64,0.9599553346633911,rf_d5,none,p80,balanced_accuracy,0.4699999999999999,0.6196808510638298,0.6175438596491228,0.6196808510638298,0.6803519061583577,60,84,25,116,0.632633963750985,0.6018518518518519,0.591384722706662,0.5274725274725275,41,20,23,24,0.5814440181374259,0.5904761904761905,0.582905355832722,0.5274725274725275,38,20,23,24,0.5744680851063829
mean,200,0.9999927282333374,rf_d5,none,none,balanced_accuracy,0.4799999999999999,0.5636820330969268,0.5614035087719298,0.5636820330969268,0.6376811594202898,50,94,31,110,0.541371158392435,0.5462962962962963,0.5837111963725148,0.6259541984732825,18,43,6,41,0.6034182071852111,0.5523809523809524,0.5827219369038885,0.6356589147286822,17,41,6,41,0.599046221570066
coral,64,0.9598847031593323,logreg_c01,none,p90,balanced_accuracy,0.5499999999999999,0.624113475177305,0.624561403508772,0.624113475177305,0.6051660516605166,96,48,59,82,0.6584416863672182,0.6018518518518519,0.588943146145797,0.5168539325842697,42,19,24,23,0.5713289152424137,0.5904761904761905,0.580887747615554,0.5168539325842697,39,19,24,23,0.5553925165077036
none,128,0.9999481439590454,rf_d5,maxsim,none,balanced_accuracy,0.5199999999999999,0.5595449172576832,0.5614035087719298,0.5595449172576832,0.463519313304721,106,38,87,54,0.5632880220646179,0.6203703703703703,0.5833623997209627,0.4057971014492754,53,8,33,14,0.5852807813044995,0.6095238095238096,0.5799706529713866,0.4057971014492754,50,8,33,14,0.5766691122523844
none,128,0.9999477863311768,extra_d5,none,p85,balanced_accuracy,0.48999999999999994,0.556146572104019,0.5543859649122806,0.556146572104019,0.6163141993957704,56,88,39,102,0.5598896769109535,0.5740740740740741,0.5838855946982908,0.5740740740740741,31,30,16,31,0.5946982908964074,0.5714285714285714,0.5797872340425532,0.5794392523364486,29,29,16,31,0.5832721936903889
none,64,0.9599593877792358,rf_d5,top5sim,none,balanced_accuracy,0.4699999999999999,0.5951536643026005,0.5929824561403508,0.5951536643026005,0.6608187134502924,56,88,28,113,0.6154452324665091,0.5833333333333334,0.5871991628880362,0.5631067961165048,34,27,18,29,0.6002790373212418,0.5714285714285714,0.5757520176082171,0.5631067961165048,31,27,18,29,0.5876742479823918
mean,200,0.999992847442627,extra_d5,none,none,balanced_accuracy,0.48999999999999994,0.5285165484633569,0.5263157894736842,0.5285165484633569,0.6064139941690962,46,98,37,104,0.5200453112687154,0.5370370370370371,0.5803976281827694,0.6323529411764706,15,46,4,43,0.612835716777119,0.5333333333333333,0.5695157740278797,0.6370370370370371,13,45,4,43,0.6005135730007337
