align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
none,32,0.7665790915489197,extra_d5,none,p80,balanced_accuracy,0.4799999999999999,0.6227836879432624,0.6210526315789474,0.6227836879432624,0.6727272727272727,66,78,30,111,0.6492809298660362,0.6388888888888888,0.6363794907568887,0.5979381443298969,40,21,18,29,0.5681897453784444,0.638095238095238,0.636096845194424,0.6041666666666666,38,20,18,29,0.5627292736610418
none,64,0.8867862224578857,rf_d5,top5sim,none,balanced_accuracy,0.4699999999999999,0.6156176122931443,0.6140350877192983,0.6156176122931443,0.6625766871165644,67,77,33,108,0.6408096926713949,0.6111111111111112,0.6166724799441925,0.5961538461538461,35,26,16,31,0.579351238228113,0.6095238095238096,0.6142699926632429,0.6019417475728155,33,25,16,31,0.5711665443873808
none,32,0.766535758972168,extra_d5,top5sim,none,balanced_accuracy,0.48999999999999994,0.6181294326241135,0.6175438596491228,0.6181294326241135,0.6354515050167224,81,63,46,95,0.6611012608353035,0.6018518518518519,0.586501569584932,0.5057471264367817,43,18,25,22,0.6079525636553889,0.6,0.5874908290535583,0.5116279069767442,41,17,25,22,0.6041819515774027
none,200,0.9931449294090271,logreg_c01,none,p90,balanced_accuracy,0.36999999999999994,0.6329048463356974,0.631578947368421,0.6329048463356974,0.670846394984326,73,71,34,107,0.6436170212765957,0.5740740740740741,0.5716777118939658,0.5306122448979592,36,25,21,26,0.5549354726194629,0.580952380952381,0.5783198826118856,0.5416666666666666,35,23,21,26,0.5594277329420396
coral,64,0.8869252800941467,logreg_c001,maxsim,none,balanced_accuracy,0.58,0.5620567375886525,0.5649122807017544,0.5620567375886525,0.39805825242718446,120,24,100,41,0.5503841607565012,0.6203703703703703,0.5809208231600976,0.3880597014925373,54,7,34,13,0.534007673526334,0.6095238095238096,0.5779530447542186,0.3880597014925373,51,7,34,13,0.5216434336023478
none,128,0.9673944115638733,extra_d5,none,p90,balanced_accuracy,0.49999999999999994,0.6283244680851063,0.6280701754385964,0.6283244680851063,0.6344827586206897,87,57,49,92,0.6412529550827424,0.6018518518518519,0.5694105336588768,0.410958904109589,50,11,32,15,0.5113358911754446,0.6,0.5733675715333822,0.4166666666666667,48,10,32,15,0.5124724871606751
none,128,0.9673432111740112,extra_d5,top5sim,none,balanced_accuracy,0.48999999999999994,0.6247783687943262,0.624561403508772,0.6247783687943262,0.629757785467128,87,57,50,91,0.6293341213553979,0.5833333333333334,0.5603418207185211,0.4444444444444444,45,16,29,18,0.5437739797697941,0.5904761904761905,0.5707997065297139,0.45569620253164556,44,14,29,18,0.5506236243580337
diag,128,0.967340886592865,extra_d5,none,none,balanced_accuracy,0.49999999999999994,0.6032801418439716,0.6035087719298246,0.6032801418439716,0.592057761732852,90,54,59,82,0.6063337273443656,0.5648148148148148,0.5634809905824905,0.5252525252525253,35,26,21,26,0.5688873386815487,0.5714285714285714,0.5696991929567131,0.5360824742268041,34,24,21,26,0.5752017608217168
coral,200,0.9931503534317017,extra_d5,top5sim,none,balanced_accuracy,0.48999999999999994,0.5410756501182032,0.5403508771929825,0.5410756501182032,0.5676567656765676,68,76,55,86,0.5057131599684791,0.5648148148148148,0.5732472968259505,0.5607476635514018,31,30,17,30,0.5374956400418556,0.5619047619047619,0.5691489361702128,0.5660377358490566,29,29,17,30,0.5363169479090242
none,200,0.9931593537330627,logreg_c01,maxsim,none,balanced_accuracy,0.38999999999999996,0.5865839243498818,0.5859649122807018,0.5865839243498818,0.6066666666666667,76,68,50,91,0.6029846335697399,0.5740740740740741,0.5692361353331008,0.5208333333333334,37,24,22,25,0.5378444366934078,0.5714285714285714,0.5676815847395451,0.5263157894736842,35,23,22,25,0.5443873807776962
diag,200,0.9931545257568359,logreg_c1,none,none,balanced_accuracy,0.30999999999999994,0.6218971631205674,0.6210526315789474,0.6218971631205674,0.6470588235294118,78,66,42,99,0.6513002364066194,0.5462962962962963,0.5592954307638647,0.5585585585585585,28,33,16,31,0.5542378793163586,0.5523809523809524,0.5625458547322083,0.5688073394495413,27,31,16,31,0.5542920029347029
mean,200,0.9931609034538269,logreg_c1,none,none,balanced_accuracy,0.12,0.6230053191489362,0.6210526315789474,0.6230053191489362,0.6785714285714286,63,81,27,114,0.6313041765169425,0.5370370370370371,0.5486571328915243,0.5454545454545454,28,33,17,30,0.5762120683641437,0.5523809523809524,0.5605282465150404,0.5607476635514018,28,30,17,30,0.5825385179750551
none,200,0.993166983127594,extra_d5,none,p85,balanced_accuracy,0.48999999999999994,0.5672281323877069,0.5649122807017544,0.5672281323877069,0.6416184971098265,50,94,30,111,0.5741725768321512,0.5740740740740741,0.5594698290896407,0.4772727272727273,41,20,26,21,0.4942448552493896,0.5714285714285714,0.5596111518708731,0.4827586206896552,39,19,26,21,0.4963316214233308
coral,32,0.7666339874267578,rf_d5,top5sim,none,balanced_accuracy,0.4499999999999999,0.5884308510638298,0.5859649122807018,0.5884308510638298,0.6628571428571428,51,93,25,116,0.5705279747832941,0.5370370370370371,0.5559818625741193,0.5689655172413793,25,36,14,33,0.5437739797697942,0.5428571428571428,0.557960381511372,0.5789473684210527,24,34,14,33,0.5348495964783565
none,200,0.993149995803833,logreg_c01,none,p80,balanced_accuracy,0.4699999999999999,0.603797281323877,0.6035087719298246,0.603797281323877,0.6116838487972509,83,61,52,89,0.6379531126871552,0.5648148148148148,0.5585978374607603,0.5052631578947369,37,24,23,24,0.5587722357865365,0.5619047619047619,0.5570432868672046,0.5106382978723404,35,23,23,24,0.5627292736610419
none,32,0.7667337656021118,extra_d5,maxsim,none,balanced_accuracy,0.48999999999999994,0.6101507092198581,0.6105263157894737,0.6101507092198581,0.5934065934065934,93,51,60,81,0.6328309692671396,0.5740740740740741,0.5472619462853157,0.41025641025641024,46,15,31,16,0.5779560516219044,0.5714285714285714,0.549523110785033,0.4155844155844156,44,14,31,16,0.5741012472487161
coral,32,0.7667152881622314,rf_d5,none,p90,balanced_accuracy,0.4599999999999999,0.5950797872340425,0.5929824561403508,0.5950797872340425,0.6588235294117647,57,87,29,112,0.6221434200157605,0.5277777777777778,0.5477851412626439,0.5641025641025641,24,37,14,33,0.5333100802232298,0.5333333333333333,0.5493396918561996,0.5739130434782609,23,35,14,33,0.5253118121790169
coral,64,0.8869209289550781,rf_d5,none,p85,balanced_accuracy,0.4799999999999999,0.5375295508274232,0.5368421052631579,0.5375295508274232,0.5629139072847682,68,76,56,85,0.5377265563435776,0.5277777777777778,0.5477851412626439,0.5641025641025641,24,37,14,33,0.5378444366934076,0.5333333333333333,0.5493396918561996,0.5739130434782609,23,35,14,33,0.5297138664710198
