group,n,n_low,n_high,auc,accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp,config,routed_n,rescue_n,hurt_n,net_rescue,objective,train_groups,apply_groups,rescue_high_to_low_fn,rescue_low_to_high_fp,hurt_to_fn,hurt_to_fp
overall,285,144,141,0.9429669030732861,0.8982456140350877,0.8981973995271868,0.896797153024911,0.8936170212765957,0.9027777777777778,130,14,15,126,main__img_stack_gross_core__train_allhard_apply_hardcore__balanced_accuracy,65,44,6,38,balanced_accuracy,hard_core|hard_salvage_teacher,hard_core,23.0,21.0,5.0,1.0
overall,285,144,141,0.9405043341213555,0.8982456140350877,0.8981973995271868,0.896797153024911,0.8936170212765957,0.9027777777777778,130,14,15,126,upper__img_stack_gross_core__train_allhard_apply_hardcore__balanced_accuracy,65,43,6,37,balanced_accuracy,hard_core|hard_salvage_teacher,hard_core,22.0,21.0,5.0,1.0
overall,285,144,141,0.9381895193065406,0.8912280701754386,0.891548463356974,0.8934707903780069,0.9219858156028369,0.8611111111111112,124,20,11,130,main__img_stack_gross_core__train_allhard_apply_hardcore__f1,65,40,4,36,f1,hard_core|hard_salvage_teacher,hard_core,23.0,17.0,1.0,3.0
overall,285,144,141,0.9365642237982664,0.8912280701754386,0.891548463356974,0.8934707903780069,0.9219858156028369,0.8611111111111112,124,20,11,130,upper__img_stack_gross_core__train_allhard_apply_hardcore__f1,65,39,4,35,f1,hard_core|hard_salvage_teacher,hard_core,22.0,17.0,1.0,3.0
overall,285,144,141,0.957102048857368,0.887719298245614,0.8877068557919621,0.8865248226950354,0.8865248226950354,0.8888888888888888,128,16,16,125,main__img_stack_gross_core__train_allhard_apply_allhard__balanced_accuracy,99,51,16,35,balanced_accuracy,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher,26.0,25.0,9.0,7.0
overall,285,144,141,0.9565110323089047,0.887719298245614,0.8877068557919621,0.8865248226950354,0.8865248226950354,0.8888888888888888,128,16,16,125,upper__img_stack_gross_core__train_allhard_apply_allhard__balanced_accuracy,99,50,16,34,balanced_accuracy,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher,25.0,25.0,9.0,7.0
overall,285,144,141,0.9353821907013398,0.887719298245614,0.8876329787234043,0.8857142857142857,0.8794326241134752,0.8958333333333334,129,15,17,124,main__img_stack_gross_core__train_hardcore_apply_hardcore__balanced_accuracy,65,45,10,35,balanced_accuracy,hard_core,hard_core,23.0,22.0,7.0,3.0
overall,285,144,141,0.9353821907013398,0.887719298245614,0.8876329787234043,0.8857142857142857,0.8794326241134752,0.8958333333333334,129,15,17,124,main__img_stack_gross_core__train_hardcore_apply_hardcore__f1,65,45,10,35,f1,hard_core,hard_core,23.0,22.0,7.0,3.0
overall,285,144,141,0.9347419227738377,0.887719298245614,0.8876329787234043,0.8857142857142857,0.8794326241134752,0.8958333333333334,129,15,17,124,upper__img_stack_gross_core__train_hardcore_apply_hardcore__balanced_accuracy,65,44,10,34,balanced_accuracy,hard_core,hard_core,22.0,22.0,7.0,3.0
overall,285,144,141,0.9347419227738377,0.887719298245614,0.8876329787234043,0.8857142857142857,0.8794326241134752,0.8958333333333334,129,15,17,124,upper__img_stack_gross_core__train_hardcore_apply_hardcore__f1,65,44,10,34,f1,hard_core,hard_core,22.0,22.0,7.0,3.0
overall,285,144,141,0.9224290780141844,0.8842105263157894,0.8840868794326242,0.8817204301075269,0.8723404255319149,0.8958333333333334,129,15,18,123,main__img_stack_gross_compact__train_hardcore_apply_hardcore__balanced_accuracy,65,46,12,34,balanced_accuracy,hard_core,hard_core,23.0,23.0,8.0,4.0
overall,285,144,141,0.9232171000788022,0.8842105263157894,0.8840868794326242,0.8817204301075269,0.8723404255319149,0.8958333333333334,129,15,18,123,upper__img_stack_gross_compact__train_hardcore_apply_hardcore__balanced_accuracy,65,45,12,33,balanced_accuracy,hard_core,hard_core,22.0,23.0,8.0,4.0
overall,285,144,141,0.940307328605201,0.8807017543859649,0.8806885342789599,0.8794326241134752,0.8794326241134752,0.8819444444444444,127,17,17,124,main__img_stack_gross_compact__train_hardcore_apply_hardcore__f1,65,45,12,33,f1,hard_core,hard_core,23.0,22.0,7.0,5.0
overall,285,144,141,0.9387312844759653,0.8807017543859649,0.8806885342789599,0.8794326241134752,0.8794326241134752,0.8819444444444444,127,17,17,124,upper__img_stack_gross_compact__train_hardcore_apply_hardcore__f1,65,44,12,32,f1,hard_core,hard_core,22.0,22.0,7.0,5.0
overall,285,144,141,0.9325256107171,0.8771929824561403,0.8774379432624113,0.8788927335640139,0.900709219858156,0.8541666666666666,123,21,14,127,main__img_stack_gross_full__train_hardcore_apply_hardcore__f1,65,41,9,32,f1,hard_core,hard_core,23.0,18.0,4.0,5.0
overall,285,144,141,0.9319345941686368,0.8771929824561403,0.8774379432624113,0.8788927335640139,0.900709219858156,0.8541666666666666,123,21,14,127,upper__img_stack_gross_full__train_hardcore_apply_hardcore__f1,65,40,9,31,f1,hard_core,hard_core,22.0,18.0,4.0,5.0
overall,285,144,141,0.9355791962174941,0.8771929824561403,0.8772901891252955,0.8771929824561403,0.8865248226950354,0.8680555555555556,125,19,16,125,main__img_upper_gross_core__train_hardcore_apply_hardcore__f1,65,38,6,32,f1,hard_core,hard_core,21.0,17.0,4.0,2.0
overall,285,144,141,0.9344956658786446,0.8771929824561403,0.8772901891252955,0.8771929824561403,0.8865248226950354,0.8680555555555556,125,19,16,125,upper__img_upper_gross_core__train_hardcore_apply_hardcore__f1,65,37,6,31,f1,hard_core,hard_core,20.0,17.0,4.0,2.0
overall,285,144,141,0.9315405831363279,0.8771929824561403,0.8771424349881797,0.8754448398576512,0.8723404255319149,0.8819444444444444,127,17,18,123,main__img_stack_gross_full__train_hardcore_apply_hardcore__balanced_accuracy,65,43,11,32,balanced_accuracy,hard_core,hard_core,22.0,21.0,7.0,4.0
overall,285,144,141,0.9308510638297872,0.8771929824561403,0.8771424349881797,0.8754448398576512,0.8723404255319149,0.8819444444444444,127,17,18,123,upper__img_stack_gross_full__train_hardcore_apply_hardcore__balanced_accuracy,65,42,11,31,balanced_accuracy,hard_core,hard_core,21.0,21.0,7.0,4.0
overall,285,144,141,0.9375,0.8771929824561403,0.8769946808510638,0.8736462093862816,0.8581560283687943,0.8958333333333334,129,15,20,121,main__img_upper_gross_core__train_hardcore_apply_hardcore__balanced_accuracy,65,39,7,32,balanced_accuracy,hard_core,hard_core,18.0,21.0,5.0,2.0
overall,285,144,141,0.9369089834515366,0.8771929824561403,0.8769946808510638,0.8736462093862816,0.8581560283687943,0.8958333333333334,129,15,20,121,upper__img_upper_gross_core__train_hardcore_apply_hardcore__balanced_accuracy,65,38,7,31,balanced_accuracy,hard_core,hard_core,17.0,21.0,5.0,2.0
