group,n,n_low,n_high,auc,accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp,config,routed_n,rescue_n,hurt_n,net_rescue,objective,train_groups,route_hard_core_precision,route_hard_core_recall
overall,285,144,141,0.8153565799842395,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888,110,34,32,109,baseline_upper,0,0,0,0,,,,
overall,285,144,141,0.8156028368794326,0.7649122807017544,0.7650709219858156,0.7665505226480837,0.7801418439716312,0.75,108,36,31,110,upper__img_stack_gross_core__train_hardcore__apply_vote_disagreement__balanced_accuracy,34,8,9,-1,balanced_accuracy,hard_core,0.29411764705882354,0.15384615384615385
overall,285,144,141,0.8156028368794326,0.7649122807017544,0.7650709219858156,0.7665505226480837,0.7801418439716312,0.75,108,36,31,110,upper__img_stack_gross_core__train_hardcore__apply_vote_disagreement__f1,34,8,9,-1,f1,hard_core,0.29411764705882354,0.15384615384615385
overall,285,144,141,0.8091016548463357,0.7543859649122807,0.7545065011820331,0.7552447552447552,0.7659574468085106,0.7430555555555556,107,37,33,108,upper__img_stack_gross_core__train_hardcore__apply_prob_range_035__balanced_accuracy,35,5,9,-4,balanced_accuracy,hard_core,0.2571428571428571,0.13846153846153847
overall,285,144,141,0.8091016548463357,0.7543859649122807,0.7545065011820331,0.7552447552447552,0.7659574468085106,0.7430555555555556,107,37,33,108,upper__img_stack_gross_core__train_hardcore__apply_prob_range_035__f1,35,5,9,-4,f1,hard_core,0.2571428571428571,0.13846153846153847
overall,285,144,141,0.813780535855004,0.7473684210526316,0.7476359338061466,0.7517241379310344,0.7730496453900709,0.7222222222222222,104,40,32,109,upper__img_stack_gross_core__train_allhard__apply_low_mean_margin_025__f1,41,4,10,-6,f1,hard_core|hard_salvage_teacher,0.34146341463414637,0.2153846153846154
overall,285,144,141,0.8103821907013395,0.7473684210526316,0.7473404255319149,0.7446808510638298,0.7446808510638298,0.75,108,36,36,105,upper__img_stack_gross_core__train_allhard__apply_low_mean_margin_025__balanced_accuracy,41,7,13,-6,balanced_accuracy,hard_core|hard_salvage_teacher,0.34146341463414637,0.2153846153846154
overall,285,144,141,0.8153073286052008,0.7473684210526316,0.7472665484633569,0.7428571428571429,0.7375886524822695,0.7569444444444444,109,35,37,104,upper__img_stack_gross_core__train_hardcore__apply_low_mean_margin_025__balanced_accuracy,41,6,12,-6,balanced_accuracy,hard_core,0.34146341463414637,0.2153846153846154
overall,285,144,141,0.8153073286052008,0.7473684210526316,0.7472665484633569,0.7428571428571429,0.7375886524822695,0.7569444444444444,109,35,37,104,upper__img_stack_gross_core__train_hardcore__apply_low_mean_margin_025__f1,41,6,12,-6,f1,hard_core,0.34146341463414637,0.2153846153846154
overall,285,144,141,0.8185086682427108,0.743859649122807,0.7440159574468085,0.7456445993031359,0.7588652482269503,0.7291666666666666,105,39,34,107,upper__img_stack_gross_core__train_hardcore__apply_prob_range_025__balanced_accuracy,55,10,17,-7,balanced_accuracy,hard_core,0.3090909090909091,0.26153846153846155
overall,285,144,141,0.8185086682427108,0.743859649122807,0.7440159574468085,0.7456445993031359,0.7588652482269503,0.7291666666666666,105,39,34,107,upper__img_stack_gross_core__train_hardcore__apply_prob_range_025__f1,55,10,17,-7,f1,hard_core,0.3090909090909091,0.26153846153846155
overall,285,144,141,0.8128447596532702,0.7403508771929824,0.7405437352245863,0.7430555555555556,0.7588652482269503,0.7222222222222222,104,40,34,107,upper__img_stack_gross_core__train_allhard__apply_vote_disagreement__f1,34,4,12,-8,f1,hard_core|hard_salvage_teacher,0.29411764705882354,0.15384615384615385
overall,285,144,141,0.8067375886524821,0.7368421052631579,0.7370715130023641,0.740484429065744,0.7588652482269503,0.7152777777777778,103,41,34,107,upper__img_stack_gross_core__train_allhard__apply_prob_range_035__f1,35,2,11,-9,f1,hard_core|hard_salvage_teacher,0.2571428571428571,0.13846153846153847
overall,285,144,141,0.813780535855004,0.7368421052631579,0.7368498817966903,0.734982332155477,0.7375886524822695,0.7361111111111112,106,38,37,104,upper__img_stack_gross_core__train_allhard__apply_vote_disagreement__balanced_accuracy,34,4,13,-9,balanced_accuracy,hard_core|hard_salvage_teacher,0.29411764705882354,0.15384615384615385
overall,285,144,141,0.8106776989755714,0.7368421052631579,0.7367760047281324,0.7330960854092526,0.7304964539007093,0.7430555555555556,107,37,38,103,upper__img_stack_gross_core__train_hardcore__apply_low_min_margin_020__balanced_accuracy,69,13,22,-9,balanced_accuracy,hard_core,0.3188405797101449,0.3384615384615385
overall,285,144,141,0.8106776989755714,0.7368421052631579,0.7367760047281324,0.7330960854092526,0.7304964539007093,0.7430555555555556,107,37,38,103,upper__img_stack_gross_core__train_hardcore__apply_low_min_margin_020__f1,69,13,22,-9,f1,hard_core,0.3188405797101449,0.3384615384615385
overall,285,144,141,0.8064420803782505,0.7333333333333333,0.7333776595744681,0.7323943661971831,0.7375886524822695,0.7291666666666666,105,39,37,104,upper__img_stack_gross_core__train_allhard__apply_prob_range_035__balanced_accuracy,35,2,12,-10,balanced_accuracy,hard_core|hard_salvage_teacher,0.2571428571428571,0.13846153846153847
overall,285,144,141,0.8086583924349882,0.7298245614035088,0.7299054373522458,0.7298245614035088,0.7375886524822695,0.7222222222222222,104,40,37,104,upper__img_stack_gross_core__train_allhard__apply_prob_range_025__balanced_accuracy,55,9,20,-11,balanced_accuracy,hard_core|hard_salvage_teacher,0.3090909090909091,0.26153846153846155
overall,285,144,141,0.8115642237982663,0.7228070175438597,0.7231087470449172,0.7285223367697594,0.75177304964539,0.6944444444444444,100,44,35,106,upper__img_stack_gross_core__train_allhard__apply_prob_range_025__f1,55,6,19,-13,f1,hard_core|hard_salvage_teacher,0.3090909090909091,0.26153846153846155
overall,285,144,141,0.8035362490149723,0.712280701754386,0.7123226950354611,0.7112676056338029,0.7163120567375887,0.7083333333333334,102,42,40,101,upper__img_stack_gross_core__train_allhard__apply_low_min_margin_020__balanced_accuracy,69,11,27,-16,balanced_accuracy,hard_core|hard_salvage_teacher,0.3188405797101449,0.3384615384615385
overall,285,144,141,0.8045212765957446,0.7052631578947368,0.7056737588652482,0.7142857142857143,0.7446808510638298,0.6666666666666666,96,48,36,105,upper__img_stack_gross_core__train_allhard__apply_low_min_margin_020__f1,69,7,25,-18,f1,hard_core|hard_salvage_teacher,0.3188405797101449,0.3384615384615385
overall,285,144,141,0.7971828211189913,0.7052631578947368,0.7053043735224587,0.704225352112676,0.7092198581560284,0.7013888888888888,101,43,41,100,upper__img_stack_gross_core__train_hardcore__apply_low_min_margin_030__balanced_accuracy,95,14,32,-18,balanced_accuracy,hard_core,0.3368421052631579,0.49230769230769234
