feature_set,model,n,hard_core,auc,ap,threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,top65_precision,top65_recall
image_outputs_only,extra,285,65,0.6912587412587413,0.40461735130111526,0.4099999999999999,0.543859649122807,0.6611888111888111,0.31843575418994413,0.8769230769230769,0.4672131147540984,98,122,8,57,0.4,0.4
image_outputs_only,logreg,285,65,0.690979020979021,0.41487820631264916,0.32999999999999996,0.512280701754386,0.6407342657342657,0.30319148936170215,0.8769230769230769,0.4505928853754941,89,131,8,57,0.4153846153846154,0.4153846153846154
image_plus_gross,extra,285,65,0.6605594405594406,0.34778040429770296,0.4099999999999999,0.48771929824561405,0.6248251748251749,0.2923076923076923,0.8769230769230769,0.43846153846153846,82,138,8,57,0.35384615384615387,0.35384615384615387
image_outputs_only,rf,285,65,0.6570629370629371,0.3805814910319598,0.48999999999999994,0.6982456140350877,0.6527972027972028,0.3894736842105263,0.5692307692307692,0.4625,162,58,28,37,0.35384615384615387,0.35384615384615387
image_plus_gross,rf,285,65,0.6357342657342657,0.36954665407867027,0.41999999999999993,0.5614035087719298,0.612937062937063,0.3026315789473684,0.7076923076923077,0.423963133640553,114,106,19,46,0.3230769230769231,0.3230769230769231
image_outputs_only,gb,285,65,0.6001048951048951,0.31718556927713426,0.21999999999999997,0.6070175438596491,0.5937062937062937,0.30578512396694213,0.5692307692307692,0.3978494623655914,136,84,28,37,0.35384615384615387,0.35384615384615387
image_plus_gross,logreg,285,65,0.583006993006993,0.28828849105778187,0.31999999999999995,0.5403508771929825,0.5722027972027972,0.27702702702702703,0.6307692307692307,0.38497652582159625,113,107,24,41,0.3230769230769231,0.3230769230769231
image_plus_gross,gb,285,65,0.5755244755244755,0.28153232529753025,0.12,0.3473684210526316,0.5447552447552447,0.24686192468619247,0.9076923076923077,0.3881578947368421,40,180,6,59,0.3076923076923077,0.3076923076923077
gross_only,rf,285,65,0.4848251748251749,0.2296464354774856,0.21999999999999997,0.23157894736842105,0.5022727272727273,0.22887323943661972,1.0,0.37249283667621774,1,219,0,65,0.23076923076923078,0.23076923076923078
gross_only,extra,285,65,0.47622377622377626,0.21950060785891756,0.29,0.23157894736842105,0.5022727272727273,0.22887323943661972,1.0,0.37249283667621774,1,219,0,65,0.2,0.2
gross_only,gb,285,65,0.44765734265734264,0.20186423195318132,0.05,0.22807017543859648,0.5,0.22807017543859648,1.0,0.37142857142857144,0,220,0,65,0.13846153846153847,0.13846153846153847
gross_only,logreg,285,65,0.38496503496503504,0.1858944477424282,0.05,0.22807017543859648,0.4729020979020979,0.21818181818181817,0.9230769230769231,0.35294117647058826,5,215,5,60,0.15384615384615385,0.15384615384615385
