score,accept_acc_at_30,accept_bacc_at_30,hardcore_recall_at_30,error_recall_at_30,fn_recall_at_30,review_frac_for_acc90,accept_n_for_acc90,hardcore_recall_at_acc90,error_recall_at_acc90
ensemble_prob_range,0.8241206030150754,0.8243079409981815,0.47692307692307695,0.4696969696969697,0.5,,,,
learn_hard_core_image_outputs_rf,0.8241206030150754,0.8251465534667475,0.47692307692307695,0.4696969696969697,0.3125,,,,
learn_hard_core_image_outputs_logreg,0.8190954773869347,0.8187512628813902,0.5076923076923077,0.45454545454545453,0.375,,,,
ensemble_prob_std,0.8190954773869347,0.8190909090909091,0.46153846153846156,0.45454545454545453,0.4375,,,,
learn_hard_core_image_outputs_extra,0.8090452261306532,0.8088888888888889,0.4461538461538462,0.42424242424242425,0.3125,,,,
learn_upper_wrong_image_outputs_extra,0.8040201005025126,0.8050161812297735,0.4461538461538462,0.4090909090909091,0.28125,,,,
learn_hard_core_image_plus_gross_rf,0.8040201005025126,0.8061234817813765,0.4153846153846154,0.4090909090909091,0.21875,,,,
learn_upper_wrong_image_plus_gross_rf,0.8040201005025126,0.8063287281592848,0.4153846153846154,0.4090909090909091,0.25,,,,
learn_upper_wrong_image_outputs_logreg,0.7989949748743719,0.7994538834951457,0.4461538461538462,0.3939393939393939,0.3125,,,,
learn_upper_wrong_image_outputs_rf,0.7989949748743719,0.7991206791995149,0.4461538461538462,0.3939393939393939,0.34375,,,,
upper_low_conf,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,,,,
upper_entropy,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,,,,
learn_upper_wrong_image_plus_gross_extra,0.7989949748743719,0.8029561671763507,0.4,0.3939393939393939,0.1875,,,,
learn_hard_core_image_plus_gross_extra,0.7889447236180904,0.7900182592818016,0.4153846153846154,0.36363636363636365,0.25,,,,
learn_hard_core_image_plus_gross_logreg,0.7839195979899497,0.7837947060012124,0.4,0.3484848484848485,0.34375,,,,
vote_disagree,0.7839195979899497,0.7838383838383838,0.38461538461538464,0.3484848484848485,0.375,,,,
learn_upper_wrong_image_plus_gross_logreg,0.7487437185929648,0.7482287449392713,0.2923076923076923,0.24242424242424243,0.21875,,,,
learn_upper_fn_image_outputs_rf,0.7487437185929648,0.7136470087289759,0.24615384615384617,0.24242424242424243,0.5,,,,
learn_upper_fn_image_outputs_extra,0.7437185929648241,0.7072100984167737,0.26153846153846155,0.22727272727272727,0.46875,,,,
learn_upper_fn_image_plus_gross_rf,0.7437185929648241,0.7072100984167737,0.23076923076923078,0.22727272727272727,0.46875,,,,
learn_upper_fn_image_outputs_logreg,0.7386934673366834,0.7076711167620259,0.26153846153846155,0.21212121212121213,0.4375,,,,
learn_upper_fn_image_plus_gross_extra,0.7386934673366834,0.6982702702702703,0.26153846153846155,0.21212121212121213,0.4375,,,,
learn_upper_fn_image_plus_gross_logreg,0.7286432160804021,0.7072128413591828,0.23076923076923078,0.18181818181818182,0.375,,,,
