feature_set,model,target_accept_acc,selection_mode,correct_auc,accept_n,accept_frac,review_n,review_frac,review_error_precision,error_recall_in_review,fn_recall_in_review,hardcore_recall_in_review,accept_accuracy,accept_balanced_accuracy,accept_specificity_low,accept_sensitivity_high,accept_tn,accept_fp,accept_fn,accept_tp,review_base_n,review_base_accuracy,review_base_balanced_accuracy,review_base_specificity_low,review_base_sensitivity_high,review_base_tn,review_base_fp,review_base_fn,review_base_tp,final_if_review_corrected_n,final_if_review_corrected_accuracy,final_if_review_corrected_balanced_accuracy,final_if_review_corrected_specificity_low,final_if_review_corrected_sensitivity_high,final_if_review_corrected_tn,final_if_review_corrected_fp,final_if_review_corrected_fn,final_if_review_corrected_tp
raw_plus_all_review,rf_shallow,0.9,raw,0.6270236612702366,50,0.17543859649122806,235,0.8245614035087719,0.2553191489361702,0.9090909090909091,0.875,0.9076923076923077,0.88,0.8805704099821747,0.8823529411764706,0.8787878787878788,15,2,4,29,235,0.7446808510638298,0.7443861184018664,0.7480314960629921,0.7407407407407407,95,32,28,80,285,0.9789473684210527,0.978871158392435,0.9861111111111112,0.9716312056737588,142,2,4,137
raw_plus_simple_review,rf_shallow,0.9,raw,0.6312439463124394,40,0.14035087719298245,245,0.8596491228070176,0.24897959183673468,0.9242424242424242,0.90625,0.9230769230769231,0.875,0.8708791208791209,0.8571428571428571,0.8846153846153846,12,2,3,23,245,0.7510204081632653,0.7508361204013378,0.7538461538461538,0.7478260869565218,98,32,29,86,285,0.9824561403508771,0.9824172576832151,0.9861111111111112,0.9787234042553191,142,2,3,138
raw_outputs,extra_shallow,0.9,raw,0.6068216410682163,39,0.1368421052631579,246,0.8631578947368421,0.24796747967479674,0.9242424242424242,0.875,0.9230769230769231,0.8717948717948718,0.8842592592592593,0.9166666666666666,0.8518518518518519,11,1,4,23,246,0.7520325203252033,0.7521929824561404,0.75,0.7543859649122807,99,33,28,86,285,0.9824561403508771,0.9823433806146572,0.9930555555555556,0.9716312056737588,143,1,4,137
raw_plus_all_review,extra_shallow,0.9,raw,0.622734191227342,40,0.14035087719298245,245,0.8596491228070176,0.24489795918367346,0.9090909090909091,0.875,0.9076923076923077,0.85,0.849002849002849,0.8461538461538461,0.8518518518518519,11,2,4,23,245,0.7551020408163265,0.7550555778759878,0.7557251908396947,0.7543859649122807,99,32,28,86,285,0.9789473684210527,0.978871158392435,0.9861111111111112,0.9716312056737588,142,2,4,137
raw_plus_simple_review,gb_small,0.9,raw,0.5624394631243946,23,0.08070175438596491,262,0.9192982456140351,0.2366412213740458,0.9393939393939394,0.90625,0.9384615384615385,0.8260869565217391,0.821969696969697,0.9166666666666666,0.7272727272727273,11,1,3,8,262,0.7633587786259542,0.7634615384615384,0.75,0.7769230769230769,99,33,29,101,285,0.9859649122807017,0.9858894799054374,0.9930555555555556,0.9787234042553191,143,1,3,138
raw_outputs,gb_small,0.9,raw,0.5458350629583506,22,0.07719298245614035,263,0.9228070175438596,0.23574144486692014,0.9393939393939394,0.90625,0.9384615384615385,0.8181818181818182,0.825,0.9,0.75,9,1,3,9,263,0.7642585551330798,0.7644625708665973,0.753731343283582,0.7751937984496124,101,33,29,100,285,0.9859649122807017,0.9858894799054374,0.9930555555555556,0.9787234042553191,143,1,3,138
raw_outputs,rf_shallow,0.9,raw,0.6176836861768369,63,0.22105263157894736,222,0.7789473684210526,0.24324324324324326,0.8181818181818182,0.6875,0.8307692307692308,0.8095238095238095,0.8264033264033264,0.9230769230769231,0.7297297297297297,24,2,10,27,222,0.7567567567567568,0.7586375488917861,0.7288135593220338,0.7884615384615384,86,32,22,82,285,0.9578947368421052,0.9575945626477542,0.9861111111111112,0.9290780141843972,142,2,10,131
raw_plus_simple_review,extra_shallow,0.9,raw,0.6216272312162723,42,0.14736842105263157,243,0.8526315789473684,0.23868312757201646,0.8787878787878788,0.84375,0.8769230769230769,0.8095238095238095,0.8035714285714286,0.7857142857142857,0.8214285714285714,11,3,5,23,243,0.7613168724279835,0.7613002042205581,0.7615384615384615,0.7610619469026548,99,31,27,86,285,0.9719298245614035,0.9718528368794326,0.9791666666666666,0.9645390070921985,141,3,5,136
raw_plus_simple_review,logreg_l2,0.9,raw,0.5110004151100042,14,0.04912280701754386,271,0.9508771929824561,0.23247232472324722,0.9545454545454546,1.0,0.9846153846153847,0.7857142857142857,0.75,0.5,1.0,3,3,0,8,271,0.7675276752767528,0.7673804075405906,0.7753623188405797,0.7593984962406015,107,31,32,101,285,0.9894736842105263,0.9895833333333333,0.9791666666666666,1.0,141,3,0,141
raw_plus_all_review,gb_small,0.9,raw,0.5718486232184861,31,0.10877192982456141,254,0.8912280701754386,0.23228346456692914,0.8939393939393939,0.84375,0.8923076923076924,0.7741935483870968,0.7770833333333333,0.8666666666666667,0.6875,13,2,5,11,254,0.7677165354330708,0.767968992248062,0.751937984496124,0.784,97,32,27,98,285,0.9754385964912281,0.9753250591016549,0.9861111111111112,0.9645390070921985,142,2,5,136
raw_outputs,logreg_l2,0.9,raw,0.5199252801992528,14,0.04912280701754386,271,0.9508771929824561,0.22878228782287824,0.9393939393939394,0.96875,0.9692307692307692,0.7142857142857143,0.6875,0.5,0.875,3,3,1,7,271,0.7712177121771218,0.7711398060368312,0.7753623188405797,0.7669172932330827,107,31,31,102,285,0.9859649122807017,0.9860372340425532,0.9791666666666666,0.9929078014184397,141,3,1,140
