gate_score,gate_target_accept_acc,selection_mode,feature_set,model,train_scope,objective,accept_n,accept_frac,review_n,review_frac,fold_thresholds,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,accept_accuracy,review_final_accuracy,review_final_sensitivity_high,review_final_specificity_low,rescued_total,hurt_total,rescued_fn,hardcore_final_accuracy,hardcore_rescued,hardcore_hurt
upper_low_conf,0.9,raw,raw_outputs,extra,all_train,accuracy,100,0.3508771929824561,185,0.6491228070175439,1:0.95/0.95/0.759;2:0.50/0.95/0.781;3:0.95/0.95/0.768;4:0.50/0.95/0.794;5:0.95/0.95/0.750,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.89,0.7027027027027027,0.7204301075268817,0.6847826086956522,0,0,0,0.27692307692307694,0,0
hybrid_max_allrange_fn,0.9,raw,raw_outputs,extra,all_train,accuracy,13,0.0456140350877193,272,0.9543859649122807,1:0.95/0.95/0.759;2:0.50/0.95/0.781;3:0.95/0.95/0.768;4:0.50/0.95/0.794;5:0.95/0.95/0.750,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.8461538461538461,0.7647058823529411,0.7538461538461538,0.7746478873239436,0,0,0,0.27692307692307694,0,0
upper_low_conf,0.9,raw,raw_outputs,extra,all_train,balanced_accuracy,100,0.3508771929824561,185,0.6491228070175439,1:0.99/0.99/0.759;2:0.50/0.95/0.781;3:0.95/0.95/0.768;4:0.50/0.95/0.794;5:0.99/0.99/0.750,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.89,0.7027027027027027,0.7204301075268817,0.6847826086956522,0,0,0,0.27692307692307694,0,0
hybrid_max_allrange_fn,0.9,raw,raw_outputs,extra,all_train,balanced_accuracy,13,0.0456140350877193,272,0.9543859649122807,1:0.99/0.99/0.759;2:0.50/0.95/0.781;3:0.95/0.95/0.768;4:0.50/0.95/0.794;5:0.99/0.99/0.750,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.8461538461538461,0.7647058823529411,0.7538461538461538,0.7746478873239436,0,0,0,0.27692307692307694,0,0
upper_low_conf,0.9,raw,raw_outputs,extra,review_train,accuracy,100,0.3508771929824561,185,0.6491228070175439,1:0.95/0.95/0.691;2:0.50/0.95/0.730;3:0.95/0.95/0.688;4:0.50/0.95/0.729;5:0.95/0.95/0.691,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.89,0.7027027027027027,0.7204301075268817,0.6847826086956522,0,0,0,0.27692307692307694,0,0
hybrid_max_allrange_fn,0.9,raw,raw_outputs,extra,review_train,accuracy,13,0.0456140350877193,272,0.9543859649122807,1:0.95/0.95/0.759;2:0.50/0.95/0.777;3:0.95/0.95/0.763;4:0.50/0.95/0.791;5:0.95/0.95/0.744,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.8461538461538461,0.7647058823529411,0.7538461538461538,0.7746478873239436,0,0,0,0.27692307692307694,0,0
upper_low_conf,0.9,raw,raw_outputs,extra,review_train,balanced_accuracy,100,0.3508771929824561,185,0.6491228070175439,1:0.95/0.95/0.691;2:0.50/0.95/0.730;3:0.95/0.95/0.688;4:0.50/0.95/0.727;5:0.99/0.99/0.691,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.89,0.7027027027027027,0.7204301075268817,0.6847826086956522,0,0,0,0.27692307692307694,0,0
hybrid_max_allrange_fn,0.9,raw,raw_outputs,extra,review_train,balanced_accuracy,13,0.0456140350877193,272,0.9543859649122807,1:0.99/0.99/0.759;2:0.50/0.95/0.777;3:0.95/0.95/0.763;4:0.50/0.95/0.791;5:0.99/0.99/0.744,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.8461538461538461,0.7647058823529411,0.7538461538461538,0.7746478873239436,0,0,0,0.27692307692307694,0,0
upper_low_conf,0.9,raw,raw_plus_review_gross,extra,all_train,accuracy,100,0.3508771929824561,185,0.6491228070175439,1:0.50/0.95/0.763;2:0.95/0.95/0.776;3:0.95/0.95/0.768;4:0.95/0.95/0.789;5:0.95/0.95/0.750,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.89,0.7027027027027027,0.7204301075268817,0.6847826086956522,0,0,0,0.27692307692307694,0,0
hybrid_max_allrange_fn,0.9,raw,raw_plus_review_gross,extra,all_train,accuracy,13,0.0456140350877193,272,0.9543859649122807,1:0.50/0.95/0.763;2:0.95/0.95/0.776;3:0.95/0.95/0.768;4:0.95/0.95/0.789;5:0.95/0.95/0.750,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.8461538461538461,0.7647058823529411,0.7538461538461538,0.7746478873239436,0,0,0,0.27692307692307694,0,0
