score,target,scope,pass_n,pass_frac,hardlike_n,hard_recall,hard_prec,pass_acc,acc,bacc,sens,spec,tn,fp,fn,tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,thresholds
learn_hard_core_extra,0.7,flag_train,135,0.47368421052631576,150,0.6923076923076923,0.3,0.8518518518518519,0.7824561403508772,0.7824320330969268,0.7801418439716312,0.7847222222222222,113,31,31,110,0.27692307692307694,0.4153846153846154,22,18,13,4,1:0.435;2:0.444;3:0.452;4:0.436;5:0.452
upper_low_conf,0.7,all_train,142,0.4982456140350877,143,0.7076923076923077,0.32167832167832167,0.852112676056338,0.7789473684210526,0.7788120567375887,0.7659574468085106,0.7916666666666666,114,30,33,108,0.27692307692307694,0.4,16,13,11,3,1:0.022;2:0.022;3:0.035;4:0.010;5:0.014
learn_hard_core_rf,0.7,flag_train,120,0.42105263157894735,165,0.6923076923076923,0.2727272727272727,0.8333333333333334,0.7719298245614035,0.7717937352245863,0.7588652482269503,0.7847222222222222,113,31,34,107,0.27692307692307694,0.35384615384615387,22,21,11,6,1:0.407;2:0.407;3:0.415;4:0.408;5:0.408
learn_hard_core_extra,0.7,all_train,135,0.47368421052631576,150,0.6923076923076923,0.3,0.8518518518518519,0.7684210526315789,0.7684692671394799,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.38461538461538464,16,16,11,4,1:0.435;2:0.444;3:0.452;4:0.436;5:0.452
learn_hard_core_rf,0.7,all_train,120,0.42105263157894735,165,0.6923076923076923,0.2727272727272727,0.8333333333333334,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.4,16,17,12,4,1:0.407;2:0.407;3:0.415;4:0.408;5:0.408
upper_low_conf,0.7,flag_train,142,0.4982456140350877,143,0.7076923076923077,0.32167832167832167,0.852112676056338,0.7614035087719299,0.7614509456264775,0.7659574468085106,0.7569444444444444,109,35,33,108,0.27692307692307694,0.4,18,20,11,3,1:0.022;2:0.022;3:0.035;4:0.010;5:0.014
learn_hard_core_logreg,0.7,flag_train,111,0.3894736842105263,174,0.7076923076923077,0.26436781609195403,0.8198198198198198,0.7578947368421053,0.7580526004728132,0.7730496453900709,0.7430555555555556,107,37,32,109,0.27692307692307694,0.4153846153846154,18,21,13,4,1:0.227;2:0.256;3:0.227;4:0.192;5:0.510
hybrid_max_allrange_fn,0.7,all_train,129,0.45263157894736844,156,0.7230769230769231,0.30128205128205127,0.8682170542635659,0.7578947368421053,0.7580526004728132,0.7730496453900709,0.7430555555555556,107,37,32,109,0.27692307692307694,0.38461538461538464,16,19,11,4,1:0.702;2:0.611;3:0.663;4:0.611;5:0.663
learn_hard_core_logreg,0.7,all_train,111,0.3894736842105263,174,0.7076923076923077,0.26436781609195403,0.8198198198198198,0.7543859649122807,0.7545065011820331,0.7659574468085106,0.7430555555555556,107,37,33,108,0.27692307692307694,0.38461538461538464,11,15,9,2,1:0.227;2:0.256;3:0.227;4:0.192;5:0.510
learn_hard_core_logreg,0.8,all_train,84,0.29473684210526313,201,0.7692307692307693,0.24875621890547264,0.8095238095238095,0.7543859649122807,0.7545065011820331,0.7659574468085106,0.7430555555555556,107,37,33,108,0.27692307692307694,0.4,12,16,10,2,1:0.108;2:0.111;3:0.111;4:0.058;5:0.387
