accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,feature_set
0.8350877192982457,0.8348108747044918,0.8115149724192277,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,logreg_c01,corrected
0.8315789473684211,0.8312647754137117,0.8156520882584712,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c003,corrected
0.8315789473684211,0.8312647754137117,0.8150118203309692,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,logreg_c03,corrected
0.8280701754385965,0.8279403073286051,0.8433313632781718,0.8243727598566308,0.8156028368794326,0.8402777777777778,121,23,26,115,gb_d1_lr05,raw_all_plus_corrected
0.8280701754385965,0.8278664302600472,0.8352787628053585,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,gb_d1_lr05,raw_top_plus_corrected
0.8280701754385965,0.8278664302600472,0.8316587864460204,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,hgb_leaf3,corrected
0.8280701754385965,0.8277925531914894,0.8297379826635146,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,corrected
0.8280701754385965,0.8277925531914894,0.8274231678486998,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,logreg_c01,raw_top_plus_corrected
0.8280701754385965,0.8277925531914894,0.8241233254531127,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,raw_top_plus_corrected
0.8280701754385965,0.8277925531914894,0.8214637509850276,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,raw_top_plus_corrected
0.8280701754385965,0.8277925531914894,0.8203063435776202,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d3_l8,corrected
0.8280701754385965,0.8277925531914894,0.8189026792750196,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,raw_top_plus_corrected
0.8280701754385965,0.8277925531914894,0.8164401103230889,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,extra_d2_l10,corrected
0.8280701754385965,0.8277925531914894,0.8119582348305753,0.8218181818181818,0.8014184397163121,0.8541666666666666,123,21,28,113,rf_d3_l8,raw_all_plus_corrected
0.8280701754385965,0.8277186761229315,0.8432082348305752,0.8205128205128205,0.7943262411347518,0.8611111111111112,124,20,29,112,hgb_leaf3,raw_top_plus_corrected
0.8245614035087719,0.8243203309692672,0.8198384554767534,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,logreg_c003,raw_all_plus_corrected
0.8245614035087719,0.8242464539007093,0.8261918833727345,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,logreg_c003,raw_top_plus_corrected
0.8245614035087719,0.8242464539007093,0.8176221434200157,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,extra_d3_l8,raw_all_plus_corrected
0.8245614035087719,0.8242464539007093,0.8173758865248228,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,extra_d2_l10,raw_all_plus_corrected
0.8210526315789474,0.820774231678487,0.8418045705279749,0.8145454545454546,0.7943262411347518,0.8472222222222222,122,22,29,112,hgb_leaf3,raw_all_plus_corrected
0.8035087719298246,0.8034131205673759,0.8215130023640661,0.8,0.7943262411347518,0.8125,117,27,29,112,logreg_c03,raw_top_plus_corrected
0.8,0.8002364066193853,0.816193853427896,0.8027681660899654,0.8226950354609929,0.7777777777777778,112,32,25,116,gb_d1_lr05,corrected
0.7964912280701755,0.7962470449172576,0.8131402679275018,0.7898550724637681,0.7730496453900709,0.8194444444444444,118,26,32,109,logreg_c01,raw_all_plus_corrected
0.7894736842105263,0.7898197399527187,0.8088307722616233,0.7945205479452054,0.8226950354609929,0.7569444444444444,109,35,25,116,gb_d2_lr03,corrected
0.7894736842105263,0.789598108747045,0.8112194641449961,0.7902097902097902,0.8014184397163121,0.7777777777777778,112,32,28,113,gb_d2_lr03,raw_top_plus_corrected
0.7719298245614035,0.7723108747044918,0.818287037037037,0.7781569965870307,0.8085106382978723,0.7361111111111112,106,38,27,114,gb_d2_lr03,raw_all_plus_corrected
0.7719298245614035,0.7719414893617021,0.7964440504334122,0.7703180212014135,0.7730496453900709,0.7708333333333334,111,33,32,109,logreg_c03,raw_all_plus_corrected
0.7684210526315789,0.768395390070922,0.7895488573680063,0.7659574468085106,0.7659574468085106,0.7708333333333334,111,33,33,108,extra_d3_l8,raw_top
0.7649122807017544,0.7648492907801419,0.7863475177304964,0.7615658362989324,0.7588652482269503,0.7708333333333334,111,33,34,107,extra_d2_l10,raw_top
0.7649122807017544,0.7648492907801419,0.7843774625689519,0.7615658362989324,0.7588652482269503,0.7708333333333334,111,33,34,107,extra_d3_l8,raw_all
0.7649122807017544,0.7648492907801419,0.7796985815602837,0.7615658362989324,0.7588652482269503,0.7708333333333334,111,33,34,107,extra_d2_l10,raw_all
0.7543859649122807,0.7545065011820331,0.7812746256895193,0.7552447552447552,0.7659574468085106,0.7430555555555556,107,37,33,108,logreg_c003,raw_top
0.7508771929824561,0.7507387706855791,0.7952127659574467,0.7455197132616488,0.7375886524822695,0.7638888888888888,110,34,37,104,rf_d3_l8,raw_all
0.7508771929824561,0.7506648936170213,0.8060726950354611,0.7436823104693141,0.7304964539007093,0.7708333333333334,111,33,38,103,gb_d2_lr03,raw_all
0.7508771929824561,0.7505171394799055,0.8089292750197005,0.73992673992674,0.7163120567375887,0.7847222222222222,113,31,40,101,gb_d1_lr05,raw_all
0.7473684210526316,0.7474143026004728,0.7825059101654845,0.7464788732394366,0.75177304964539,0.7430555555555556,107,37,35,106,logreg_c003,raw_all
0.743859649122807,0.7438682033096926,0.79048463356974,0.7420494699646644,0.7446808510638298,0.7430555555555556,107,37,36,105,gb_d1_lr05,raw_top
0.743859649122807,0.7438682033096926,0.7852639873916469,0.7420494699646644,0.7446808510638298,0.7430555555555556,107,37,36,105,rf_d3_l8,raw_top
0.7403508771929824,0.7404698581560283,0.7687647754137115,0.7412587412587412,0.75177304964539,0.7291666666666666,105,39,35,106,logreg_c01,raw_top
0.7403508771929824,0.739952718676123,0.8007289204097716,0.7279411764705882,0.7021276595744681,0.7777777777777778,112,32,42,99,hgb_leaf3,raw_all
0.7368421052631579,0.7370715130023641,0.7542848699763594,0.740484429065744,0.7588652482269503,0.7152777777777778,103,41,34,107,logreg_c03,raw_all
0.7368421052631579,0.7369976359338062,0.7751674546887313,0.7386759581881533,0.75177304964539,0.7222222222222222,104,40,35,106,logreg_c01,raw_all
0.7333333333333333,0.7335254137115839,0.7560086682427108,0.7361111111111112,0.75177304964539,0.7152777777777778,103,41,35,106,logreg_c03,raw_top
0.7157894736842105,0.7158687943262412,0.772655634357762,0.7157894736842105,0.723404255319149,0.7083333333333334,102,42,39,102,gb_d2_lr03,raw_top
0.7157894736842105,0.7157949172576832,0.7775068951930655,0.7137809187279152,0.7163120567375887,0.7152777777777778,103,41,40,101,hgb_leaf3,raw_top
