route_name,corrector_name,budget_pct,routed_n,pass_n,overall_acc,overall_bacc,overall_f1,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue
best41_wrong__gross_hand__logreg,corrector_hard_gross_text_hand_model,15,43,242,0.9368421052631579,0.9368351063829787,0.9361702127659575,0.9834710743801653,0.6744186046511628,27,0.4153846153846154,29,0,29
best41_wrong__gross_hand__logreg_c1,corrector_hard_gross_text_hand_model,15,43,242,0.9368421052631579,0.9368351063829787,0.9361702127659575,0.9834710743801653,0.6744186046511628,27,0.4153846153846154,29,0,29
hard_core__gross_hand_model__extra,corrector_hard_gross_text_hand_model,30,86,199,0.9368421052631579,0.9367612293144207,0.9357142857142857,0.9547738693467337,0.8953488372093024,62,0.9538461538461539,32,3,29
best41_wrong__gross_hand__extra,corrector_hard_gross_text_hand_model,15,43,242,0.9368421052631579,0.9367612293144207,0.9357142857142857,0.9834710743801653,0.6744186046511628,28,0.4307692307692308,29,0,29
best41_fn__gross_hand_model__logreg,corrector_hard_gross_text_hand,15,43,242,0.9298245614035088,0.9305555555555556,0.9337748344370861,0.9710743801652892,0.6976744186046512,24,0.36923076923076925,27,0,27
best41_fn__gross_hand_model__logreg,corrector_hard_gross_text_hand,20,57,228,0.9298245614035088,0.9305555555555556,0.9337748344370861,0.9912280701754386,0.6842105263157895,31,0.47692307692307695,27,0,27
best41_fn__gross_text_hand_model__logreg,corrector_hard_gross_text_hand,15,43,242,0.9298245614035088,0.9305555555555556,0.9337748344370861,0.9710743801652892,0.6976744186046512,24,0.36923076923076925,27,0,27
best41_fn__gross_text_hand_model__logreg,corrector_hard_gross_text_hand,20,57,228,0.9298245614035088,0.9305555555555556,0.9337748344370861,0.9912280701754386,0.6842105263157895,31,0.47692307692307695,27,0,27
best41_fn__gross_hand_model__logreg_c1,corrector_hard_gross_text_hand,10,28,257,0.9298245614035088,0.9305555555555556,0.9337748344370861,0.9260700389105059,0.9642857142857143,17,0.26153846153846155,27,0,27
best41_fn__gross_hand_model__logreg_c1,corrector_hard_gross_text_hand,15,43,242,0.9298245614035088,0.9305555555555556,0.9337748344370861,0.9669421487603306,0.7209302325581395,23,0.35384615384615387,27,0,27
best41_fn__gross_hand_model__logreg_c1,corrector_hard_gross_text_hand,20,57,228,0.9298245614035088,0.9305555555555556,0.9337748344370861,0.9868421052631579,0.7017543859649122,30,0.46153846153846156,27,0,27
hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,30,86,199,0.9298245614035088,0.9297429078014184,0.9285714285714286,0.9547738693467337,0.872093023255814,60,0.9230769230769231,32,5,27
hard_core__gross_hand_model__extra,corrector_hard_gross_text_hand_model,25,71,214,0.9298245614035088,0.9296690307328606,0.9280575539568345,0.9392523364485982,0.9014084507042254,53,0.8153846153846154,29,2,27
best41_fn__gross_hand_model__logreg,corrector_hard_gross_text_hand,10,28,257,0.9263157894736842,0.9270094562647755,0.9302325581395349,0.9260700389105059,0.9285714285714286,17,0.26153846153846155,26,0,26
best41_fn__gross_text_hand_model__logreg,corrector_hard_gross_text_hand,10,28,257,0.9263157894736842,0.9270094562647755,0.9302325581395349,0.9260700389105059,0.9285714285714286,17,0.26153846153846155,26,0,26
best41_fn__gross_hand_model__logreg,corrector_hard_gross_text_hand,25,71,214,0.9228070175438596,0.9236111111111112,0.9276315789473685,1.0,0.6901408450704225,36,0.5538461538461539,27,2,25
best41_fn__gross_hand_model__logreg,corrector_hard_gross_text_hand,30,86,199,0.9228070175438596,0.9236111111111112,0.9276315789473685,1.0,0.7441860465116279,37,0.5692307692307692,27,2,25
best41_fn__gross_hand_model__logreg,corrector_hard_gross_text_hand,35,100,185,0.9228070175438596,0.9236111111111112,0.9276315789473685,1.0,0.78,37,0.5692307692307692,27,2,25
best41_fn__gross_text_hand_model__logreg,corrector_hard_gross_text_hand,25,71,214,0.9228070175438596,0.9236111111111112,0.9276315789473685,1.0,0.6901408450704225,36,0.5538461538461539,27,2,25
best41_fn__gross_text_hand_model__logreg,corrector_hard_gross_text_hand,30,86,199,0.9228070175438596,0.9236111111111112,0.9276315789473685,1.0,0.7441860465116279,37,0.5692307692307692,27,2,25
best41_fn__gross_text_hand_model__logreg,corrector_hard_gross_text_hand,35,100,185,0.9228070175438596,0.9236111111111112,0.9276315789473685,1.0,0.78,37,0.5692307692307692,27,2,25
