route_name,corrector_name,budget_pct,routed_n,pass_n,overall_acc,overall_bacc,overall_f1,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue
best41_wrong__model_visible__extra,corrector_hard_gross_text_hand_model,20,57,228,0.9192982456140351,0.9195478723404256,0.9204152249134948,0.9342105263157895,0.8596491228070176,39,0.6,30,6,24
hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,30,86,199,0.9192982456140351,0.9193262411347518,0.9187279151943463,0.9547738693467337,0.8372093023255814,61,0.9384615384615385,32,8,24
hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,25,71,214,0.9192982456140351,0.919104609929078,0.9169675090252708,0.9345794392523364,0.8732394366197183,53,0.8153846153846154,29,5,24
best41_wrong__model_visible__extra,corrector_hard_gross_text_hand_model,25,71,214,0.9157894736842105,0.9160756501182032,0.9172413793103448,0.9439252336448598,0.8309859154929577,47,0.7230769230769231,32,9,23
hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,35,100,185,0.9157894736842105,0.9158540189125295,0.9154929577464789,0.9567567567567568,0.84,65,1.0,32,9,23
hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,30,86,199,0.9157894736842105,0.9157062647754137,0.9142857142857143,0.9346733668341709,0.872093023255814,61,0.9384615384615385,29,6,23
best41_wrong__gross_hand_model__extra,corrector_hard_gross_text_hand_model,25,71,214,0.9087719298245615,0.9090573286052009,0.9103448275862069,0.9345794392523364,0.8309859154929577,45,0.6923076923076923,30,9,21
best41_wrong__model_visible__extra,corrector_hard_gross_text_hand_model,15,43,242,0.9087719298245615,0.9089834515366431,0.9097222222222222,0.9173553719008265,0.8604651162790697,30,0.46153846153846156,26,5,21
hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,35,100,185,0.9052631578947369,0.9052157210401891,0.9039145907473309,0.9567567567567568,0.81,65,1.0,32,12,20
hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,30,86,199,0.9052631578947369,0.9052157210401891,0.9039145907473309,0.9547738693467337,0.7906976744186046,56,0.8615384615384616,31,11,20
best41_wrong__gross_hand_model__extra,corrector_hard_gross_text_hand_model,20,57,228,0.9017543859649123,0.9021128841607565,0.9041095890410958,0.9078947368421053,0.8771929824561403,38,0.5846153846153846,25,6,19
hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,38,108,177,0.9017543859649123,0.9018173758865249,0.9014084507042254,0.9661016949152542,0.7962962962962963,65,1.0,32,13,19
hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,20,57,228,0.9017543859649123,0.9013741134751774,0.8970588235294118,0.9078947368421053,0.8771929824561403,42,0.6461538461538462,21,2,19
hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,20,57,228,0.9017543859649123,0.9013002364066194,0.8962962962962963,0.9078947368421053,0.8771929824561403,44,0.676923076923077,22,3,19
hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,25,71,214,0.8982456140350877,0.897975768321513,0.8945454545454545,0.9065420560747663,0.8732394366197183,52,0.8,24,6,18
best41_wrong__model_visible__extra,corrector_hard_gross_text_hand_model,30,86,199,0.8912280701754386,0.8916962174940899,0.8949152542372881,0.9447236180904522,0.7674418604651163,48,0.7384615384615385,32,16,16
hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,35,100,185,0.8912280701754386,0.8912529550827423,0.8904593639575972,0.9567567567567568,0.77,62,0.9538461538461539,32,16,16
hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,38,108,177,0.8912280701754386,0.8910313238770686,0.8880866425992779,0.96045197740113,0.7777777777777778,65,1.0,32,16,16
hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,40,114,171,0.887719298245614,0.8877807328605201,0.8873239436619719,0.9707602339181286,0.7631578947368421,65,1.0,32,17,15
hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,25,71,214,0.887719298245614,0.8874852245862884,0.8840579710144928,0.9205607476635514,0.7887323943661971,47,0.7230769230769231,24,9,15
hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,15,43,242,0.887719298245614,0.8872635933806147,0.8814814814814815,0.8884297520661157,0.8837209302325582,33,0.5076923076923077,17,2,15
best41_wrong__gross_hand_model__extra,corrector_hard_gross_text_hand_model,30,86,199,0.8842105263157894,0.8847517730496455,0.8888888888888888,0.9447236180904522,0.7441860465116279,49,0.7538461538461538,31,17,14
best41_wrong__model_visible__extra,corrector_hard_gross_text_hand_model,10,28,257,0.8842105263157894,0.8843823877068557,0.8850174216027874,0.8871595330739299,0.8571428571428571,20,0.3076923076923077,17,3,14
best41_wrong__gross_hand_model__extra,corrector_hard_gross_text_hand_model,15,43,242,0.8842105263157894,0.8843823877068557,0.8850174216027874,0.8842975206611571,0.8837209302325582,29,0.4461538461538462,19,5,14
hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,15,43,242,0.8842105263157894,0.8837913711583925,0.8782287822878229,0.8884297520661157,0.8604651162790697,32,0.49230769230769234,17,3,14
best41_fp__model_visible__extra,corrector_hard_gross_text_hand_model,5,14,271,0.8807017543859649,0.8799497635933806,0.8702290076335878,0.8745387453874539,1.0,13,0.2,13,0,13
best41_fn__model_visible__extra,corrector_hard_gross_text_hand_model,15,43,242,0.8771929824561403,0.8778073286052009,0.882943143812709,0.8925619834710744,0.7906976744186046,23,0.35384615384615387,18,6,12
best41_fn__model_visible__extra,corrector_hard_gross_text_hand_model,10,28,257,0.8771929824561403,0.8777334515366431,0.8821548821548821,0.8871595330739299,0.7857142857142857,15,0.23076923076923078,17,5,12
hard_core__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,38,108,177,0.8771929824561403,0.8772163120567376,0.8763250883392226,0.96045197740113,0.7407407407407407,64,0.9846153846153847,32,20,12
best41_fp__gross_hand_model__extra,corrector_hard_gross_text_hand_model,5,14,271,0.8771929824561403,0.8764036643026005,0.8659003831417624,0.8745387453874539,0.9285714285714286,13,0.2,13,1,12
hard_core__model_visible__logreg,corrector_hard_gross_text_hand_model,40,114,171,0.8736842105263158,0.8734485815602837,0.8695652173913043,0.9590643274853801,0.7456140350877193,65,1.0,32,21,11
hard_core__model_visible__extra,corrector_hard_gross_text_hand_model,20,57,228,0.8736842105263158,0.87322695035461,0.8666666666666667,0.868421052631579,0.8947368421052632,44,0.676923076923077,15,4,11
best41_wrong__gross_hand_model__logreg,corrector_hard_gross_text_hand_model,15,43,242,0.8701754385964913,0.870345744680851,0.8710801393728222,0.8842975206611571,0.7906976744186046,26,0.4,18,8,10
