accuracy,balanced_accuracy,auc,ap,f1,precision,recall,tn,fp,fn,tp,threshold,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,top38_precision,top38_recall,top65_precision,top65_recall,top80_precision,top80_recall,top100_precision,top100_recall,run_name,target,feature_set,classifier,positives,top47_precision,top47_recall,top27_precision,top27_recall
0.887719298245614,0.8882428940568475,0.9244903818547229,0.6490959915383278,0.6,0.4528301886792453,0.8888888888888888,229,29,3,24,0.5399999999999999,0.8,0.2962962962962963,0.75,0.5555555555555556,0.6333333333333333,0.7037037037037037,0.5263157894736842,0.7407407407407407,,,0.3125,0.9259259259259259,0.25,0.9259259259259259,best41_fn__model_visible__extra,best41_fn,model_visible,extra,27,,,0.6666666666666666,0.6666666666666666
0.8631578947368421,0.8746770025839793,0.9025265575653172,0.5299536763535936,0.5517241379310345,0.4,0.8888888888888888,222,36,3,24,0.48999999999999994,0.7,0.25925925925925924,0.55,0.4074074074074074,0.4666666666666667,0.5185185185185185,0.47368421052631576,0.6666666666666666,,,0.3125,0.9259259259259259,0.25,0.9259259259259259,best41_fn__gross_hand_model__extra,best41_fn,gross_hand_model,extra,27,,,0.48148148148148145,0.48148148148148145
0.8771929824561403,0.7829457364341086,0.8495549813379271,0.3747591283912157,0.5070422535211268,0.4090909090909091,0.6666666666666666,232,26,9,18,0.6,0.4,0.14814814814814814,0.5,0.37037037037037035,0.4666666666666667,0.5185185185185185,0.4473684210526316,0.6296296296296297,,,0.2625,0.7777777777777778,0.21,0.7777777777777778,best41_fn__model_visible__logreg,best41_fn,model_visible,logreg,27,,,0.5185185185185185,0.5185185185185185
0.8701754385964913,0.762489233419466,0.8224231983921907,0.3237486339692055,0.4788732394366197,0.38636363636363635,0.6296296296296297,231,27,10,17,0.57,0.4,0.14814814814814814,0.35,0.25925925925925924,0.43333333333333335,0.48148148148148145,0.39473684210526316,0.5555555555555556,,,0.2375,0.7037037037037037,0.21,0.7777777777777778,best41_fn__model_visible__logreg_c1,best41_fn,model_visible,logreg_c1,27,,,0.4444444444444444,0.4444444444444444
0.743859649122807,0.7590439276485788,0.7917025552684467,0.3072500567765672,0.3652173913043478,0.23863636363636365,0.7777777777777778,191,67,6,21,0.26999999999999996,0.4,0.14814814814814814,0.35,0.25925925925925924,0.36666666666666664,0.4074074074074074,0.3684210526315789,0.5185185185185185,,,0.2375,0.7037037037037037,0.21,0.7777777777777778,best41_fn__gross_hand_model__logreg,best41_fn,gross_hand_model,logreg,27,,,0.37037037037037035,0.37037037037037035
0.7157894736842105,0.760120585701981,0.7919896640826872,0.3049053145844297,0.352,0.22448979591836735,0.8148148148148148,182,76,5,22,0.19999999999999996,0.4,0.14814814814814814,0.35,0.25925925925925924,0.4,0.4444444444444444,0.34210526315789475,0.48148148148148145,,,0.2375,0.7037037037037037,0.22,0.8148148148148148,best41_fn__gross_text_hand_model__logreg,best41_fn,gross_text_hand_model,logreg,27,,,0.37037037037037035,0.37037037037037035
0.656140350877193,0.7769164513350559,0.8096468561584841,0.28653454999229744,0.33783783783783783,0.2066115702479339,0.9259259259259259,162,96,2,25,0.4599999999999999,0.4,0.14814814814814814,0.3,0.2222222222222222,0.3333333333333333,0.37037037037037035,0.3157894736842105,0.4444444444444444,,,0.2375,0.7037037037037037,0.21,0.7777777777777778,best41_fn__gross_text_hand_model__extra,best41_fn,gross_text_hand_model,extra,27,,,0.2962962962962963,0.2962962962962963
0.7473684210526316,0.7444013781223083,0.7789262130347401,0.2696157161647395,0.35714285714285715,0.23529411764705882,0.7407407407407407,193,65,7,20,0.14999999999999997,0.3,0.1111111111111111,0.3,0.2222222222222222,0.3333333333333333,0.37037037037037035,0.34210526315789475,0.48148148148148145,,,0.2125,0.6296296296296297,0.2,0.7407407407407407,best41_fn__gross_text_hand_model__logreg_c1,best41_fn,gross_text_hand_model,logreg_c1,27,,,0.2962962962962963,0.2962962962962963
0.7298245614035088,0.7347114556416882,0.7749066896353718,0.2648254170022882,0.3418803418803419,0.2222222222222222,0.7407407407407407,188,70,7,20,0.13999999999999999,0.3,0.1111111111111111,0.3,0.2222222222222222,0.3333333333333333,0.37037037037037035,0.34210526315789475,0.48148148148148145,,,0.2125,0.6296296296296297,0.2,0.7407407407407407,best41_fn__gross_hand_model__logreg_c1,best41_fn,gross_hand_model,logreg_c1,27,,,0.2962962962962963,0.2962962962962963
0.38596491228070173,0.5613695090439277,0.5119150157909848,0.09377192995257697,0.1935483870967742,0.11052631578947368,0.7777777777777778,89,169,6,21,0.3999999999999999,0.0,0.0,0.0,0.0,0.03333333333333333,0.037037037037037035,0.05263157894736842,0.07407407407407407,,,0.0875,0.25925925925925924,0.09,0.3333333333333333,best41_fn__gross_text_hand__extra,best41_fn,gross_text_hand,extra,27,,,0.037037037037037035,0.037037037037037035
0.36140350877192984,0.5643841515934539,0.5076083835773758,0.09254373735218817,0.19469026548672566,0.11055276381909548,0.8148148148148148,81,177,5,22,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0875,0.25925925925925924,0.1,0.37037037037037035,best41_fn__gross_text__extra,best41_fn,gross_text,extra,27,,,0.0,0.0
0.39649122807017545,0.5174418604651163,0.47545219638242897,0.09075646748451974,0.17307692307692307,0.09944751381215469,0.6666666666666666,95,163,9,18,0.32999999999999996,0.0,0.0,0.05,0.037037037037037035,0.06666666666666667,0.07407407407407407,0.05263157894736842,0.07407407407407407,,,0.075,0.2222222222222222,0.08,0.2962962962962963,best41_fn__gross_text__logreg_c1,best41_fn,gross_text,logreg_c1,27,,,0.07407407407407407,0.07407407407407407
0.15087719298245614,0.51442721791559,0.47114556416882003,0.0896860879269061,0.17687074829931973,0.09737827715355805,0.9629629629629629,17,241,1,26,0.38999999999999996,0.0,0.0,0.05,0.037037037037037035,0.06666666666666667,0.07407407407407407,0.05263157894736842,0.07407407407407407,,,0.075,0.2222222222222222,0.07,0.25925925925925924,best41_fn__gross_text__logreg,best41_fn,gross_text,logreg,27,,,0.07407407407407407,0.07407407407407407
0.887719298245614,0.5068906115417743,0.41415446454206145,0.08541459559731726,0.058823529411764705,0.14285714285714285,0.037037037037037035,252,6,26,1,0.95,0.1,0.037037037037037035,0.05,0.037037037037037035,0.06666666666666667,0.07407407407407407,0.05263157894736842,0.07407407407407407,,,0.075,0.2222222222222222,0.08,0.2962962962962963,best41_fn__gross_hand__logreg_c1,best41_fn,gross_hand,logreg_c1,27,,,0.07407407407407407,0.07407407407407407
0.8842105263157894,0.5049526270456502,0.410565604364054,0.08260452372158394,0.05714285714285714,0.125,0.037037037037037035,251,7,26,1,0.8799999999999999,0.1,0.037037037037037035,0.05,0.037037037037037035,0.03333333333333333,0.037037037037037035,0.05263157894736842,0.07407407407407407,,,0.05,0.14814814814814814,0.07,0.25925925925925924,best41_fn__gross_text_hand__logreg_c1,best41_fn,gross_text_hand,logreg_c1,27,,,0.037037037037037035,0.037037037037037035
