score,accept_acc_at_30,accept_bacc_at_30,hardcore_recall_at_30,error_recall_at_30,fn_recall_at_30,review_frac_for_acc90,accept_n_for_acc90,hardcore_recall_at_acc90,error_recall_at_acc90
ensemble_prob_range,0.8241206030150754,0.8243079409981815,0.47692307692307695,0.4696969696969697,0.5,,,,
learn_hard_core_model_only_rf,0.8241206030150754,0.8247625782986462,0.4461538461538462,0.4696969696969697,0.3125,,,,
learn_hard_core_model_only_logreg,0.8190954773869347,0.8187512628813902,0.5076923076923077,0.45454545454545453,0.375,,,,
ensemble_prob_std,0.8190954773869347,0.8190909090909091,0.46153846153846156,0.45454545454545453,0.4375,,,,
learn_upper_wrong_model_embedding_history_gross_rf,0.8190954773869347,0.8196356275303645,0.38461538461538464,0.45454545454545453,0.375,,,,
learn_hard_core_model_only_extra,0.8140703517587939,0.8147100424328146,0.47692307692307695,0.4393939393939394,0.28125,,,,
learn_upper_wrong_model_embedding_history_extra,0.8140703517587939,0.8141919191919191,0.4461538461538462,0.4393939393939394,0.34375,,,,
learn_hard_core_model_embedding_history_extra,0.8140703517587939,0.8140792399434,0.4,0.4393939393939394,0.4375,,,,
learn_upper_wrong_model_embedding_history_rf,0.8090452261306532,0.8088086569579288,0.38461538461538464,0.42424242424242425,0.40625,,,,
learn_hard_core_model_embedding_history_logreg,0.8090452261306532,0.8090909090909091,0.36923076923076925,0.42424242424242425,0.4375,,,,
learn_upper_wrong_model_embedding_history_gross_extra,0.8090452261306532,0.8102397399431125,0.36923076923076925,0.42424242424242425,0.3125,,,,
learn_upper_wrong_model_embedding_history_logreg,0.8090452261306532,0.8091414141414142,0.3384615384615385,0.42424242424242425,0.46875,,,,
learn_hard_core_model_embedding_basic_extra,0.8040201005025126,0.8040513234996969,0.4307692307692308,0.4090909090909091,0.40625,,,,
learn_hard_core_model_embedding_history_gross_extra,0.8040201005025126,0.8040513234996969,0.4153846153846154,0.4090909090909091,0.375,,,,
learn_upper_wrong_model_only_logreg,0.7989949748743719,0.7994538834951457,0.4461538461538462,0.3939393939393939,0.3125,,,,
upper_low_conf,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,,,,
learn_upper_wrong_model_only_rf,0.7989949748743719,0.7990999190938511,0.4307692307692308,0.3939393939393939,0.34375,,,,
learn_hard_core_model_embedding_history_gross_rf,0.7989949748743719,0.7991008284501919,0.36923076923076925,0.3939393939393939,0.34375,,,,
learn_upper_wrong_model_embedding_basic_rf,0.7989949748743719,0.7983919902912622,0.36923076923076925,0.3939393939393939,0.40625,,,,
learn_upper_wrong_model_embedding_basic_extra,0.7939698492462312,0.794150333400687,0.4,0.3787878787878788,0.3125,,,,
learn_hard_core_model_embedding_basic_logreg,0.7939698492462312,0.794150333400687,0.3384615384615385,0.3787878787878788,0.40625,,,,
learn_upper_wrong_model_embedding_basic_logreg,0.7939698492462312,0.7937133616333132,0.3230769230769231,0.3787878787878788,0.375,,,,
learn_upper_wrong_model_embedding_history_gross_logreg,0.7939698492462312,0.7933198380566802,0.2923076923076923,0.3787878787878788,0.375,,,,
learn_upper_wrong_model_only_extra,0.7889447236180904,0.7890909090909091,0.4307692307692308,0.36363636363636365,0.25,,,,
learn_hard_core_model_embedding_basic_rf,0.7889447236180904,0.7889393939393939,0.36923076923076925,0.36363636363636365,0.34375,,,,
learn_hard_core_model_embedding_history_rf,0.7889447236180904,0.7889393939393939,0.36923076923076925,0.36363636363636365,0.34375,,,,
learn_upper_fn_model_embedding_history_logreg,0.7889447236180904,0.7664086687306502,0.3384615384615385,0.36363636363636365,0.71875,,,,
vote_disagree,0.7839195979899497,0.7838383838383838,0.38461538461538464,0.3484848484848485,0.375,,,,
learn_upper_fn_model_embedding_history_gross_logreg,0.7688442211055276,0.7486542443064182,0.2923076923076923,0.30303030303030304,0.5625,,,,
learn_hard_core_model_embedding_history_gross_logreg,0.7688442211055276,0.7686401293190543,0.27692307692307694,0.30303030303030304,0.3125,,,,
learn_upper_fn_model_embedding_history_gross_extra,0.7587939698492462,0.7242388758782201,0.26153846153846155,0.2727272727272727,0.53125,,,,
learn_upper_fn_model_embedding_basic_rf,0.7587939698492462,0.7264780673871583,0.24615384615384617,0.2727272727272727,0.53125,,,,
learn_upper_fn_model_embedding_history_rf,0.7537688442211056,0.7201405152224825,0.24615384615384617,0.25757575757575757,0.5,,,,
learn_upper_fn_model_embedding_basic_logreg,0.7537688442211056,0.7225356610602511,0.2153846153846154,0.25757575757575757,0.46875,,,,
learn_upper_fn_model_only_extra,0.7487437185929648,0.7136470087289759,0.27692307692307694,0.24242424242424243,0.5,,,,
learn_upper_fn_model_embedding_basic_extra,0.7487437185929648,0.7088172043010752,0.24615384615384617,0.24242424242424243,0.5,,,,
learn_upper_fn_model_only_rf,0.7437185929648241,0.7072100984167737,0.24615384615384617,0.22727272727272727,0.46875,,,,
learn_upper_fn_model_embedding_history_gross_rf,0.7437185929648241,0.7074193548387098,0.23076923076923078,0.22727272727272727,0.4375,,,,
learn_upper_fn_model_only_logreg,0.7386934673366834,0.7076711167620259,0.26153846153846155,0.21212121212121213,0.4375,,,,
learn_upper_fn_model_embedding_history_extra,0.7336683417085427,0.6946075233746467,0.2153846153846154,0.19696969696969696,0.375,,,,
