score,accept_acc_at_30,accept_bacc_at_30,hardcore_recall_at_30,error_recall_at_30,fn_recall_at_30,review_frac_for_acc90,accept_n_for_acc90,hardcore_recall_at_acc90,error_recall_at_acc90
ensemble_prob_range,0.8241206030150754,0.8243079409981815,0.47692307692307695,0.4696969696969697,0.5,,,,
learn_hard_core_model_only_rf,0.8241206030150754,0.8247625782986462,0.4461538461538462,0.4696969696969697,0.3125,,,,
learn_hard_core_model_only_logreg,0.8190954773869347,0.8187512628813902,0.5076923076923077,0.45454545454545453,0.375,,,,
ensemble_prob_std,0.8190954773869347,0.8190909090909091,0.46153846153846156,0.45454545454545453,0.4375,,,,
learn_upper_wrong_model_embedding_history_gross_rf,0.8190954773869347,0.8196388719821466,0.4,0.45454545454545453,0.375,,,,
learn_upper_wrong_model_embedding_history_logreg,0.8190954773869347,0.8191414141414142,0.38461538461538464,0.45454545454545453,0.46875,,,,
learn_hard_core_model_only_extra,0.8140703517587939,0.8147100424328146,0.47692307692307695,0.4393939393939394,0.28125,,,,
learn_upper_wrong_model_embedding_history_extra,0.8090452261306532,0.8091533643160235,0.4461538461538462,0.42424242424242425,0.375,,,,
learn_upper_wrong_model_embedding_history_rf,0.8090452261306532,0.8091093117408907,0.38461538461538464,0.42424242424242425,0.375,,,,
learn_hard_core_model_embedding_history_logreg,0.8090452261306532,0.8093049100828451,0.36923076923076925,0.42424242424242425,0.46875,,,,
learn_upper_wrong_model_embedding_history_gross_logreg,0.8090452261306532,0.8088861838101035,0.35384615384615387,0.42424242424242425,0.375,,,,
learn_upper_wrong_model_embedding_history_gross_extra,0.8090452261306532,0.8093711843711844,0.35384615384615387,0.42424242424242425,0.34375,,,,
learn_hard_core_model_embedding_history_extra,0.8040201005025126,0.8040226399838286,0.38461538461538464,0.4090909090909091,0.40625,,,,
learn_upper_wrong_model_only_logreg,0.7989949748743719,0.7994538834951457,0.4461538461538462,0.3939393939393939,0.3125,,,,
upper_low_conf,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,,,,
learn_upper_wrong_model_only_rf,0.7989949748743719,0.7990999190938511,0.4307692307692308,0.3939393939393939,0.34375,,,,
learn_hard_core_model_embedding_history_rf,0.7989949748743719,0.7990999190938511,0.38461538461538464,0.3939393939393939,0.40625,,,,
learn_hard_core_model_embedding_history_gross_rf,0.7989949748743719,0.7991206791995149,0.38461538461538464,0.3939393939393939,0.40625,,,,
learn_upper_wrong_model_embedding_basic_extra,0.7939698492462312,0.7942187184152012,0.4153846153846154,0.3787878787878788,0.3125,,,,
learn_hard_core_model_embedding_basic_rf,0.7939698492462312,0.7942187184152012,0.4,0.3787878787878788,0.40625,,,,
learn_upper_wrong_model_embedding_basic_rf,0.7939698492462312,0.7937133616333132,0.38461538461538464,0.3787878787878788,0.375,,,,
learn_hard_core_model_embedding_basic_extra,0.7939698492462312,0.7939987876338654,0.36923076923076925,0.3787878787878788,0.375,,,,
learn_upper_wrong_model_only_extra,0.7889447236180904,0.7890909090909091,0.4307692307692308,0.36363636363636365,0.25,,,,
learn_hard_core_model_embedding_history_gross_extra,0.7889447236180904,0.7890482925843605,0.4,0.36363636363636365,0.3125,,,,
learn_hard_core_model_embedding_basic_logreg,0.7889447236180904,0.7893167576308875,0.36923076923076925,0.36363636363636365,0.40625,,,,
vote_disagree,0.7839195979899497,0.7838383838383838,0.38461538461538464,0.3484848484848485,0.375,,,,
learn_upper_wrong_model_embedding_basic_logreg,0.7839195979899497,0.7834749190938511,0.35384615384615387,0.3484848484848485,0.34375,,,,
learn_upper_fn_model_embedding_history_logreg,0.7788944723618091,0.7537910261736602,0.2923076923076923,0.3333333333333333,0.65625,,,,
learn_hard_core_model_embedding_history_gross_logreg,0.7738693467336684,0.7737878787878788,0.2923076923076923,0.3181818181818182,0.34375,,,,
learn_upper_fn_model_embedding_history_gross_logreg,0.7587939698492462,0.7308014228918184,0.24615384615384617,0.2727272727272727,0.5625,,,,
learn_upper_fn_model_embedding_history_gross_extra,0.7537688442211056,0.7153401797175867,0.24615384615384617,0.25757575757575757,0.53125,,,,
learn_upper_fn_model_embedding_basic_rf,0.7537688442211056,0.7201405152224825,0.23076923076923078,0.25757575757575757,0.5,,,,
learn_upper_fn_model_only_extra,0.7487437185929648,0.7136470087289759,0.27692307692307694,0.24242424242424243,0.5,,,,
learn_upper_fn_model_embedding_basic_logreg,0.7487437185929648,0.7181434599156118,0.24615384615384617,0.24242424242424243,0.5,,,,
learn_upper_fn_model_embedding_history_rf,0.7487437185929648,0.7137890457851948,0.24615384615384617,0.24242424242424243,0.46875,,,,
learn_upper_fn_model_only_rf,0.7437185929648241,0.7072100984167737,0.24615384615384617,0.22727272727272727,0.46875,,,,
learn_upper_fn_model_embedding_history_extra,0.7437185929648241,0.705027027027027,0.23076923076923078,0.22727272727272727,0.4375,,,,
learn_upper_fn_model_embedding_history_gross_rf,0.7437185929648241,0.7074193548387098,0.2,0.22727272727272727,0.4375,,,,
learn_upper_fn_model_only_logreg,0.7386934673366834,0.7076711167620259,0.26153846153846155,0.21212121212121213,0.4375,,,,
learn_upper_fn_model_embedding_basic_extra,0.7386934673366834,0.6956947162426614,0.2,0.21212121212121213,0.4375,,,,
