model,policy,split,target_development_pass_accuracy,pass_threshold,pass_n,pass_rate,pass_accuracy,pass_balanced_accuracy,pass_fn,pass_fp,review_n,review_rate,review_main_accuracy,review_main_balanced_accuracy,review_robust_accuracy,review_robust_balanced_accuracy,review_main_fn,review_robust_fn,review_rescued_by_robust_n,review_harmed_by_robust_n
logistic_l2,auto_pass_ge_90,development_oof,0.9,0.5800000000000002,460,0.7783417935702199,0.9,0.8775493604994002,35,11,131,0.22165820642978004,0.7862595419847328,0.8015873015873016,0.6183206106870229,0.6034151034151034,6,26,13,35
logistic_l2,auto_pass_ge_90,external_strict_frozen,0.9,0.5800000000000002,67,0.6203703703703703,0.6268656716417911,0.5684803001876173,18,7,41,0.37962962962962965,0.6829268292682927,0.6833333333333333,0.7804878048780488,0.7761904761904761,7,1,6,2
logistic_l2,auto_pass_ge_95,development_oof,0.95,0.25000000000000006,126,0.2131979695431472,0.9523809523809523,0.9571052631578947,5,1,465,0.7868020304568528,0.853763440860215,0.8272365549993582,0.789247311827957,0.7398280066743679,36,58,17,47
logistic_l2,auto_pass_ge_95,external_strict_frozen,0.95,0.25000000000000006,8,0.07407407407407407,0.625,0.625,1,2,100,0.9259259259259259,0.65,0.6244390044879641,0.71,0.7056303549571603,24,14,10,4
random_forest,auto_pass_ge_90,development_oof,0.9,0.5900000000000002,517,0.8747884940778342,0.9013539651837524,0.8856349589570256,33,18,74,0.12521150592216582,0.6891891891891891,0.695861049519586,0.6216216216216216,0.6082779009608278,8,17,9,14
random_forest,auto_pass_ge_90,external_strict_frozen,0.9,0.5900000000000002,85,0.7870370370370371,0.6588235294117647,0.6359797297297297,20,9,23,0.21296296296296297,0.6086956521739131,0.5961538461538461,0.8260869565217391,0.8461538461538461,5,0,5,0
random_forest,auto_pass_ge_95,development_oof,0.95,0.25000000000000006,192,0.3248730964467005,0.953125,0.9511177844511178,5,4,399,0.6751269035532995,0.8370927318295739,0.8168192031566832,0.7669172932330827,0.7292568641420507,36,57,18,46
random_forest,auto_pass_ge_95,external_strict_frozen,0.95,0.25000000000000006,15,0.1388888888888889,0.6,0.6,2,4,93,0.8611111111111112,0.6559139784946236,0.6379551820728291,0.7204301075268817,0.7177871148459384,23,13,10,4
extra_trees,auto_pass_ge_90,development_oof,0.9,0.6100000000000001,515,0.871404399323181,0.9009708737864077,0.877822766475739,37,14,76,0.12859560067681894,0.6973684210526315,0.6861111111111111,0.5131578947368421,0.5236111111111111,4,27,14,28
extra_trees,auto_pass_ge_90,external_strict_frozen,0.9,0.6100000000000001,83,0.7685185185185185,0.6385542168674698,0.5969696969696969,20,10,25,0.23148148148148148,0.68,0.6850649350649352,0.84,0.8181818181818181,5,0,5,1
extra_trees,auto_pass_ge_95,development_oof,0.95,0.35000000000000003,149,0.2521150592216582,0.9530201342281879,0.9526002166847237,4,3,442,0.7478849407783418,0.8484162895927602,0.826565335753176,0.7805429864253394,0.7419691470054446,37,58,18,48
extra_trees,auto_pass_ge_95,external_strict_frozen,0.95,0.35000000000000003,11,0.10185185185185185,0.5454545454545454,0.55,2,3,97,0.8981481481481481,0.6597938144329897,0.6352813852813853,0.7216494845360825,0.7179653679653679,23,13,10,4
grad_boost,auto_pass_ge_90,development_oof,0.9,0.21000000000000002,503,0.8510998307952623,0.904572564612326,0.8883554140563487,31,17,88,0.14890016920473773,0.7045454545454546,0.707836014530358,0.5795454545454546,0.5690192008303062,10,24,11,22
grad_boost,auto_pass_ge_90,external_strict_frozen,0.9,0.21000000000000002,79,0.7314814814814815,0.6329113924050633,0.5748299319727891,20,9,29,0.26851851851851855,0.6896551724137931,0.6862745098039216,0.8620689655172413,0.8333333333333333,5,0,5,0
grad_boost,auto_pass_ge_95,development_oof,0.95,0.0,0,0.0,,,0,0,591,1.0,0.8747884940778342,0.8632347923571846,0.8240270727580372,0.8039213296938974,41,62,18,48
grad_boost,auto_pass_ge_95,external_strict_frozen,0.95,0.0,0,0.0,,,0,0,108,1.0,0.6481481481481481,0.627485176142309,0.7037037037037037,0.7010812696198117,25,15,10,4
