group,policy,coverage,auto_n,review_n,auto_accuracy,auto_bacc,auto_sensitivity_high,auto_specificity_low,review_error_rate,tn,fp,fn,tp
external_all,auto_if_162_103_agree,0.6203703703703703,67,41,0.7313432835820896,0.7298387096774194,0.7096774193548387,0.75,0.4878048780487805,27,9,9,22
external_all,auto_if_162_107_agree,0.5925925925925926,64,44,0.6875,0.6901960784313725,0.7333333333333333,0.6470588235294118,0.4090909090909091,22,12,8,22
external_all,auto_if_103_107_agree,0.8796296296296297,95,13,0.6842105263157895,0.6675651392632524,0.5238095238095238,0.8113207547169812,0.6153846153846154,43,10,20,22
external_all,auto_if_all3_agree,0.5462962962962963,59,49,0.7457627118644068,0.7476958525345623,0.7857142857142857,0.7096774193548387,0.46938775510204084,22,9,6,22
external_strict,auto_if_162_103_agree,0.6190476190476191,65,40,0.7230769230769231,0.7224857685009488,0.7096774193548387,0.7352941176470589,0.5,25,9,9,22
external_strict,auto_if_162_107_agree,0.5904761904761905,62,43,0.6774193548387096,0.6791666666666667,0.7333333333333333,0.625,0.4186046511627907,20,12,8,22
external_strict,auto_if_103_107_agree,0.8761904761904762,92,13,0.6739130434782609,0.661904761904762,0.5238095238095238,0.8,0.6153846153846154,40,10,20,22
external_strict,auto_if_all3_agree,0.5428571428571428,57,48,0.7368421052631579,0.7376847290640394,0.7857142857142857,0.6896551724137931,0.4791666666666667,20,9,6,22
external_readable_auto,auto_if_162_103_agree,0.5822784810126582,46,33,0.782608695652174,0.7846153846153847,0.8,0.7692307692307693,0.5151515151515151,20,6,4,16
external_readable_auto,auto_if_162_107_agree,0.5822784810126582,46,33,0.6956521739130435,0.700952380952381,0.7619047619047619,0.64,0.3939393939393939,16,9,5,16
external_readable_auto,auto_if_103_107_agree,0.8734177215189873,69,10,0.6956521739130435,0.676923076923077,0.5333333333333333,0.8205128205128205,0.6,32,7,14,16
external_readable_auto,auto_if_all3_agree,0.5189873417721519,41,38,0.7804878048780488,0.784688995215311,0.8421052631578947,0.7272727272727273,0.47368421052631576,16,6,3,16
