model,n,threshold,accuracy,balanced_accuracy,f1,auc,sensitivity_high,specificity_low,tn,fp,fn,tp
prob162_blend__external_all,108,0.595,0.6481481481481481,0.627485176142309,0.5365853658536586,0.6051621904429718,0.46808510638297873,0.7868852459016393,48,13,25,22
prob162_blend__external_strict,105,0.595,0.638095238095238,0.621973587674248,0.5365853658536586,0.6016140865737345,0.46808510638297873,0.7758620689655172,45,13,25,22
prob162_blend__external_readable_auto,79,0.595,0.6582278481012658,0.6337285902503293,0.5423728813559322,0.6245059288537549,0.48484848484848486,0.782608695652174,36,10,17,16
prob103_vitl__external_all,108,0.5,0.6388888888888888,0.6583536798046739,0.6608695652173913,0.67317753749564,0.8085106382978723,0.5081967213114754,31,30,9,38
prob103_vitl__external_strict,105,0.5,0.638095238095238,0.6542553191489362,0.6666666666666666,0.66507703595011,0.8085106382978723,0.5,29,29,9,38
prob103_vitl__external_readable_auto,79,0.5,0.6708860759493671,0.7002635046113307,0.6904761904761905,0.686429512516469,0.8787878787878788,0.5217391304347826,24,22,4,29
prob107_qkvb__external_all,108,0.5,0.5740740740740741,0.603418207185211,0.6290322580645161,0.6445762120683641,0.8297872340425532,0.3770491803278688,23,38,8,39
prob107_qkvb__external_strict,105,0.5,0.5714285714285714,0.5959280997798972,0.6341463414634146,0.6353631694790902,0.8297872340425532,0.3620689655172414,21,37,8,39
prob107_qkvb__external_readable_auto,79,0.5,0.569620253164557,0.6090250329380764,0.6222222222222222,0.6370223978919631,0.8484848484848485,0.3695652173913043,17,29,5,28
prob_mean_core__external_all,108,0.495,0.5185185185185185,0.5395884199511685,0.559322033898305,0.67317753749564,0.7021276595744681,0.3770491803278688,23,38,14,33
prob_mean_core__external_strict,105,0.495,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.6661775495231108,0.7021276595744681,0.3620689655172414,21,37,14,33
prob_mean_core__external_readable_auto,79,0.495,0.5189873417721519,0.5484189723320159,0.5581395348837209,0.6851119894598156,0.7272727272727273,0.3695652173913043,17,29,9,24
