group,policy,total_n,auto_n,review_n,retake_n,auto_coverage,review_rate,retake_rate,review_error_rate_base162,retake_error_rate_base162,auto_low_n,auto_high_n,auto_low_high_miss_rate,auto_high_ppv,high_total,high_auto_low_missed,high_auto_high,high_review_or_retake,high_risk_not_auto_low_rate,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp
external_all,forced_162_all,108,108,0,0,1.0,0.0,0.0,,,73,35,0.3424657534246575,0.6285714285714286,47,25,22,0,0.46808510638297873,0.6481481481481481,0.627485176142309,0.5365853658536586,0.46808510638297873,0.7868852459016393,48,13,25,22
external_all,forced_dinov3_all,108,108,0,0,1.0,0.0,0.0,,,40,68,0.225,0.5588235294117647,47,9,38,0,0.8085106382978723,0.6388888888888888,0.6583536798046739,0.6608695652173913,0.8085106382978723,0.5081967213114754,31,30,9,38
external_all,auto_if_162_103_agree,108,67,41,0,0.6203703703703703,0.37962962962962965,0.0,0.4878048780487805,,36,31,0.25,0.7096774193548387,47,9,22,16,0.8085106382978723,0.7313432835820896,0.7298387096774194,0.7096774193548387,0.7096774193548387,0.75,27,9,9,22
external_all,auto_if_162_107_agree,108,64,44,0,0.5925925925925926,0.4074074074074074,0.0,0.4090909090909091,,30,34,0.26666666666666666,0.6470588235294118,47,8,22,17,0.8297872340425532,0.6875,0.6901960784313725,0.6875,0.7333333333333333,0.6470588235294118,22,12,8,22
external_all,auto_if_all3_agree,108,59,49,0,0.5462962962962963,0.4537037037037037,0.0,0.46938775510204084,,28,31,0.21428571428571427,0.7096774193548387,47,6,22,19,0.8723404255319149,0.7457627118644068,0.7476958525345623,0.7457627118644068,0.7857142857142857,0.7096774193548387,22,9,6,22
external_all,quality_readable_force_162,108,79,8,21,0.7314814814814815,0.07407407407407407,0.19444444444444445,0.375,0.38095238095238093,53,26,0.32075471698113206,0.6153846153846154,47,17,16,14,0.6382978723404256,0.6582278481012658,0.6337285902503293,0.5423728813559322,0.48484848484848486,0.782608695652174,36,10,17,16
external_all,quality_readable_162_103_agree,108,46,41,21,0.42592592592592593,0.37962962962962965,0.19444444444444445,0.4878048780487805,0.38095238095238093,24,22,0.16666666666666666,0.7272727272727273,47,4,16,27,0.9148936170212766,0.782608695652174,0.7846153846153847,0.7619047619047619,0.8,0.7692307692307693,20,6,4,16
external_all,quality_readable_all3_agree,108,41,46,21,0.37962962962962965,0.42592592592592593,0.19444444444444445,0.45652173913043476,0.38095238095238093,19,22,0.15789473684210525,0.7272727272727273,47,3,16,28,0.9361702127659575,0.7804878048780488,0.784688995215311,0.7804878048780488,0.8421052631578947,0.7272727272727273,16,6,3,16
external_strict,forced_162_all,105,105,0,0,1.0,0.0,0.0,,,70,35,0.35714285714285715,0.6285714285714286,47,25,22,0,0.46808510638297873,0.638095238095238,0.621973587674248,0.5365853658536586,0.46808510638297873,0.7758620689655172,45,13,25,22
external_strict,forced_dinov3_all,105,105,0,0,1.0,0.0,0.0,,,38,67,0.23684210526315788,0.5671641791044776,47,9,38,0,0.8085106382978723,0.638095238095238,0.6542553191489362,0.6666666666666666,0.8085106382978723,0.5,29,29,9,38
external_strict,auto_if_162_103_agree,105,65,40,0,0.6190476190476191,0.38095238095238093,0.0,0.5,,34,31,0.2647058823529412,0.7096774193548387,47,9,22,16,0.8085106382978723,0.7230769230769231,0.7224857685009488,0.7096774193548387,0.7096774193548387,0.7352941176470589,25,9,9,22
external_strict,auto_if_162_107_agree,105,62,43,0,0.5904761904761905,0.4095238095238095,0.0,0.4186046511627907,,28,34,0.2857142857142857,0.6470588235294118,47,8,22,17,0.8297872340425532,0.6774193548387096,0.6791666666666667,0.6875,0.7333333333333333,0.625,20,12,8,22
external_strict,auto_if_all3_agree,105,57,48,0,0.5428571428571428,0.45714285714285713,0.0,0.4791666666666667,,26,31,0.23076923076923078,0.7096774193548387,47,6,22,19,0.8723404255319149,0.7368421052631579,0.7376847290640394,0.7457627118644068,0.7857142857142857,0.6896551724137931,20,9,6,22
external_strict,quality_readable_force_162,105,78,8,19,0.7428571428571429,0.0761904761904762,0.18095238095238095,0.375,0.42105263157894735,52,26,0.3269230769230769,0.6153846153846154,47,17,16,14,0.6382978723404256,0.6538461538461539,0.6313131313131313,0.5423728813559322,0.48484848484848486,0.7777777777777778,35,10,17,16
external_strict,quality_readable_162_103_agree,105,45,41,19,0.42857142857142855,0.3904761904761905,0.18095238095238095,0.4878048780487805,0.42105263157894735,23,22,0.17391304347826086,0.7272727272727273,47,4,16,27,0.9148936170212766,0.7777777777777778,0.78,0.7619047619047619,0.8,0.76,19,6,4,16
external_strict,quality_readable_all3_agree,105,40,46,19,0.38095238095238093,0.4380952380952381,0.18095238095238095,0.45652173913043476,0.42105263157894735,18,22,0.16666666666666666,0.7272727272727273,47,3,16,28,0.9361702127659575,0.775,0.7781954887218046,0.7804878048780488,0.8421052631578947,0.7142857142857143,15,6,3,16
external_readable_auto,forced_162_all,79,79,0,0,1.0,0.0,0.0,,,53,26,0.32075471698113206,0.6153846153846154,33,17,16,0,0.48484848484848486,0.6582278481012658,0.6337285902503293,0.5423728813559322,0.48484848484848486,0.782608695652174,36,10,17,16
external_readable_auto,forced_dinov3_all,79,79,0,0,1.0,0.0,0.0,,,28,51,0.14285714285714285,0.5686274509803921,33,4,29,0,0.8787878787878788,0.6708860759493671,0.7002635046113307,0.6904761904761905,0.8787878787878788,0.5217391304347826,24,22,4,29
external_readable_auto,auto_if_162_103_agree,79,46,33,0,0.5822784810126582,0.4177215189873418,0.0,0.5151515151515151,,24,22,0.16666666666666666,0.7272727272727273,33,4,16,13,0.8787878787878788,0.782608695652174,0.7846153846153847,0.7619047619047619,0.8,0.7692307692307693,20,6,4,16
external_readable_auto,auto_if_162_107_agree,79,46,33,0,0.5822784810126582,0.4177215189873418,0.0,0.3939393939393939,,21,25,0.23809523809523808,0.64,33,5,16,12,0.8484848484848485,0.6956521739130435,0.700952380952381,0.6956521739130435,0.7619047619047619,0.64,16,9,5,16
external_readable_auto,auto_if_all3_agree,79,41,38,0,0.5189873417721519,0.4810126582278481,0.0,0.47368421052631576,,19,22,0.15789473684210525,0.7272727272727273,33,3,16,14,0.9090909090909091,0.7804878048780488,0.784688995215311,0.7804878048780488,0.8421052631578947,0.7272727272727273,16,6,3,16
external_readable_auto,quality_readable_force_162,79,79,0,0,1.0,0.0,0.0,,,53,26,0.32075471698113206,0.6153846153846154,33,17,16,0,0.48484848484848486,0.6582278481012658,0.6337285902503293,0.5423728813559322,0.48484848484848486,0.782608695652174,36,10,17,16
external_readable_auto,quality_readable_162_103_agree,79,46,33,0,0.5822784810126582,0.4177215189873418,0.0,0.5151515151515151,,24,22,0.16666666666666666,0.7272727272727273,33,4,16,13,0.8787878787878788,0.782608695652174,0.7846153846153847,0.7619047619047619,0.8,0.7692307692307693,20,6,4,16
external_readable_auto,quality_readable_all3_agree,79,41,38,0,0.5189873417721519,0.4810126582278481,0.0,0.47368421052631576,,19,22,0.15789473684210525,0.7272727272727273,33,3,16,14,0.9090909090909091,0.7804878048780488,0.784688995215311,0.7804878048780488,0.8421052631578947,0.7272727272727273,16,6,3,16
