workflow_label,evidence_tier,scope,control_rate,balanced_accuracy,remaining_error_n,fn,fp,source_file
v91 main locked,locked primary,all_domains,0.7410586552217453,0.9823750323750324,11,7,4,v91_integrated_summary.csv
v91 main locked,locked primary,old_data,0.7263157894736842,0.9965277777777778,1,0,1,v91_integrated_summary.csv
v91 main locked,locked primary,third_batch,0.7254901960784313,0.952852787456446,9,7,2,v91_integrated_summary.csv
v91 main locked,locked primary,strict_external,0.8240740740740741,0.9918032786885246,1,0,1,v91_integrated_summary.csv
v79 strict fixed,locked high-review reference,all_domains,0.8254649499284692,0.9907407407407408,5,5,0,v91_integrated_summary.csv
v79 strict fixed,locked high-review reference,old_data,0.8210526315789474,1.0,0,0,0,v91_integrated_summary.csv
v79 strict fixed,locked high-review reference,third_batch,0.8137254901960784,0.9695121951219512,5,5,0,v91_integrated_summary.csv
v79 strict fixed,locked high-review reference,strict_external,0.8703703703703703,1.0,0,0,0,v91_integrated_summary.csv
v111 branch high-safety,post-v109 candidate,all_domains,0.7882689556509299,0.9946516446516448,4,1,3,v111_branch_specific_summary.csv
v111 branch high-safety,post-v109 candidate,internal_all,0.7732656514382402,0.9936817605771106,4,1,3,v111_branch_specific_summary.csv
v111 branch high-safety,post-v109 candidate,old_data,0.7403508771929824,0.9965277777777778,1,0,1,v111_branch_specific_summary.csv
v111 branch high-safety,post-v109 candidate,third_batch,0.803921568627451,0.9894381533101044,3,1,2,v111_branch_specific_summary.csv
v111 branch high-safety,post-v109 candidate,strict_external,0.8703703703703703,1.0,0,0,0,v111_branch_specific_summary.csv
v112 post-hoc symmetric guard,post-hoc internal candidate,all_domains,0.7982832618025751,0.9981481481481482,1,1,0,v112_lowrisk_guard_summary.csv
v112 post-hoc symmetric guard,post-hoc internal candidate,internal_all,0.7851099830795262,0.9977578475336324,1,1,0,v112_lowrisk_guard_summary.csv
v112 post-hoc symmetric guard,post-hoc internal candidate,old_data,0.7578947368421053,1.0,0,0,0,v112_lowrisk_guard_summary.csv
v112 post-hoc symmetric guard,post-hoc internal candidate,third_batch,0.8104575163398693,0.9939024390243902,1,1,0,v112_lowrisk_guard_summary.csv
v112 post-hoc symmetric guard,post-hoc internal candidate,strict_external,0.8703703703703703,1.0,0,0,0,v112_lowrisk_guard_summary.csv
v113 post-hoc upper bound,post-hoc upper bound,all_domains,0.8082975679542204,1.0,0,0,0,v113_triple_guard_summary.csv
v113 post-hoc upper bound,post-hoc upper bound,internal_all,0.7969543147208121,1.0,0,0,0,v113_triple_guard_summary.csv
v113 post-hoc upper bound,post-hoc upper bound,old_data,0.7578947368421053,1.0,0,0,0,v113_triple_guard_summary.csv
v113 post-hoc upper bound,post-hoc upper bound,third_batch,0.8333333333333334,1.0,0,0,0,v113_triple_guard_summary.csv
v113 post-hoc upper bound,post-hoc upper bound,strict_external,0.8703703703703703,1.0,0,0,0,v113_triple_guard_summary.csv
v114 nested narrow guard,fold-wise validation,all_domains,0.8011444921316166,0.995817145817146,3,1,2,v114_nested_directional_guard_summary.csv
v114 nested narrow guard,fold-wise validation,internal_all,0.7884940778341794,0.9950404562292844,3,1,2,v114_nested_directional_guard_summary.csv
v114 nested narrow guard,fold-wise validation,old_data,0.7473684210526316,0.9965277777777778,1,0,1,v114_nested_directional_guard_summary.csv
v114 nested narrow guard,fold-wise validation,third_batch,0.826797385620915,0.9916702961672474,2,1,1,v114_nested_directional_guard_summary.csv
v114 nested narrow guard,fold-wise validation,strict_external,0.8703703703703703,1.0,0,0,0,v114_nested_directional_guard_summary.csv
v115 nested stable candidate,fold-wise validation,all_domains,0.8025751072961373,0.9981481481481482,1,1,0,v115_nested_stable_envelope_summary.csv
v115 nested stable candidate,fold-wise validation,internal_all,0.7901861252115059,0.9977578475336324,1,1,0,v115_nested_stable_envelope_summary.csv
v115 nested stable candidate,fold-wise validation,old_data,0.7649122807017544,1.0,0,0,0,v115_nested_stable_envelope_summary.csv
v115 nested stable candidate,fold-wise validation,third_batch,0.8137254901960784,0.9939024390243902,1,1,0,v115_nested_stable_envelope_summary.csv
v115 nested stable candidate,fold-wise validation,strict_external,0.8703703703703703,1.0,0,0,0,v115_nested_stable_envelope_summary.csv
