workflow,scope,n,control_rate,remaining_error_n,fn,fp,sensitivity,specificity,balanced_accuracy
v111_base,all_domains,699,78.83%,4,1,3,99.63%,99.30%,99.47%
v111_base,internal_all,591,77.33%,4,1,3,99.55%,99.18%,99.37%
v111_base,old_data,285,74.04%,1,0,1,100.00%,99.31%,99.65%
v111_base,third_batch,306,80.39%,3,1,2,98.78%,99.11%,98.94%
v111_base,strict_external,108,87.04%,0,0,0,100.00%,100.00%,100.00%
nested_two_signal_min_review,all_domains,699,79.69%,2,1,1,99.63%,99.77%,99.70%
nested_two_signal_min_review,internal_all,591,78.34%,2,1,1,99.55%,99.73%,99.64%
nested_two_signal_min_review,old_data,285,75.79%,0,0,0,100.00%,100.00%,100.00%
nested_two_signal_min_review,third_batch,306,80.72%,2,1,1,98.78%,99.55%,99.17%
nested_two_signal_min_review,strict_external,108,87.04%,0,0,0,100.00%,100.00%,100.00%
nested_two_signal_stable_envelope,all_domains,699,80.26%,1,1,0,99.63%,100.00%,99.81%
nested_two_signal_stable_envelope,internal_all,591,79.02%,1,1,0,99.55%,100.00%,99.78%
nested_two_signal_stable_envelope,old_data,285,76.49%,0,0,0,100.00%,100.00%,100.00%
nested_two_signal_stable_envelope,third_batch,306,81.37%,1,1,0,98.78%,100.00%,99.39%
nested_two_signal_stable_envelope,strict_external,108,87.04%,0,0,0,100.00%,100.00%,100.00%
