workflow,scope,n,control_rate,remaining_error_n,fn,fp,sensitivity,specificity,balanced_accuracy
v111_base,all_domains,699,0.7882689556509299,4,1,3,0.9962962962962963,0.993006993006993,0.9946516446516447
v111_base,internal_all,591,0.7732656514382402,4,1,3,0.9955156950672646,0.9918478260869565,0.9936817605771106
v111_base,old_data,285,0.7403508771929824,1,0,1,1.0,0.9930555555555556,0.9965277777777778
v111_base,third_batch,306,0.803921568627451,3,1,2,0.9878048780487805,0.9910714285714286,0.9894381533101045
v111_base,strict_external,108,0.8703703703703703,0,0,0,1.0,1.0,1.0
global_two_signal_scorecard,all_domains,699,0.7997138769670958,1,1,0,0.9962962962962963,1.0,0.9981481481481482
global_two_signal_scorecard,internal_all,591,0.7868020304568528,1,1,0,0.9955156950672646,1.0,0.9977578475336323
global_two_signal_scorecard,old_data,285,0.7614035087719299,0,0,0,1.0,1.0,1.0
global_two_signal_scorecard,third_batch,306,0.8104575163398693,1,1,0,0.9878048780487805,1.0,0.9939024390243902
global_two_signal_scorecard,strict_external,108,0.8703703703703703,0,0,0,1.0,1.0,1.0
