n,stage1_accept_n,stage1_accept_rate,stage2_accept_n,stage2_accept_rate,reject_n,reject_rate,automated_n,automated_rate,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,stage1_n,stage1_accuracy,stage1_balanced_accuracy,stage1_f1,stage1_sensitivity_high,stage1_specificity_low,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage1_auc,stage2_n,stage2_accuracy,stage2_balanced_accuracy,stage2_f1,stage2_sensitivity_high,stage2_specificity_low,stage2_tn,stage2_fp,stage2_fn,stage2_tp,stage2_auc,automated_accuracy,automated_balanced_accuracy,automated_f1,automated_sensitivity_high,automated_specificity_low,automated_tn,automated_fp,automated_fn,automated_tp,automated_auc,system_if_reject_corrected_n,system_if_reject_corrected_accuracy,system_if_reject_corrected_balanced_accuracy,system_if_reject_corrected_f1,system_if_reject_corrected_sensitivity_high,system_if_reject_corrected_specificity_low,system_if_reject_corrected_tn,system_if_reject_corrected_fp,system_if_reject_corrected_fn,system_if_reject_corrected_tp,system_if_reject_corrected_auc,feature_set,gate,corrector,target_accept_acc,corrector_conf_min,scope
591,557,0.9424703891708968,34,0.05752961082910321,0,0.0,591,1.0,12,2,0,12,2,0,557,0.8797127468581688,0.8704348182115951,0.8408551068883611,0.8309859154929577,0.9098837209302325,313,31,36,177,0.8792171634457909,34,0.5882352941176471,0.65,0.5333333333333333,0.8,0.5,12,12,2,8,0.6333333333333334,0.8646362098138748,0.8577329888867226,0.8222222222222222,0.8295964125560538,0.8858695652173914,326,42,38,185,0.8675302203158511,591,0.8646362098138748,0.8577329888867226,0.8222222222222222,0.8295964125560538,0.8858695652173914,326,42,38,185,0.8675302203158511,core,gate_logreg,corr_logreg,0.88,0.0,internal_nested_old_third
591,364,0.6159052453468697,227,0.3840947546531303,0,0.0,591,1.0,19,6,0,19,6,0,364,0.9065934065934066,0.8737307290085349,0.8482142857142857,0.7723577235772358,0.975103734439834,235,6,28,95,0.8989980771177006,227,0.8061674008810573,0.8118897637795275,0.7962962962962963,0.86,0.7637795275590551,97,30,14,86,0.8813385826771654,0.8629441624365483,0.8528404659777735,0.8171557562076749,0.8116591928251121,0.8940217391304348,329,39,42,181,0.9000536166894131,591,0.8629441624365483,0.8528404659777735,0.8171557562076749,0.8116591928251121,0.8940217391304348,329,39,42,181,0.9000536166894131,core,gate_logreg,corr_logreg,0.92,0.0,internal_nested_old_third
591,550,0.9306260575296108,41,0.06937394247038917,0,0.0,591,1.0,18,7,0,18,7,0,550,0.8745454545454545,0.8640768446106766,0.8296296296296296,0.8235294117647058,0.9046242774566474,313,33,36,168,0.8747166496656467,41,0.7317073170731707,0.7248803827751196,0.6857142857142857,0.631578947368421,0.8181818181818182,18,4,7,12,0.722488038277512,0.8629441624365483,0.850190095535192,0.8146453089244852,0.7982062780269058,0.9021739130434783,332,36,45,178,0.8624000779879119,591,0.8629441624365483,0.850190095535192,0.8146453089244852,0.7982062780269058,0.9021739130434783,332,36,45,178,0.8624000779879119,multiview,gate_logreg,corr_logreg,0.88,0.0,internal_nested_old_third
591,446,0.754653130287648,145,0.24534686971235195,0,0.0,591,1.0,20,11,0,20,7,4,446,0.8878923766816144,0.8668927143105547,0.8366013071895425,0.7901234567901234,0.9436619718309859,268,16,34,128,0.8890193009911319,145,0.7793103448275862,0.7893247462919594,0.7647058823529411,0.8524590163934426,0.7261904761904762,61,23,9,52,0.8647540983606556,0.8595600676818951,0.8492396178592319,0.8126410835214447,0.8071748878923767,0.8913043478260869,328,40,43,180,0.8801423279391694,591,0.8595600676818951,0.8492396178592319,0.8126410835214447,0.8071748878923767,0.8913043478260869,328,40,43,180,0.8801423279391694,multiview,gate_logreg,corr_extra,0.92,0.0,internal_nested_old_third
591,364,0.6159052453468697,227,0.3840947546531303,0,0.0,591,1.0,12,4,0,12,4,0,364,0.9065934065934066,0.8737307290085349,0.8482142857142857,0.7723577235772358,0.975103734439834,235,6,28,95,0.8989980771177006,227,0.7841409691629956,0.7943307086614173,0.7822222222222223,0.88,0.7086614173228346,90,37,12,88,0.8508661417322835,0.856175972927242,0.8474056833690777,0.8098434004474273,0.8116591928251121,0.8831521739130435,325,43,42,181,0.8934124585689218,591,0.856175972927242,0.8474056833690777,0.8098434004474273,0.8116591928251121,0.8831521739130435,325,43,42,181,0.8934124585689218,core,gate_logreg,corr_extra,0.92,0.0,internal_nested_old_third
591,385,0.6514382402707276,206,0.34856175972927245,0,0.0,591,1.0,0,0,0,0,0,0,385,0.8779220779220779,0.8756825162097599,0.8459016393442623,0.8657718120805369,0.885593220338983,209,27,20,129,0.9151973609373223,206,0.7864077669902912,0.7858312858312858,0.725,0.7837837837837838,0.7878787878787878,104,28,16,58,0.8179770679770679,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8839442386430104,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8839442386430104,core,base_conf_core,corr_logreg,0.88,0.0,internal_nested_old_third
591,286,0.48392554991539766,305,0.5160744500846024,0,0.0,591,1.0,0,0,0,0,0,0,286,0.916083916083916,0.9061844863731656,0.8846153846153846,0.8679245283018868,0.9444444444444444,170,10,14,92,0.9342243186582809,305,0.780327868852459,0.7863020549190762,0.7392996108949417,0.811965811965812,0.7606382978723404,143,45,22,95,0.8466084742680486,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8931931175667771,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8931931175667771,core,base_conf_core,corr_logreg,0.92,0.0,internal_nested_old_third
591,385,0.6514382402707276,206,0.34856175972927245,0,0.0,591,1.0,0,0,0,0,0,0,385,0.8779220779220779,0.8756825162097599,0.8459016393442623,0.8657718120805369,0.885593220338983,209,27,20,129,0.9151973609373223,206,0.7864077669902912,0.7858312858312858,0.725,0.7837837837837838,0.7878787878787878,104,28,16,58,0.8052825552825553,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8871124975628778,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8871124975628778,core,base_conf_core,corr_extra,0.88,0.0,internal_nested_old_third
591,331,0.560067681895093,260,0.43993231810490696,0,0.0,591,1.0,0,0,0,0,0,0,331,0.9003021148036254,0.8934081070444706,0.8641975308641975,0.8677685950413223,0.919047619047619,193,17,16,105,0.9252656434474616,260,0.7769230769230769,0.7817076197567635,0.7387387387387387,0.803921568627451,0.759493670886076,120,38,20,82,0.8325266815586994,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8944360499122636,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8944360499122636,core,base_conf_core,corr_extra,0.9,0.0,internal_nested_old_third
591,286,0.48392554991539766,305,0.5160744500846024,0,0.0,591,1.0,0,0,0,0,0,0,286,0.916083916083916,0.9061844863731656,0.8846153846153846,0.8679245283018868,0.9444444444444444,170,10,14,92,0.9342243186582809,305,0.780327868852459,0.7863020549190762,0.7392996108949417,0.811965811965812,0.7606382978723404,143,45,22,95,0.8379705400981996,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8967878728797037,591,0.8460236886632826,0.8445542503411971,0.8043010752688172,0.8385650224215246,0.8505434782608695,313,55,36,187,0.8967878728797037,core,base_conf_core,corr_extra,0.92,0.0,internal_nested_old_third
