n,stage1_accept_n,stage1_accept_rate,stage2_accept_n,stage2_accept_rate,reject_n,reject_rate,automated_n,automated_rate,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,stage1_n,stage1_accuracy,stage1_balanced_accuracy,stage1_f1,stage1_sensitivity_high,stage1_specificity_low,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage1_auc,stage2_n,stage2_accuracy,stage2_balanced_accuracy,stage2_f1,stage2_sensitivity_high,stage2_specificity_low,stage2_tn,stage2_fp,stage2_fn,stage2_tp,stage2_auc,automated_accuracy,automated_balanced_accuracy,automated_f1,automated_sensitivity_high,automated_specificity_low,automated_tn,automated_fp,automated_fn,automated_tp,automated_auc,system_if_reject_corrected_n,system_if_reject_corrected_accuracy,system_if_reject_corrected_balanced_accuracy,system_if_reject_corrected_f1,system_if_reject_corrected_sensitivity_high,system_if_reject_corrected_specificity_low,system_if_reject_corrected_tn,system_if_reject_corrected_fp,system_if_reject_corrected_fn,system_if_reject_corrected_tp,system_if_reject_corrected_auc,feature_set,gate,corrector,target_accept_acc,corrector_conf_min,scope
591,557,94.25%,34,5.75%,0,0.00%,591,100.00%,12,2,0,12,2,0,557,87.97%,87.04%,0.8408551068883611,83.10%,90.99%,313,31,36,177,0.8792171634457909,34,58.82%,65.00%,0.5333333333333333,80.00%,50.00%,12,12,2,8,0.6333333333333334,86.46%,85.77%,0.8222222222222222,82.96%,88.59%,326,42,38,185,86.75%,591,86.46%,85.77%,0.8222222222222222,82.96%,88.59%,326,42,38,185,0.8675302203158511,core,gate_logreg,corr_logreg,0.88,0.0,internal_nested_old_third
591,364,61.59%,227,38.41%,0,0.00%,591,100.00%,19,6,0,19,6,0,364,90.66%,87.37%,0.8482142857142857,77.24%,97.51%,235,6,28,95,0.8989980771177006,227,80.62%,81.19%,0.7962962962962963,86.00%,76.38%,97,30,14,86,0.8813385826771654,86.29%,85.28%,0.8171557562076749,81.17%,89.40%,329,39,42,181,90.01%,591,86.29%,85.28%,0.8171557562076749,81.17%,89.40%,329,39,42,181,0.9000536166894131,core,gate_logreg,corr_logreg,0.92,0.0,internal_nested_old_third
591,550,93.06%,41,6.94%,0,0.00%,591,100.00%,18,7,0,18,7,0,550,87.45%,86.41%,0.8296296296296296,82.35%,90.46%,313,33,36,168,0.8747166496656467,41,73.17%,72.49%,0.6857142857142857,63.16%,81.82%,18,4,7,12,0.722488038277512,86.29%,85.02%,0.8146453089244852,79.82%,90.22%,332,36,45,178,86.24%,591,86.29%,85.02%,0.8146453089244852,79.82%,90.22%,332,36,45,178,0.8624000779879119,multiview,gate_logreg,corr_logreg,0.88,0.0,internal_nested_old_third
591,446,75.47%,145,24.53%,0,0.00%,591,100.00%,20,11,0,20,7,4,446,88.79%,86.69%,0.8366013071895425,79.01%,94.37%,268,16,34,128,0.8890193009911319,145,77.93%,78.93%,0.7647058823529411,85.25%,72.62%,61,23,9,52,0.8647540983606556,85.96%,84.92%,0.8126410835214447,80.72%,89.13%,328,40,43,180,88.01%,591,85.96%,84.92%,0.8126410835214447,80.72%,89.13%,328,40,43,180,0.8801423279391694,multiview,gate_logreg,corr_extra,0.92,0.0,internal_nested_old_third
591,364,61.59%,227,38.41%,0,0.00%,591,100.00%,12,4,0,12,4,0,364,90.66%,87.37%,0.8482142857142857,77.24%,97.51%,235,6,28,95,0.8989980771177006,227,78.41%,79.43%,0.7822222222222223,88.00%,70.87%,90,37,12,88,0.8508661417322835,85.62%,84.74%,0.8098434004474273,81.17%,88.32%,325,43,42,181,89.34%,591,85.62%,84.74%,0.8098434004474273,81.17%,88.32%,325,43,42,181,0.8934124585689218,core,gate_logreg,corr_extra,0.92,0.0,internal_nested_old_third
591,385,65.14%,206,34.86%,0,0.00%,591,100.00%,0,0,0,0,0,0,385,87.79%,87.57%,0.8459016393442623,86.58%,88.56%,209,27,20,129,0.9151973609373223,206,78.64%,78.58%,0.725,78.38%,78.79%,104,28,16,58,0.8179770679770679,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,88.39%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.8839442386430104,core,base_conf_core,corr_logreg,0.88,0.0,internal_nested_old_third
591,286,48.39%,305,51.61%,0,0.00%,591,100.00%,0,0,0,0,0,0,286,91.61%,90.62%,0.8846153846153846,86.79%,94.44%,170,10,14,92,0.9342243186582809,305,78.03%,78.63%,0.7392996108949417,81.20%,76.06%,143,45,22,95,0.8466084742680486,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,89.32%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.8931931175667771,core,base_conf_core,corr_logreg,0.92,0.0,internal_nested_old_third
591,385,65.14%,206,34.86%,0,0.00%,591,100.00%,0,0,0,0,0,0,385,87.79%,87.57%,0.8459016393442623,86.58%,88.56%,209,27,20,129,0.9151973609373223,206,78.64%,78.58%,0.725,78.38%,78.79%,104,28,16,58,0.8052825552825553,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,88.71%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.8871124975628778,core,base_conf_core,corr_extra,0.88,0.0,internal_nested_old_third
591,331,56.01%,260,43.99%,0,0.00%,591,100.00%,0,0,0,0,0,0,331,90.03%,89.34%,0.8641975308641975,86.78%,91.90%,193,17,16,105,0.9252656434474616,260,77.69%,78.17%,0.7387387387387387,80.39%,75.95%,120,38,20,82,0.8325266815586994,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,89.44%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.8944360499122636,core,base_conf_core,corr_extra,0.9,0.0,internal_nested_old_third
591,286,48.39%,305,51.61%,0,0.00%,591,100.00%,0,0,0,0,0,0,286,91.61%,90.62%,0.8846153846153846,86.79%,94.44%,170,10,14,92,0.9342243186582809,305,78.03%,78.63%,0.7392996108949417,81.20%,76.06%,143,45,22,95,0.8379705400981996,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,89.68%,591,84.60%,84.46%,0.8043010752688172,83.86%,85.05%,313,55,36,187,0.8967878728797037,core,base_conf_core,corr_extra,0.92,0.0,internal_nested_old_third
