candidate,objective,threshold,scope,selection_score,accuracy,balanced_accuracy,f1,sensitivity_high,specificity_low,tn,fp,fn,tp,auc
stack_logreg_c03_multiview_subtype,balanced_accuracy,0.49999999999999994,internal_oof_old_third,1.0,100.00%,100.00%,100.00%,100.00%,100.00%,368,0,0,223,100.00%
stack_logreg_c03_multiview_subtype,accuracy,0.49999999999999994,internal_oof_old_third,1.0,100.00%,100.00%,100.00%,100.00%,100.00%,368,0,0,223,100.00%
stack_logreg_c03_multiview_subtype,high_sensitivity,0.49999999999999994,internal_oof_old_third,1.0,100.00%,100.00%,100.00%,100.00%,100.00%,368,0,0,223,100.00%
stack_gb_d2_multiview_subtype,balanced_accuracy,0.49999999999999994,internal_oof_old_third,1.0,100.00%,100.00%,100.00%,100.00%,100.00%,368,0,0,223,100.00%
stack_gb_d2_multiview_subtype,accuracy,0.49999999999999994,internal_oof_old_third,1.0,100.00%,100.00%,100.00%,100.00%,100.00%,368,0,0,223,100.00%
stack_gb_d2_multiview_subtype,high_sensitivity,0.49999999999999994,internal_oof_old_third,1.0,100.00%,100.00%,100.00%,100.00%,100.00%,368,0,0,223,100.00%
stack_extra_d3_multiview_subtype,balanced_accuracy,0.5149999999999999,internal_oof_old_third,0.9819287385455254,97.97%,98.19%,97.36%,99.10%,97.28%,358,10,2,221,99.68%
stack_extra_d3_multiview_subtype,accuracy,0.5149999999999999,internal_oof_old_third,0.9796954314720813,97.97%,98.19%,97.36%,99.10%,97.28%,358,10,2,221,99.68%
stack_extra_d3_multiview_subtype,high_sensitivity,0.37499999999999994,internal_oof_old_third,1.0,94.75%,95.79%,93.50%,100.00%,91.58%,337,31,0,223,99.68%
stack_gb_d2_multiview,balanced_accuracy,0.30999999999999994,internal_oof_old_third,0.870302446870735,87.48%,87.03%,83.70%,85.20%,88.86%,327,41,33,190,91.62%
stack_gb_d2_multiview,accuracy,0.36499999999999994,internal_oof_old_third,0.8764805414551607,87.65%,86.90%,83.67%,83.86%,89.95%,331,37,36,187,91.62%
stack_gb_d2_core,balanced_accuracy,0.295,internal_oof_old_third,0.866634577890427,86.80%,86.66%,83.12%,86.10%,87.23%,321,47,31,192,91.76%
main_prob,balanced_accuracy,0.595,internal_oof_old_third,0.8632347923571846,87.48%,86.32%,83.11%,81.61%,91.03%,335,33,41,182,90.11%
main_prob,accuracy,0.595,internal_oof_old_third,0.8747884940778342,87.48%,86.32%,83.11%,81.61%,91.03%,335,33,41,182,90.11%
stack_logreg_c03_multiview,balanced_accuracy,0.6599999999999999,internal_oof_old_third,0.8579340514720217,87.48%,85.79%,82.63%,78.92%,92.66%,341,27,47,176,89.17%
stack_logreg_c03_multiview,accuracy,0.6599999999999999,internal_oof_old_third,0.8747884940778342,87.48%,85.79%,82.63%,78.92%,92.66%,341,27,47,176,89.17%
stack_logreg_c03_core,balanced_accuracy,0.6599999999999999,internal_oof_old_third,0.8570505946578281,87.48%,85.71%,82.55%,78.48%,92.93%,342,26,48,175,89.35%
stack_logreg_c03_core,accuracy,0.6599999999999999,internal_oof_old_third,0.8747884940778342,87.48%,85.71%,82.55%,78.48%,92.93%,342,26,48,175,89.35%
stack_gb_d2_core,accuracy,0.48999999999999994,internal_oof_old_third,0.871404399323181,87.14%,85.61%,82.33%,79.37%,91.85%,338,30,46,177,91.76%
stack_extra_d3_core,balanced_accuracy,0.5149999999999999,internal_oof_old_third,0.8560330961201014,86.80%,85.60%,82.19%,80.72%,90.49%,333,35,43,180,90.37%
stack_extra_d3_core,accuracy,0.5149999999999999,internal_oof_old_third,0.868020304568528,86.80%,85.60%,82.19%,80.72%,90.49%,333,35,43,180,90.37%
stack_extra_d3_multiview,balanced_accuracy,0.605,internal_oof_old_third,0.8556248781438877,86.97%,85.56%,82.22%,79.82%,91.30%,336,32,45,178,90.27%
stack_extra_d3_multiview,accuracy,0.605,internal_oof_old_third,0.8697123519458545,86.97%,85.56%,82.22%,79.82%,91.30%,336,32,45,178,90.27%
pure_auto_pred_as_prob,balanced_accuracy,0.49999999999999994,internal_oof_old_third,0.8445542503411971,84.60%,84.46%,80.43%,83.86%,85.05%,313,55,36,187,84.46%
pure_auto_pred_as_prob,accuracy,0.49999999999999994,internal_oof_old_third,0.8460236886632826,84.60%,84.46%,80.43%,83.86%,85.05%,313,55,36,187,84.46%
pure_auto_pred_as_prob,high_sensitivity,0.49999999999999994,internal_oof_old_third,0.8385650224215246,84.60%,84.46%,80.43%,83.86%,85.05%,313,55,36,187,84.46%
max_all6,balanced_accuracy,0.715,internal_oof_old_third,0.808886966270228,80.71%,80.89%,76.15%,81.61%,80.16%,295,73,41,182,86.91%
robust_prob,balanced_accuracy,0.57,internal_oof_old_third,0.8039213296938974,82.40%,80.39%,75.59%,72.20%,88.59%,326,42,62,161,87.48%
robust_prob,accuracy,0.57,internal_oof_old_third,0.8240270727580372,82.40%,80.39%,75.59%,72.20%,88.59%,326,42,62,161,87.48%
avg_main_core_whole,balanced_accuracy,0.5599999999999999,internal_oof_old_third,0.7935270033144862,81.22%,79.35%,74.25%,71.75%,86.96%,320,48,63,160,87.51%
median_all6,balanced_accuracy,0.5249999999999999,internal_oof_old_third,0.788774614934685,79.53%,78.88%,73.75%,76.23%,81.52%,300,68,53,170,86.25%
median_all6,accuracy,0.575,internal_oof_old_third,0.8104906937394247,81.05%,78.78%,73.46%,69.51%,88.04%,324,44,68,155,86.25%
prob_mean_core,balanced_accuracy,0.49499999999999994,internal_oof_old_third,0.7855149639305907,78.68%,78.55%,73.42%,78.03%,79.08%,291,77,49,174,86.00%
avg_main_core_whole,accuracy,0.63,internal_oof_old_third,0.8155668358714044,81.56%,77.95%,72.12%,63.23%,92.66%,341,27,82,141,87.51%
prob_mean_core,accuracy,0.605,internal_oof_old_third,0.8087986463620981,80.88%,77.93%,72.24%,65.92%,89.95%,331,37,76,147,86.00%
max_all6,accuracy,0.8099999999999999,internal_oof_old_third,0.8104906937394247,81.05%,77.80%,72.00%,64.57%,91.03%,335,33,79,144,86.91%
avg_all6,balanced_accuracy,0.4599999999999999,internal_oof_old_third,0.7730856404757263,76.14%,77.31%,72.19%,82.06%,72.55%,267,101,40,183,85.62%
avg_all6,accuracy,0.6,internal_oof_old_third,0.7952622673434856,79.53%,76.14%,69.67%,62.33%,89.95%,331,37,84,139,85.62%
avg_core_selected,balanced_accuracy,0.4599999999999999,internal_oof_old_third,0.7424449210372392,73.10%,74.24%,68.88%,78.92%,69.57%,256,112,47,176,81.49%
min_all6,balanced_accuracy,0.4099999999999999,internal_oof_old_third,0.7357732988886723,77.33%,73.58%,65.99%,58.30%,88.86%,327,41,93,130,78.86%
min_all6,accuracy,0.4649999999999999,internal_oof_old_third,0.7800338409475466,78.00%,72.88%,64.09%,52.02%,93.75%,345,23,107,116,78.86%
stack_logreg_c03_core,high_sensitivity,0.16499999999999998,internal_oof_old_third,0.9058042503411972,67.85%,72.59%,68.33%,91.93%,53.26%,196,172,18,205,89.35%
stack_gb_d2_multiview,high_sensitivity,0.09,internal_oof_old_third,0.9380108208227724,66.84%,72.57%,68.59%,95.96%,49.18%,181,187,9,214,91.62%
stack_gb_d2_core,high_sensitivity,0.09,internal_oof_old_third,0.9460289530122832,65.65%,71.89%,68.13%,97.31%,46.47%,171,197,6,217,91.76%
avg_core_selected,accuracy,0.6499999999999999,internal_oof_old_third,0.7648054145516074,76.48%,71.04%,61.06%,48.88%,93.21%,343,25,114,109,81.49%
selected_dinov3_prob,balanced_accuracy,0.49999999999999994,internal_oof_old_third,0.7003192630142328,70.05%,70.03%,63.80%,69.96%,70.11%,258,110,67,156,74.54%
robust_prob,high_sensitivity,0.26999999999999996,internal_oof_old_third,0.931082082277247,63.45%,69.95%,66.56%,96.41%,43.48%,160,208,8,215,87.48%
selected_dinov3_prob,accuracy,0.58,internal_oof_old_third,0.7174280879864636,71.74%,69.01%,60.71%,57.85%,80.16%,295,73,94,129,74.54%
stack_extra_d3_core,high_sensitivity,0.20999999999999996,internal_oof_old_third,0.9227934295184247,62.10%,68.77%,65.64%,95.96%,41.58%,153,215,9,214,90.37%
max_all6,high_sensitivity,0.48499999999999993,internal_oof_old_third,0.922249951257555,61.93%,68.63%,65.54%,95.96%,41.30%,152,216,9,214,86.91%
avg_all6,high_sensitivity,0.3,internal_oof_old_third,0.9280941704035874,60.07%,67.40%,64.78%,97.31%,37.50%,138,230,6,217,85.62%
prob_mean_core,high_sensitivity,0.24,internal_oof_old_third,0.9230663872099825,59.73%,67.04%,64.48%,96.86%,37.23%,137,231,7,216,86.00%
selected_unified_prob,balanced_accuracy,0.5449999999999999,internal_oof_old_third,0.6685209105088712,67.85%,66.85%,59.57%,62.78%,70.92%,261,107,83,140,72.69%
stack_extra_d3_multiview,high_sensitivity,0.20499999999999996,internal_oof_old_third,0.931084519399493,58.54%,66.36%,64.13%,98.21%,34.51%,127,241,4,219,90.27%
avg_main_core_whole,high_sensitivity,0.27499999999999997,internal_oof_old_third,0.9255132579450186,58.04%,65.86%,63.74%,97.76%,33.97%,125,243,5,218,87.51%
wholecrop_prob,balanced_accuracy,0.38499999999999995,internal_oof_old_third,0.6572553129264964,62.27%,65.73%,61.49%,79.82%,51.63%,190,178,45,178,71.67%
median_all6,high_sensitivity,0.245,internal_oof_old_third,0.928640085786703,55.33%,63.95%,62.61%,99.10%,28.80%,106,262,2,221,86.25%
wholecrop_prob,accuracy,0.7449999999999999,internal_oof_old_third,0.700507614213198,70.05%,62.70%,45.20%,32.74%,92.66%,341,27,150,73,71.67%
stack_logreg_c03_multiview,high_sensitivity,0.105,internal_oof_old_third,0.9181775199844023,53.30%,62.23%,61.45%,98.65%,25.82%,95,273,3,220,89.17%
selected_unified_prob,accuracy,0.715,internal_oof_old_third,0.6903553299492385,69.04%,61.88%,44.38%,32.74%,91.03%,335,33,150,73,72.69%
main_prob,high_sensitivity,0.24999999999999994,internal_oof_old_third,0.9043176057711055,51.44%,60.56%,60.30%,97.76%,23.37%,86,282,5,218,90.11%
avg_core_selected,high_sensitivity,0.20999999999999996,internal_oof_old_third,0.9101618249171378,49.58%,59.33%,59.73%,99.10%,19.57%,72,296,2,221,81.49%
selected_unified_prob,high_sensitivity,0.10999999999999999,internal_oof_old_third,0.8994287385455254,45.01%,55.75%,57.74%,99.55%,11.96%,44,324,1,222,72.69%
min_all6,high_sensitivity,0.075,internal_oof_old_third,0.8915470852017937,45.01%,55.58%,57.52%,98.65%,12.50%,46,322,3,220,78.86%
wholecrop_prob,high_sensitivity,0.08,internal_oof_old_third,0.887335737960616,42.47%,53.63%,56.52%,99.10%,8.15%,30,338,2,221,71.67%
selected_dinov3_prob,high_sensitivity,0.075,internal_oof_old_third,0.8859782608695652,39.59%,51.49%,55.54%,100.00%,2.99%,11,357,0,223,74.54%
stack_logreg_c03_multiview_subtype,balanced_accuracy,0.49999999999999994,strict_external_locked,1.0,97.22%,96.81%,96.70%,93.62%,100.00%,61,0,3,44,99.86%
stack_logreg_c03_multiview_subtype,accuracy,0.49999999999999994,strict_external_locked,1.0,97.22%,96.81%,96.70%,93.62%,100.00%,61,0,3,44,99.86%
stack_logreg_c03_multiview_subtype,high_sensitivity,0.49999999999999994,strict_external_locked,1.0,97.22%,96.81%,96.70%,93.62%,100.00%,61,0,3,44,99.86%
stack_gb_d2_multiview_subtype,balanced_accuracy,0.49999999999999994,strict_external_locked,1.0,96.30%,95.74%,95.56%,91.49%,100.00%,61,0,4,43,99.63%
stack_gb_d2_multiview_subtype,accuracy,0.49999999999999994,strict_external_locked,1.0,96.30%,95.74%,95.56%,91.49%,100.00%,61,0,4,43,99.63%
stack_gb_d2_multiview_subtype,high_sensitivity,0.49999999999999994,strict_external_locked,1.0,96.30%,95.74%,95.56%,91.49%,100.00%,61,0,4,43,99.63%
stack_extra_d3_multiview_subtype,balanced_accuracy,0.5149999999999999,strict_external_locked,0.9819287385455254,94.44%,94.11%,93.48%,91.49%,96.72%,59,2,4,43,97.77%
stack_extra_d3_multiview_subtype,accuracy,0.5149999999999999,strict_external_locked,0.9796954314720813,94.44%,94.11%,93.48%,91.49%,96.72%,59,2,4,43,97.77%
stack_extra_d3_multiview_subtype,high_sensitivity,0.37499999999999994,strict_external_locked,1.0,85.19%,86.40%,84.91%,95.74%,77.05%,47,14,2,45,97.77%
prob_mean_core,accuracy,0.605,strict_external_locked,0.8087986463620981,71.30%,70.44%,65.93%,63.83%,77.05%,47,14,17,30,67.32%
robust_prob,balanced_accuracy,0.57,strict_external_locked,0.8039213296938974,70.37%,70.11%,66.67%,68.09%,72.13%,44,17,15,32,66.86%
robust_prob,accuracy,0.57,strict_external_locked,0.8240270727580372,70.37%,70.11%,66.67%,68.09%,72.13%,44,17,15,32,66.86%
pure_auto_pred_as_prob,balanced_accuracy,0.49999999999999994,strict_external_locked,0.8445542503411971,70.37%,70.11%,66.67%,68.09%,72.13%,44,17,15,32,70.11%
pure_auto_pred_as_prob,accuracy,0.49999999999999994,strict_external_locked,0.8460236886632826,70.37%,70.11%,66.67%,68.09%,72.13%,44,17,15,32,70.11%
pure_auto_pred_as_prob,high_sensitivity,0.49999999999999994,strict_external_locked,0.8385650224215246,70.37%,70.11%,66.67%,68.09%,72.13%,44,17,15,32,70.11%
stack_gb_d2_multiview,balanced_accuracy,0.30999999999999994,strict_external_locked,0.870302446870735,67.59%,66.18%,59.77%,55.32%,77.05%,47,14,21,26,65.33%
stack_gb_d2_multiview,accuracy,0.36499999999999994,strict_external_locked,0.8764805414551607,67.59%,66.18%,59.77%,55.32%,77.05%,47,14,21,26,65.33%
avg_all6,accuracy,0.6,strict_external_locked,0.7952622673434856,67.59%,65.94%,58.82%,53.19%,78.69%,48,13,22,25,62.96%
median_all6,accuracy,0.575,strict_external_locked,0.8104906937394247,65.74%,64.79%,59.34%,57.45%,72.13%,44,17,20,27,64.32%
avg_main_core_whole,balanced_accuracy,0.5599999999999999,strict_external_locked,0.7935270033144862,65.74%,64.54%,58.43%,55.32%,73.77%,45,16,21,26,62.82%
stack_extra_d3_core,balanced_accuracy,0.5149999999999999,strict_external_locked,0.8560330961201014,65.74%,64.30%,57.47%,53.19%,75.41%,46,15,22,25,64.53%
stack_extra_d3_core,accuracy,0.5149999999999999,strict_external_locked,0.868020304568528,65.74%,64.30%,57.47%,53.19%,75.41%,46,15,22,25,64.53%
stack_gb_d2_core,balanced_accuracy,0.295,strict_external_locked,0.866634577890427,65.74%,63.81%,55.42%,48.94%,78.69%,48,13,24,23,65.28%
main_prob,balanced_accuracy,0.595,strict_external_locked,0.8632347923571846,64.81%,62.75%,53.66%,46.81%,78.69%,48,13,25,22,60.52%
main_prob,accuracy,0.595,strict_external_locked,0.8747884940778342,64.81%,62.75%,53.66%,46.81%,78.69%,48,13,25,22,60.52%
stack_gb_d2_core,accuracy,0.48999999999999994,strict_external_locked,0.871404399323181,63.89%,61.68%,51.85%,44.68%,78.69%,48,13,26,21,65.28%
median_all6,balanced_accuracy,0.5249999999999999,strict_external_locked,0.788774614934685,61.11%,61.42%,58.82%,63.83%,59.02%,36,25,17,30,64.32%
min_all6,accuracy,0.4649999999999999,strict_external_locked,0.7800338409475466,62.96%,61.35%,53.49%,48.94%,73.77%,45,16,24,23,58.95%
avg_main_core_whole,accuracy,0.63,strict_external_locked,0.8155668358714044,63.89%,61.20%,49.35%,40.43%,81.97%,50,11,28,19,62.82%
stack_extra_d3_multiview,balanced_accuracy,0.605,strict_external_locked,0.8556248781438877,62.96%,61.11%,52.38%,46.81%,75.41%,46,15,25,22,64.98%
stack_extra_d3_multiview,accuracy,0.605,strict_external_locked,0.8697123519458545,62.96%,61.11%,52.38%,46.81%,75.41%,46,15,25,22,64.98%
avg_core_selected,accuracy,0.6499999999999999,strict_external_locked,0.7648054145516074,62.96%,60.13%,47.37%,38.30%,81.97%,50,11,29,18,63.90%
selected_dinov3_prob,balanced_accuracy,0.49999999999999994,strict_external_locked,0.7003192630142328,57.41%,60.10%,62.30%,80.85%,39.34%,24,37,9,38,62.89%
min_all6,balanced_accuracy,0.4099999999999999,strict_external_locked,0.7357732988886723,61.11%,59.96%,53.33%,51.06%,68.85%,42,19,23,24,58.95%
stack_logreg_c03_core,high_sensitivity,0.16499999999999998,strict_external_locked,0.9058042503411972,57.41%,59.85%,61.67%,78.72%,40.98%,25,36,10,37,64.39%
avg_core_selected,balanced_accuracy,0.4599999999999999,strict_external_locked,0.7424449210372392,58.33%,59.70%,59.46%,70.21%,49.18%,30,31,14,33,63.90%
avg_all6,balanced_accuracy,0.4599999999999999,strict_external_locked,0.7730856404757263,58.33%,59.21%,57.94%,65.96%,52.46%,32,29,16,31,62.96%
selected_unified_prob,balanced_accuracy,0.5449999999999999,strict_external_locked,0.6685209105088712,59.26%,58.32%,52.17%,51.06%,65.57%,40,21,23,24,55.74%
stack_logreg_c03_multiview,balanced_accuracy,0.6599999999999999,strict_external_locked,0.8579340514720217,61.11%,58.25%,44.74%,36.17%,80.33%,49,12,30,17,56.68%
stack_logreg_c03_multiview,accuracy,0.6599999999999999,strict_external_locked,0.8747884940778342,61.11%,58.25%,44.74%,36.17%,80.33%,49,12,30,17,56.68%
max_all6,balanced_accuracy,0.715,strict_external_locked,0.808886966270228,58.33%,58.23%,54.55%,57.45%,59.02%,36,25,20,27,59.68%
selected_dinov3_prob,accuracy,0.58,strict_external_locked,0.7174280879864636,56.48%,58.06%,58.41%,70.21%,45.90%,28,33,14,33,62.89%
avg_all6,high_sensitivity,0.3,strict_external_locked,0.9280941704035874,53.70%,58.04%,63.24%,91.49%,24.59%,15,46,4,43,62.96%
stack_logreg_c03_core,balanced_accuracy,0.6599999999999999,strict_external_locked,0.8570505946578281,60.19%,57.19%,42.67%,34.04%,80.33%,49,12,31,16,64.39%
stack_logreg_c03_core,accuracy,0.6599999999999999,strict_external_locked,0.8747884940778342,60.19%,57.19%,42.67%,34.04%,80.33%,49,12,31,16,64.39%
wholecrop_prob,accuracy,0.7449999999999999,strict_external_locked,0.700507614213198,61.11%,57.03%,36.36%,25.53%,88.52%,54,7,35,12,59.26%
stack_extra_d3_core,high_sensitivity,0.20999999999999996,strict_external_locked,0.9227934295184247,51.85%,56.64%,62.86%,93.62%,19.67%,12,49,3,44,64.53%
