n,base_accuracy,base_balanced_accuracy,base_auc,stage1_accept_n,stage1_accept_rate,stage2_accept_n,stage2_accept_rate,reject_n,reject_rate,automated_n,automated_rate,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,stage1_n,stage1_accuracy,stage1_balanced_accuracy,stage1_f1,stage1_sensitivity_high,stage1_specificity_low,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage1_auc,stage2_n,stage2_accuracy,stage2_balanced_accuracy,stage2_f1,stage2_sensitivity_high,stage2_specificity_low,stage2_tn,stage2_fp,stage2_fn,stage2_tp,stage2_auc,automated_accuracy,automated_balanced_accuracy,automated_f1,automated_sensitivity_high,automated_specificity_low,automated_tn,automated_fp,automated_fn,automated_tp,automated_auc,system_if_reject_corrected_n,system_if_reject_corrected_accuracy,system_if_reject_corrected_balanced_accuracy,system_if_reject_corrected_f1,system_if_reject_corrected_sensitivity_high,system_if_reject_corrected_specificity_low,system_if_reject_corrected_tn,system_if_reject_corrected_fp,system_if_reject_corrected_fn,system_if_reject_corrected_tp,system_if_reject_corrected_auc,base_candidate,base_objective,target_accept_acc,gate,corrector,corrector_conf_min,include_quality,scope,fold_thresholds_json,external_base_threshold,external_base_selection_score
591,86.97%,86.36%,91.62%,533,90.19%,10,1.69%,48,8.12%,543,91.88%,0,0,0,0,0,0,533,89.68%,88.33%,0.8501362397820164,0.8387096774193549,0.9279538904899135,322,25,30,156,0.9213457903380744,10,60.00%,52.38%,0.7142857142857143,0.7142857142857143,0.3333333333333333,1,2,2,5,0.523809523809524,89.13%,87.85%,0.8451443569553806,0.8341968911917098,0.9228571428571428,323,27,32,161,0.9209104367135457,591,90.02%,89.16%,0.8662131519274376,0.8565022421524664,0.9266304347826086,341,27,32,191,0.9158644472606746,stack_gb_d2_multiview,balanced_accuracy,0.9,base_conf,corr_extra,0.65,True,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8734463276836159, ""threshold"": 0.605444109562813, ""train_accept_n"": 443, ""train_accept_acc"": 0.9006772009029346}, {""fold_id"": 2, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8740451487857712, ""threshold"": 0.6930920805503646, ""train_accept_n"": 427, ""train_accept_acc"": 0.9016393442622951}, {""fold_id"": 3, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8835176528712043, ""threshold"": 0.5527429651587554, ""train_accept_n"": 445, ""train_accept_acc"": 0.9011235955056179}, {""fold_id"": 4, ""base_threshold"": 0.36999999999999994, ""base_selection_score"": 0.8629954775206172, ""threshold"": 0.7184021359115279, ""train_accept_n"": 422, ""train_accept_acc"": 0.9004739336492891}, {""fold_id"": 5, ""base_threshold"": 0.32999999999999996, ""base_selection_score"": 0.8603313654541992, ""threshold"": 0.7656622065180473, ""train_accept_n"": 386, ""train_accept_acc"": 0.9015544041450777}]",,
591,86.97%,86.36%,91.62%,533,90.19%,11,1.86%,47,7.95%,544,92.05%,0,0,0,0,0,0,533,89.68%,88.33%,0.8501362397820164,0.8387096774193549,0.9279538904899135,322,25,30,156,0.9213457903380744,11,63.64%,58.33%,0.75,0.6666666666666666,0.5,1,1,3,6,0.3888888888888889,89.15%,87.81%,0.8459530026109661,0.8307692307692308,0.9255014326647565,323,26,33,162,0.9212181323929175,591,90.02%,89.07%,0.8656036446469249,0.852017937219731,0.9293478260869565,342,26,33,190,0.9163031292649639,stack_gb_d2_multiview,balanced_accuracy,0.9,base_conf,corr_extra,0.65,False,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8734463276836159, ""threshold"": 0.605444109562813, ""train_accept_n"": 443, ""train_accept_acc"": 0.9006772009029346}, {""fold_id"": 2, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8740451487857712, ""threshold"": 0.6930920805503646, ""train_accept_n"": 427, ""train_accept_acc"": 0.9016393442622951}, {""fold_id"": 3, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8835176528712043, ""threshold"": 0.5527429651587554, ""train_accept_n"": 445, ""train_accept_acc"": 0.9011235955056179}, {""fold_id"": 4, ""base_threshold"": 0.36999999999999994, ""base_selection_score"": 0.8629954775206172, ""threshold"": 0.7184021359115279, ""train_accept_n"": 422, ""train_accept_acc"": 0.9004739336492891}, {""fold_id"": 5, ""base_threshold"": 0.32999999999999996, ""base_selection_score"": 0.8603313654541992, ""threshold"": 0.7656622065180473, ""train_accept_n"": 386, ""train_accept_acc"": 0.9015544041450777}]",,
591,86.46%,86.22%,91.76%,534,90.36%,7,1.18%,50,8.46%,541,91.54%,0,0,0,0,0,0,534,89.14%,87.95%,0.8465608465608465,0.837696335078534,0.9212827988338192,316,27,31,160,0.92450353364981,7,57.14%,50.00%,0.7272727272727273,1.0,0.0,0,3,0,4,0.33333333333333337,88.72%,87.72%,0.8431876606683805,0.841025641025641,0.9132947976878613,316,30,31,164,0.9234029939232251,591,89.68%,88.97%,0.8629213483146068,0.8609865470852018,0.9184782608695652,338,30,31,192,0.9175643400272957,stack_gb_d2_core,balanced_accuracy,0.9,gate_logreg,corr_extra,0.65,False,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.295, ""base_selection_score"": 0.8751412429378531, ""threshold"": 0.14232257274579044, ""train_accept_n"": 450, ""train_accept_acc"": 0.9}, {""fold_id"": 2, ""base_threshold"": 0.295, ""base_selection_score"": 0.8717364040588302, ""threshold"": 0.20090204048808225, ""train_accept_n"": 431, ""train_accept_acc"": 0.9002320185614849}, {""fold_id"": 3, ""base_threshold"": 0.31999999999999995, ""base_selection_score"": 0.8762303804203245, ""threshold"": 0.16243813568549378, ""train_accept_n"": 445, ""train_accept_acc"": 0.9011235955056179}, {""fold_id"": 4, ""base_threshold"": 0.31999999999999995, ""base_selection_score"": 0.8544920761600729, ""threshold"": 0.2792328794485856, ""train_accept_n"": 422, ""train_accept_acc"": 0.9004739336492891}, {""fold_id"": 5, ""base_threshold"": 0.295, ""base_selection_score"": 0.8557798514568653, ""threshold"": 0.28121650150647237, ""train_accept_n"": 414, ""train_accept_acc"": 0.9009661835748792}]",,
591,86.46%,86.22%,91.76%,534,90.36%,7,1.18%,50,8.46%,541,91.54%,0,0,0,0,0,0,534,89.14%,87.95%,0.8465608465608465,0.837696335078534,0.9212827988338192,316,27,31,160,0.92450353364981,7,57.14%,50.00%,0.7272727272727273,1.0,0.0,0,3,0,4,0.33333333333333337,88.72%,87.72%,0.8431876606683805,0.841025641025641,0.9132947976878613,316,30,31,164,0.923373351119016,591,89.68%,88.97%,0.8629213483146068,0.8609865470852018,0.9184782608695652,338,30,31,192,0.9175399688048352,stack_gb_d2_core,balanced_accuracy,0.9,gate_logreg,corr_extra,0.65,True,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.295, ""base_selection_score"": 0.8751412429378531, ""threshold"": 0.14232257274579968, ""train_accept_n"": 450, ""train_accept_acc"": 0.9}, {""fold_id"": 2, ""base_threshold"": 0.295, ""base_selection_score"": 0.8717364040588302, ""threshold"": 0.20090204049009647, ""train_accept_n"": 431, ""train_accept_acc"": 0.9002320185614849}, {""fold_id"": 3, ""base_threshold"": 0.31999999999999995, ""base_selection_score"": 0.8762303804203245, ""threshold"": 0.16243813568727486, ""train_accept_n"": 445, ""train_accept_acc"": 0.9011235955056179}, {""fold_id"": 4, ""base_threshold"": 0.31999999999999995, ""base_selection_score"": 0.8544920761600729, ""threshold"": 0.27923287944863784, ""train_accept_n"": 422, ""train_accept_acc"": 0.9004739336492891}, {""fold_id"": 5, ""base_threshold"": 0.295, ""base_selection_score"": 0.8557798514568653, ""threshold"": 0.28121650150647265, ""train_accept_n"": 414, ""train_accept_acc"": 0.9009661835748792}]",,
591,86.46%,86.22%,91.76%,531,89.85%,13,2.20%,47,7.95%,544,92.05%,0,0,0,0,0,0,531,89.64%,88.17%,0.8509485094850948,0.8306878306878307,0.9327485380116959,319,23,32,157,0.924788823911631,13,46.15%,50.00%,0.631578947368421,1.0,0.0,0,7,0,6,0.6666666666666666,88.60%,87.50%,0.8402061855670103,0.8358974358974359,0.9140401146131805,319,30,32,163,0.9229667180956581,591,89.51%,88.75%,0.8603603603603603,0.8565022421524664,0.9184782608695652,338,30,32,191,0.9168941314096315,stack_gb_d2_core,balanced_accuracy,0.9,base_conf,corr_extra,0.65,False,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.295, ""base_selection_score"": 0.8751412429378531, ""threshold"": 0.5876899449650225, ""train_accept_n"": 441, ""train_accept_acc"": 0.9002267573696145}, {""fold_id"": 2, ""base_threshold"": 0.295, ""base_selection_score"": 0.8717364040588302, ""threshold"": 0.6340620956811324, ""train_accept_n"": 436, ""train_accept_acc"": 0.9013761467889908}, {""fold_id"": 3, ""base_threshold"": 0.31999999999999995, ""base_selection_score"": 0.8762303804203245, ""threshold"": 0.6153679725122926, ""train_accept_n"": 437, ""train_accept_acc"": 0.9016018306636155}, {""fold_id"": 4, ""base_threshold"": 0.31999999999999995, ""base_selection_score"": 0.8544920761600729, ""threshold"": 0.7221596110990793, ""train_accept_n"": 413, ""train_accept_acc"": 0.9007263922518159}, {""fold_id"": 5, ""base_threshold"": 0.295, ""base_selection_score"": 0.8557798514568653, ""threshold"": 0.7221596110990793, ""train_accept_n"": 407, ""train_accept_acc"": 0.9017199017199017}]",,
591,86.46%,86.22%,91.76%,531,89.85%,13,2.20%,47,7.95%,544,92.05%,0,0,0,0,0,0,531,89.64%,88.17%,0.8509485094850948,0.8306878306878307,0.9327485380116959,319,23,32,157,0.924788823911631,13,46.15%,50.00%,0.631578947368421,1.0,0.0,0,7,0,6,0.5952380952380952,88.60%,87.50%,0.8402061855670103,0.8358974358974359,0.9140401146131805,319,30,32,163,0.9229520240981559,591,89.51%,88.75%,0.8603603603603603,0.8565022421524664,0.9184782608695652,338,30,32,191,0.9169550594657828,stack_gb_d2_core,balanced_accuracy,0.9,base_conf,corr_extra,0.65,True,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.295, ""base_selection_score"": 0.8751412429378531, ""threshold"": 0.5876899449650225, ""train_accept_n"": 441, ""train_accept_acc"": 0.9002267573696145}, {""fold_id"": 2, ""base_threshold"": 0.295, ""base_selection_score"": 0.8717364040588302, ""threshold"": 0.6340620956811324, ""train_accept_n"": 436, ""train_accept_acc"": 0.9013761467889908}, {""fold_id"": 3, ""base_threshold"": 0.31999999999999995, ""base_selection_score"": 0.8762303804203245, ""threshold"": 0.6153679725122926, ""train_accept_n"": 437, ""train_accept_acc"": 0.9016018306636155}, {""fold_id"": 4, ""base_threshold"": 0.31999999999999995, ""base_selection_score"": 0.8544920761600729, ""threshold"": 0.7221596110990793, ""train_accept_n"": 413, ""train_accept_acc"": 0.9007263922518159}, {""fold_id"": 5, ""base_threshold"": 0.295, ""base_selection_score"": 0.8557798514568653, ""threshold"": 0.7221596110990793, ""train_accept_n"": 407, ""train_accept_acc"": 0.9017199017199017}]",,
591,86.63%,85.38%,90.37%,453,76.65%,75,12.69%,63,10.66%,528,89.34%,0,1,0,0,1,0,453,89.62%,88.86%,0.8676056338028169,0.850828729281768,0.9264705882352942,252,20,27,154,0.92811585960351,75,82.67%,78.00%,0.7111111111111111,0.64,0.92,46,4,9,16,0.7864,88.64%,87.54%,0.85,0.8252427184466019,0.9254658385093167,298,24,36,170,0.9147922571307966,591,89.85%,88.67%,0.8617511520737328,0.8385650224215246,0.9347826086956522,344,24,36,187,0.90319750438682,stack_extra_d3_core,balanced_accuracy,0.9,base_conf,corr_extra,0.65,False,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.5149999999999999, ""base_selection_score"": 0.8632768361581921, ""threshold"": 0.6062030090050835, ""train_accept_n"": 421, ""train_accept_acc"": 0.9002375296912114}, {""fold_id"": 2, ""base_threshold"": 0.5149999999999999, ""base_selection_score"": 0.856800820887014, ""threshold"": 0.6617419996926284, ""train_accept_n"": 354, ""train_accept_acc"": 0.9011299435028248}, {""fold_id"": 3, ""base_threshold"": 0.5149999999999999, ""base_selection_score"": 0.8640880933378938, ""threshold"": 0.6056020703142276, ""train_accept_n"": 421, ""train_accept_acc"": 0.9002375296912114}, {""fold_id"": 4, ""base_threshold"": 0.5149999999999999, ""base_selection_score"": 0.8507296773457986, ""threshold"": 0.6811422831630728, ""train_accept_n"": 343, ""train_accept_acc"": 0.9008746355685131}, {""fold_id"": 5, ""base_threshold"": 0.5199999999999999, ""base_selection_score"": 0.8469148733574557, ""threshold"": 0.6975802395763828, ""train_accept_n"": 321, ""train_accept_acc"": 0.9003115264797508}]",,
591,86.63%,85.38%,90.37%,453,76.65%,76,12.86%,62,10.49%,529,89.51%,0,1,0,0,1,0,453,89.62%,88.86%,0.8676056338028169,0.850828729281768,0.9264705882352942,252,20,27,154,0.92811585960351,76,81.58%,75.72%,0.6666666666666666,0.6086956521739131,0.9056603773584906,48,5,9,14,0.7891714520098442,88.47%,87.33%,0.8463476070528967,0.8235294117647058,0.9230769230769231,300,25,36,168,0.914449472096531,591,89.68%,88.53%,0.8597701149425288,0.8385650224215246,0.9320652173913043,343,25,36,187,0.9036361863911093,stack_extra_d3_core,balanced_accuracy,0.9,base_conf,corr_extra,0.65,True,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.5149999999999999, ""base_selection_score"": 0.8632768361581921, ""threshold"": 0.6062030090050835, ""train_accept_n"": 421, ""train_accept_acc"": 0.9002375296912114}, {""fold_id"": 2, ""base_threshold"": 0.5149999999999999, ""base_selection_score"": 0.856800820887014, ""threshold"": 0.6617419996926284, ""train_accept_n"": 354, ""train_accept_acc"": 0.9011299435028248}, {""fold_id"": 3, ""base_threshold"": 0.5149999999999999, ""base_selection_score"": 0.8640880933378938, ""threshold"": 0.6056020703142276, ""train_accept_n"": 421, ""train_accept_acc"": 0.9002375296912114}, {""fold_id"": 4, ""base_threshold"": 0.5149999999999999, ""base_selection_score"": 0.8507296773457986, ""threshold"": 0.6811422831630728, ""train_accept_n"": 343, ""train_accept_acc"": 0.9008746355685131}, {""fold_id"": 5, ""base_threshold"": 0.5199999999999999, ""base_selection_score"": 0.8469148733574557, ""threshold"": 0.6975802395763828, ""train_accept_n"": 321, ""train_accept_acc"": 0.9003115264797508}]",,
591,86.97%,86.36%,91.62%,542,91.71%,14,2.37%,35,5.92%,556,94.08%,0,0,0,0,0,0,542,88.93%,87.63%,0.8412698412698413,0.8324607329842932,0.9202279202279202,323,28,32,159,0.9210632299637536,14,64.29%,50.00%,0.782608695652174,1.0,0.0,0,5,0,9,0.15555555555555556,88.31%,87.37%,0.8379052369077307,0.84,0.9073033707865169,323,33,32,168,0.9194803370786517,591,89.00%,88.34%,0.854586129753915,0.8565022421524664,0.9103260869565217,335,33,32,191,0.9156390134529149,stack_gb_d2_multiview,balanced_accuracy,0.9,gate_logreg,corr_extra,0.65,False,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8734463276836159, ""threshold"": 0.16503591456574382, ""train_accept_n"": 446, ""train_accept_acc"": 0.9013452914798207}, {""fold_id"": 2, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8740451487857712, ""threshold"": 0.19537307267536944, ""train_accept_n"": 434, ""train_accept_acc"": 0.9009216589861752}, {""fold_id"": 3, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8835176528712043, ""threshold"": 0.17568882201725378, ""train_accept_n"": 445, ""train_accept_acc"": 0.9011235955056179}, {""fold_id"": 4, ""base_threshold"": 0.36999999999999994, ""base_selection_score"": 0.8629954775206172, ""threshold"": 0.25520458318765876, ""train_accept_n"": 423, ""train_accept_acc"": 0.900709219858156}, {""fold_id"": 5, ""base_threshold"": 0.32999999999999996, ""base_selection_score"": 0.8603313654541992, ""threshold"": 0.26889723361177953, ""train_accept_n"": 414, ""train_accept_acc"": 0.9009661835748792}]",,
591,86.97%,86.36%,91.62%,542,91.71%,13,2.20%,36,6.09%,555,93.91%,0,0,0,0,0,0,542,88.93%,87.63%,0.8412698412698413,0.8324607329842932,0.9202279202279202,323,28,32,159,0.9210632299637536,13,61.54%,50.00%,0.7619047619047619,1.0,0.0,0,5,0,8,0.125,88.29%,87.32%,0.8370927318295739,0.8391959798994975,0.9073033707865169,323,33,32,167,0.9193439105640562,591,89.00%,88.34%,0.854586129753915,0.8565022421524664,0.9103260869565217,335,33,32,191,0.915456229284461,stack_gb_d2_multiview,balanced_accuracy,0.9,gate_logreg,corr_extra,0.65,True,internal_nested_old_third,"[{""fold_id"": 1, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8734463276836159, ""threshold"": 0.1650359145657436, ""train_accept_n"": 446, ""train_accept_acc"": 0.9013452914798207}, {""fold_id"": 2, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8740451487857712, ""threshold"": 0.19537307267536877, ""train_accept_n"": 434, ""train_accept_acc"": 0.9009216589861752}, {""fold_id"": 3, ""base_threshold"": 0.30999999999999994, ""base_selection_score"": 0.8835176528712043, ""threshold"": 0.1756888220172742, ""train_accept_n"": 445, ""train_accept_acc"": 0.9011235955056179}, {""fold_id"": 4, ""base_threshold"": 0.36999999999999994, ""base_selection_score"": 0.8629954775206172, ""threshold"": 0.2552045831875901, ""train_accept_n"": 423, ""train_accept_acc"": 0.900709219858156}, {""fold_id"": 5, ""base_threshold"": 0.32999999999999996, ""base_selection_score"": 0.8603313654541992, ""threshold"": 0.2688972336117609, ""train_accept_n"": 414, ""train_accept_acc"": 0.9009661835748792}]",,
