n,base_accuracy,base_balanced_accuracy,base_auc,auto_n,auto_rate,review_n,review_rate,fp_flip_n,fn_review_n,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp,auto_auc,system_if_review_corrected_n,system_if_review_corrected_accuracy,system_if_review_corrected_balanced_accuracy,system_if_review_corrected_f1,system_if_review_corrected_sensitivity_high,system_if_review_corrected_specificity_low,system_if_review_corrected_tn,system_if_review_corrected_fp,system_if_review_corrected_fn,system_if_review_corrected_tp,system_if_review_corrected_auc,base_candidate,base_threshold,base_selection_score,fn_signal,fn_threshold,fp_low_signal,fp_threshold,scope
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,10,79,10,0,0,10,0,0,89.26%,88.87%,0.8541114058355438,0.875,0.9024390243902439,296,32,23,161,0.9185942470837752,591,90.69%,90.50%,0.8791208791208791,0.8968609865470852,0.9130434782608695,336,32,23,200,0.8847972314291286,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.1290604217046331,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,6,79,6,0,0,6,0,0,88.48%,88.26%,0.8451443569553806,0.875,0.8902439024390244,292,36,23,161,0.915363202545069,591,90.02%,89.95%,0.8714596949891068,0.8968609865470852,0.9021739130434783,332,36,23,200,0.8805322674985377,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.09606984729921865,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,4,79,4,0,0,4,0,0,88.09%,87.96%,0.8407310704960835,0.875,0.8841463414634146,290,38,23,161,0.9140707847295865,591,89.68%,89.68%,0.8676789587852495,0.8968609865470852,0.8967391304347826,330,38,23,200,0.8786313121466174,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.0774945269633817,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,2,79,2,0,0,2,0,0,87.70%,87.65%,0.8363636363636363,0.875,0.8780487804878049,288,40,23,161,0.9125629639448568,591,89.34%,89.41%,0.8639308855291576,0.8968609865470852,0.8913043478260869,328,40,23,200,0.8765719438487034,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.0601600491975303,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,481,81.39%,110,18.61%,0,110,0,0,0,0,0,0,86.69%,86.95%,0.8558558558558559,0.892018779342723,0.8470149253731343,227,41,23,190,0.9200038539695888,591,89.17%,89.27%,0.8620689655172413,0.8968609865470852,0.8885869565217391,327,41,23,200,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.49869798636480445,stack_gb_d2_multiview,0.0489054291630551,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,481,81.39%,110,18.61%,0,110,0,0,0,0,0,0,86.69%,86.95%,0.8558558558558559,0.892018779342723,0.8470149253731343,227,41,23,190,0.9200038539695888,591,89.17%,89.27%,0.8620689655172413,0.8968609865470852,0.8885869565217391,327,41,23,200,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.49869798636480445,stack_gb_d2_multiview,0.0601600491975303,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,481,81.39%,110,18.61%,0,110,0,0,0,0,0,0,86.69%,86.95%,0.8558558558558559,0.892018779342723,0.8470149253731343,227,41,23,190,0.9200038539695888,591,89.17%,89.27%,0.8620689655172413,0.8968609865470852,0.8885869565217391,327,41,23,200,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.49869798636480445,stack_gb_d2_multiview,0.0774945269633817,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,481,81.39%,110,18.61%,0,110,0,0,0,0,0,0,86.69%,86.95%,0.8558558558558559,0.892018779342723,0.8470149253731343,227,41,23,190,0.9200038539695888,591,89.17%,89.27%,0.8620689655172413,0.8968609865470852,0.8885869565217391,327,41,23,200,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.49869798636480445,stack_gb_d2_multiview,0.09606984729921865,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,481,81.39%,110,18.61%,0,110,0,0,0,0,0,0,86.69%,86.95%,0.8558558558558559,0.892018779342723,0.8470149253731343,227,41,23,190,0.9200038539695888,591,89.17%,89.27%,0.8620689655172413,0.8968609865470852,0.8885869565217391,327,41,23,200,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.49869798636480445,stack_gb_d2_multiview,0.1290604217046331,internal_old_third_rule_selected
591,82.40%,80.39%,87.48%,512,86.63%,79,13.37%,0,79,0,0,0,0,0,0,87.30%,87.35%,0.8320413436692506,0.875,0.8719512195121951,286,42,23,161,0.91141967126193,591,89.00%,89.14%,0.8602150537634409,0.8968609865470852,0.8858695652173914,326,42,23,200,0.8747806589978553,robust_prob,0.57,0.8039213296938974,stack_gb_d2_multiview,0.22377677631433102,prob_mean_core,0.1159437982541614,internal_old_third_rule_selected
