base_model,target,feature_set,router_model,positive_n,positive_rate,auroc,average_precision
image_probs_only_extra_d3,any_error,image_prob_augmented,logreg_c03_directional,78,0.13242784380305603,0.7004616388178032,0.3092391680573841
image_probs_only_extra_d3,any_error,heuristic,heuristic_low_conf_any,78,0.13242784380305603,0.6968488132871694,0.27521852823636184
image_probs_only_extra_d3,any_error,heuristic,heuristic_direction,78,0.13242784380305603,0.6968488132871694,0.27521852823636184
image_probs_only_extra_d3,any_error,image_prob_augmented,logreg_c03,78,0.13242784380305603,0.6967986351547996,0.31957079376462905
image_probs_only_extra_d3,any_error,confidence_only,logreg_c03_directional,78,0.13242784380305603,0.6951427567865924,0.2910170022804443
image_probs_only_extra_d3,any_error,fusion_concept_augmented,extra_d3_directional,78,0.13242784380305603,0.6943900848010436,0.25822689783662245
image_probs_only_extra_d3,any_error,fusion_concept_augmented,extra_d3,78,0.13242784380305603,0.6924833157709871,0.3049367591114636
image_probs_only_extra_d3,any_error,confidence_only,logreg_c03,78,0.13242784380305603,0.6903256560790808,0.2989308432453521
image_probs_only_extra_d3,any_error,image_prob_augmented,extra_d3_directional,78,0.13242784380305603,0.6890084801043705,0.29712821646901755
image_probs_only_extra_d3,any_error,concept_augmented,extra_d3_directional,78,0.13242784380305603,0.6853329319082743,0.28838688002391166
image_probs_only_extra_d3,any_error,confidence_only,extra_d3_directional,78,0.13242784380305603,0.6842917356615987,0.274943566571452
image_probs_only_extra_d3,any_error,image_concept_augmented,extra_d3_directional,78,0.13242784380305603,0.6838526770033619,0.27826273329714574
image_probs_only_extra_d3,any_error,confidence_only,extra_d3,78,0.13242784380305603,0.6785965176376135,0.2810684954837974
image_probs_only_extra_d3,any_error,image_prob_augmented,extra_d3,78,0.13242784380305603,0.6781072808470069,0.29146308774840723
image_probs_only_extra_d3,any_error,image_concept_augmented,extra_d3,78,0.13242784380305603,0.6744944553163731,0.3105790183508881
image_probs_only_extra_d3,any_error,fusion_concept_augmented,logreg_c03_directional,78,0.13242784380305603,0.6705805609915199,0.24146968336210667
image_probs_only_extra_d3,any_error,concept_augmented,extra_d3,78,0.13242784380305603,0.660695468914647,0.28826380687198516
image_probs_only_extra_d3,any_error,image_concept_augmented,logreg_c03_directional,78,0.13242784380305603,0.6303126097646646,0.21481193154609302
image_probs_only_extra_d3,any_error,concept_augmented,logreg_c03_directional,78,0.13242784380305603,0.6235887400270962,0.2168355667808649
image_probs_only_extra_d3,any_error,fusion_concept_augmented,logreg_c03,78,0.13242784380305603,0.5652566611470722,0.18379211379883414
image_probs_only_extra_d3,any_error,image_concept_augmented,logreg_c03,78,0.13242784380305603,0.5594109087259772,0.17825222707895794
image_probs_only_extra_d3,any_error,concept_augmented,logreg_c03,78,0.13242784380305603,0.553163731245923,0.1745644961931363
image_probs_only_extra_d3,fn_error,fusion_concept_augmented,logreg_c03,39,0.06621392190152801,0.7732867132867134,0.15030592662978542
image_probs_only_extra_d3,fn_error,image_prob_augmented,logreg_c03,39,0.06621392190152801,0.7727738927738927,0.22790432643954772
image_probs_only_extra_d3,fn_error,confidence_only,logreg_c03,39,0.06621392190152801,0.770955710955711,0.17140601273867995
image_probs_only_extra_d3,fn_error,image_prob_augmented,extra_d3,39,0.06621392190152801,0.7596503496503496,0.17114837651075163
image_probs_only_extra_d3,fn_error,confidence_only,extra_d3,39,0.06621392190152801,0.7568764568764568,0.15732879215505796
image_probs_only_extra_d3,fn_error,concept_augmented,extra_d3,39,0.06621392190152801,0.753986013986014,0.16845271766804215
image_probs_only_extra_d3,fn_error,fusion_concept_augmented,extra_d3,39,0.06621392190152801,0.7399067599067599,0.13083386131571492
image_probs_only_extra_d3,fn_error,image_concept_augmented,logreg_c03,39,0.06621392190152801,0.7312820512820513,0.12968582001537338
image_probs_only_extra_d3,fn_error,image_concept_augmented,extra_d3,39,0.06621392190152801,0.7298368298368298,0.1434959130539036
image_probs_only_extra_d3,fn_error,concept_augmented,logreg_c03,39,0.06621392190152801,0.7257342657342657,0.1265105523408263
image_probs_only_extra_d3,fp_error,image_concept_augmented,extra_d3,39,0.06621392190152801,0.9243356643356643,0.39402270071991724
image_probs_only_extra_d3,fp_error,concept_augmented,extra_d3,39,0.06621392190152801,0.9242424242424242,0.41943294513129403
image_probs_only_extra_d3,fp_error,fusion_concept_augmented,extra_d3,39,0.06621392190152801,0.9220979020979022,0.33724054355406535
image_probs_only_extra_d3,fp_error,image_prob_augmented,logreg_c03,39,0.06621392190152801,0.9191142191142191,0.3880408093979856
image_probs_only_extra_d3,fp_error,confidence_only,logreg_c03,39,0.06621392190152801,0.9176223776223777,0.3728769200291243
image_probs_only_extra_d3,fp_error,image_prob_augmented,extra_d3,39,0.06621392190152801,0.9174358974358974,0.3955398362934933
image_probs_only_extra_d3,fp_error,confidence_only,extra_d3,39,0.06621392190152801,0.9164335664335664,0.35961258233481747
image_probs_only_extra_d3,fp_error,fusion_concept_augmented,logreg_c03,39,0.06621392190152801,0.8671794871794872,0.31503398397706905
image_probs_only_extra_d3,fp_error,image_concept_augmented,logreg_c03,39,0.06621392190152801,0.8496969696969697,0.2958437912273403
image_probs_only_extra_d3,fp_error,concept_augmented,logreg_c03,39,0.06621392190152801,0.8413053613053614,0.2988999662539283
