scope,base_model,target,router,positive_n,positive_rate,auroc,average_precision
internal_oof,prob_mean_core,any_error,heuristic_low_conf,126,0.2131979695431472,0.7325311486601809,0.3614160954587525
internal_oof,prob_mean_core,any_error,pca64_logreg_c03,126,0.2131979695431472,0.5841781874039939,0.2549095435156712
internal_oof,prob_mean_core,any_error,extra_d3,126,0.2131979695431472,0.5679638163509131,0.25287171321017565
internal_oof,prob_mean_core,any_error,extra_d3:directional,126,0.2131979695431472,0.5275814985492404,0.21915102497690758
internal_oof,prob_mean_core,any_error,pca64_logreg_c03:directional,126,0.2131979695431472,0.5098822324628777,0.21008400019233214
internal_oof,prob_mean_core,fn_error,extra_d3,49,0.0829103214890017,0.5863016793433241,0.11815891460400547
internal_oof,prob_mean_core,fn_error,pca64_logreg_c03,49,0.0829103214890017,0.5503426462836056,0.09741394350719797
internal_oof,prob_mean_core,fp_error,extra_d3,77,0.13028764805414553,0.6056900298145435,0.17566773036239253
internal_oof,prob_mean_core,fp_error,pca64_logreg_c03,77,0.13028764805414553,0.588079235939158,0.1665735097535706
internal_oof,robust_prob,any_error,heuristic_low_conf,104,0.17597292724196278,0.7082017058916443,0.29270553188289977
internal_oof,robust_prob,any_error,pca64_logreg_c03,104,0.17597292724196278,0.6042291897014689,0.23535145313704922
internal_oof,robust_prob,any_error,extra_d3,104,0.17597292724196278,0.5677025746327594,0.20572180381508468
internal_oof,robust_prob,any_error,pca64_logreg_c03:directional,104,0.17597292724196278,0.501994155741589,0.18274271802580425
internal_oof,robust_prob,any_error,extra_d3:directional,104,0.17597292724196278,0.4957747591217817,0.1885153360010819
internal_oof,robust_prob,fn_error,pca64_logreg_c03,62,0.10490693739424704,0.5513750838465761,0.12955482751410363
internal_oof,robust_prob,fn_error,extra_d3,62,0.10490693739424704,0.5408561497652297,0.14384704425531608
internal_oof,robust_prob,fp_error,pca64_logreg_c03,42,0.07106598984771574,0.6001387804666493,0.10506722927697654
internal_oof,robust_prob,fp_error,extra_d3,42,0.07106598984771574,0.5826611154480007,0.11426653918756287
strict_external_locked,prob_mean_core,any_error,heuristic_low_conf,51,0.4857142857142857,0.7331154684095861,0.7661580586385943
strict_external_locked,prob_mean_core,any_error,pca64_logreg_c03,51,0.4857142857142857,0.6023965141612201,0.5607372381423322
strict_external_locked,prob_mean_core,any_error,extra_d3,51,0.4857142857142857,0.5878721859114016,0.5576507249108066
strict_external_locked,prob_mean_core,any_error,pca64_logreg_c03:directional,51,0.4857142857142857,0.5806100217864925,0.5207985099493528
strict_external_locked,prob_mean_core,any_error,extra_d3:directional,51,0.4857142857142857,0.5635439360929557,0.5329820644027506
strict_external_locked,prob_mean_core,fn_error,pca64_logreg_c03,14,0.13333333333333333,0.6711145996860283,0.23537191178348085
strict_external_locked,prob_mean_core,fn_error,extra_d3,14,0.13333333333333333,0.6695447409733124,0.23601469667226732
strict_external_locked,prob_mean_core,fp_error,extra_d3,37,0.3523809523809524,0.6434817170111288,0.45203757865576866
strict_external_locked,prob_mean_core,fp_error,pca64_logreg_c03,37,0.3523809523809524,0.6085055643879174,0.44243855253951214
strict_external_locked,robust_prob,any_error,pca64_logreg_c03:directional,32,0.3047619047619048,0.6113013698630138,0.4312189084372985
strict_external_locked,robust_prob,any_error,extra_d3:directional,32,0.3047619047619048,0.5834760273972603,0.36720420191083175
strict_external_locked,robust_prob,any_error,pca64_logreg_c03,32,0.3047619047619048,0.5543664383561644,0.3402539154801953
strict_external_locked,robust_prob,any_error,extra_d3,32,0.3047619047619048,0.5205479452054795,0.3130434842486116
strict_external_locked,robust_prob,any_error,heuristic_low_conf,32,0.3047619047619048,0.4285102739726028,0.2644302896026282
strict_external_locked,robust_prob,fn_error,extra_d3,15,0.14285714285714285,0.66,0.23385984230193163
strict_external_locked,robust_prob,fn_error,pca64_logreg_c03,15,0.14285714285714285,0.6,0.18982900864999547
strict_external_locked,robust_prob,fp_error,pca64_logreg_c03,17,0.1619047619047619,0.6958556149732621,0.32564386985876187
strict_external_locked,robust_prob,fp_error,extra_d3,17,0.1619047619047619,0.6804812834224598,0.3202730991812081
