policy,eval_domain,review_budget,selected_base_model,selected_router,review_n,review_rate,auto_n,auto_rate,captured_errors,total_base_errors,error_capture_rate,review_clean_n,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp,auto_auc,system_n,system_accuracy,system_balanced_accuracy,system_f1,system_sensitivity_high,system_specificity_low,system_tn,system_fp,system_fn,system_tp,system_auc
dev_stable_router_all_domains,all_three_domains,0.0,domain_specific,domain_specific,0,0.0,696,1.0,0,136,0.0,0,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182
shift_aware_image_directional_candidate,all_three_domains,0.0,domain_specific,domain_specific,0,0.0,696,1.0,0,136,0.0,0,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182
shift_aware_concept_directional_candidate,all_three_domains,0.0,domain_specific,domain_specific,0,0.0,696,1.0,0,155,0.0,0,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483
shift_aware_rank_fusion_candidate,all_three_domains,0.0,domain_specific,domain_specific,0,0.0,696,1.0,0,155,0.0,0,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483
baseline_low_conf_dev_selected,all_three_domains,0.0,domain_specific,domain_specific,0,0.0,696,1.0,0,177,0.0,0,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786
dev_stable_router_all_domains,old_data,0.0,robust_prob,single:v143_pca_any,0,0.0,285,1.0,0,45,0.0,0,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.0,robust_prob,single:v143_pca_any,0,0.0,285,1.0,0,45,0.0,0,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.0,robust_prob,single:v143_pca_any,0,0.0,285,1.0,0,45,0.0,0,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727
shift_aware_rank_fusion_candidate,old_data,0.0,robust_prob,single:v143_pca_any,0,0.0,285,1.0,0,45,0.0,0,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727
baseline_low_conf_dev_selected,old_data,0.0,prob_mean_core,single:low_conf,0,0.0,285,1.0,0,61,0.0,0,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348
