policy,eval_domain,flip_budget,n,flip_n,flip_rate,base_errors,flip_errors,net_errors_reduced,rescued_by_flip,hurt_by_flip,rescued_fn_by_flip,rescued_fp_by_flip,hurt_to_fn_by_flip,hurt_to_fp_by_flip,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,auto_flip_n,auto_flip_accuracy,auto_flip_balanced_accuracy,auto_flip_f1,auto_flip_sensitivity_high,auto_flip_specificity_low,auto_flip_tn,auto_flip_fp,auto_flip_fn,auto_flip_tp,auto_flip_auc
dev_stable_router_all_domains,all_three_domains,0.0,696,0,0.0,136,136,0,0,0,0,0,0,0,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182
shift_aware_image_directional_candidate,all_three_domains,0.0,696,0,0.0,136,136,0,0,0,0,0,0,0,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182
shift_aware_concept_directional_candidate,all_three_domains,0.0,696,0,0.0,155,155,0,0,0,0,0,0,0,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483
baseline_low_conf_dev_selected,all_three_domains,0.0,696,0,0.0,177,177,0,0,0,0,0,0,0,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786
baseline_low_conf_dev_selected,all_three_domains,0.1,696,69,0.09913793103448276,177,182,-5,32,37,9,23,13,24,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7385057471264368,0.7409494001043297,0.6904761904761905,0.7518518518518519,0.7300469483568075,311,115,67,203,0.8353069031472786
dev_stable_router_all_domains,all_three_domains,0.1,696,69,0.09913793103448276,136,169,-33,18,51,8,10,22,29,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.757183908045977,0.7399321857068336,0.6793168880455408,0.662962962962963,0.8169014084507042,348,78,91,179,0.8477743001217182
shift_aware_image_directional_candidate,all_three_domains,0.1,696,69,0.09913793103448276,136,169,-33,18,51,8,10,26,25,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.757183908045977,0.7372196139801774,0.674373795761079,0.6481481481481481,0.8262910798122066,352,74,95,175,0.8477743001217182
shift_aware_concept_directional_candidate,all_three_domains,0.1,696,69,0.09913793103448276,155,176,-21,24,45,8,16,20,25,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.7471264367816092,0.7337506520605113,0.674074074074074,0.674074074074074,0.7934272300469484,338,88,88,182,0.8481481481481483
baseline_low_conf_dev_selected,all_three_domains,0.2,696,139,0.1997126436781609,177,178,-1,69,70,23,46,22,48,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7442528735632183,0.7490349504434011,0.7003367003367004,0.7703703703703704,0.7276995305164319,310,116,62,208,0.8353069031472786
shift_aware_concept_directional_candidate,all_three_domains,0.2,696,139,0.1997126436781609,155,198,-43,48,91,19,29,38,53,696,0.7772988505747126,0.7665362545644236,0.714548802946593,0.7185185185185186,0.8145539906103286,347,79,76,194,0.8481481481481483,696,0.7155172413793104,0.7031820552947313,0.6386861313868614,0.6481481481481481,0.7582159624413145,323,103,95,175,0.8481481481481483
