scenario,eval_domain,n,flip_n,flip_rate,base_errors,final_errors,net_errors_reduced,rescued_n,hurt_n,rescued_fn,rescued_fp,hurt_to_fn,hurt_to_fp,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,final_n,final_accuracy,final_balanced_accuracy,final_f1,final_sensitivity_high,final_specificity_low,final_tn,final_fp,final_fn,final_tp,final_auc,delta_bacc
base_no_autocorrect,old_data,285,0,0.0,61,61,0,0,0,0,0,0,0,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,0.0
base_no_autocorrect,third_batch,306,0,0.0,65,65,0,0,0,0,0,0,0,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,0.0
base_no_autocorrect,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,0.0
base_no_autocorrect,all_three_domains,696,0,0.0,177,177,0,0,0,0,0,0,0,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,0.0
current_unlabeled_gate_only_severe_shift,old_data,285,0,0.0,61,61,0,0,0,0,0,0,0,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,0.0
current_unlabeled_gate_only_severe_shift,third_batch,306,0,0.0,65,65,0,0,0,0,0,0,0,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,0.0
current_unlabeled_gate_only_severe_shift,strict_external,105,35,0.3333333333333333,51,24,27,31,4,6,25,3,1,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.7714285714285715,0.7709097578870139,0.75,0.7659574468085106,0.7758620689655172,45,13,11,36,0.6661775495231108,0.23881144534115917
current_unlabeled_gate_only_severe_shift,all_three_domains,696,35,0.05028735632183908,177,150,27,31,4,6,25,3,1,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7844827586206896,0.7832550860719875,0.7368421052631579,0.7777777777777778,0.7887323943661971,336,90,60,210,0.8353069031472786,0.03372456964006254
false_gate_old_only,old_data,285,59,0.20701754385964913,61,78,-17,21,38,0,21,27,11,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7263157894736842,0.7254728132387707,0.7,0.6453900709219859,0.8055555555555556,116,28,50,91,0.8737687155240348,-0.0610224586288417
false_gate_old_only,third_batch,306,0,0.0,65,65,0,0,0,0,0,0,0,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,0.0
false_gate_old_only,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,0.0
false_gate_old_only,all_three_domains,696,59,0.08477011494252873,177,194,-17,21,38,0,21,27,11,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7212643678160919,0.7112676056338028,0.6498194945848376,0.6666666666666666,0.755868544600939,322,104,90,180,0.8353069031472786,-0.03826291079812216
false_gate_third_only,old_data,285,0,0.0,61,61,0,0,0,0,0,0,0,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,0.0
