strategy,scope,n,release_n,release_rate,released_error_n,review_rate,auto_pass_rate,remaining_error_n,fn,fp,balanced_accuracy,accuracy,f1,auc
pooled_old_third_zero_error_v161,old_data,285,59,0.20701754385964913,0,0.5543859649122806,0.4456140350877193,0,0,0,1.0,1.0,1.0,0.8737687155240348
pooled_old_third_zero_error_v161,third_batch,306,78,0.2549019607843137,0,0.5555555555555556,0.4444444444444444,1,1,0,0.9939024390243902,0.9967320261437909,0.9938650306748467,0.818270905923345
pooled_old_third_zero_error_v161,strict_external,108,20,0.18518518518518517,0,0.6851851851851852,0.3148148148148148,0,0,0,1.0,1.0,1.0,0.67317753749564
pooled_old_third_zero_error_v161,all_domains,699,157,0.2246065808297568,0,0.575107296137339,0.4248927038626609,1,1,0,0.9981481481481482,0.9985693848354793,0.9981447124304267,0.8353017353017353
old_only_selected,old_data,285,109,0.3824561403508772,0,0.37894736842105264,0.6210526315789474,0,0,0,1.0,1.0,1.0,0.8737687155240348
old_only_selected,third_batch,306,138,0.45098039215686275,5,0.35947712418300654,0.6405228758169934,6,5,1,0.9672800522648084,0.9803921568627451,0.9625,0.818270905923345
old_only_selected,strict_external,108,40,0.37037037037037035,0,0.5,0.5,0,0,0,1.0,1.0,1.0,0.67317753749564
old_only_selected,all_domains,699,287,0.4105865522174535,5,0.38912732474964234,0.6108726752503576,6,5,1,0.9895752395752395,0.9914163090128756,0.9888059701492538,0.8353017353017353
third_only_selected,old_data,285,53,0.18596491228070175,0,0.5754385964912281,0.4245614035087719,0,0,0,1.0,1.0,1.0,0.8737687155240348
third_only_selected,third_batch,306,74,0.24183006535947713,0,0.5686274509803921,0.43137254901960786,1,1,0,0.9939024390243902,0.9967320261437909,0.9938650306748467,0.818270905923345
third_only_selected,strict_external,108,18,0.16666666666666666,0,0.7037037037037037,0.2962962962962963,0,0,0,1.0,1.0,1.0,0.67317753749564
third_only_selected,all_domains,699,145,0.20743919885550788,0,0.592274678111588,0.40772532188841204,1,1,0,0.9981481481481482,0.9985693848354793,0.9981447124304267,0.8353017353017353
leave_domain_intersection,old_data,285,52,0.1824561403508772,0,0.5789473684210527,0.42105263157894735,0,0,0,1.0,1.0,1.0,0.8737687155240348
leave_domain_intersection,third_batch,306,74,0.24183006535947713,0,0.5686274509803921,0.43137254901960786,1,1,0,0.9939024390243902,0.9967320261437909,0.9938650306748467,0.818270905923345
leave_domain_intersection,strict_external,108,18,0.16666666666666666,0,0.7037037037037037,0.2962962962962963,0,0,0,1.0,1.0,1.0,0.67317753749564
leave_domain_intersection,all_domains,699,144,0.20600858369098712,0,0.5937052932761088,0.4062947067238913,1,1,0,0.9981481481481482,0.9985693848354793,0.9981447124304267,0.8353017353017353
balanced_zero_error,old_data,285,59,0.20701754385964913,0,0.5543859649122806,0.4456140350877193,0,0,0,1.0,1.0,1.0,0.8737687155240348
balanced_zero_error,third_batch,306,78,0.2549019607843137,0,0.5555555555555556,0.4444444444444444,1,1,0,0.9939024390243902,0.9967320261437909,0.9938650306748467,0.818270905923345
balanced_zero_error,strict_external,108,20,0.18518518518518517,0,0.6851851851851852,0.3148148148148148,0,0,0,1.0,1.0,1.0,0.67317753749564
balanced_zero_error,all_domains,699,157,0.2246065808297568,0,0.575107296137339,0.4248927038626609,1,1,0,0.9981481481481482,0.9985693848354793,0.9981447124304267,0.8353017353017353
