evidence_line,source,status,eval_domain,n,auto_pass_rate,review_or_reject_rate,auto_correct_rate,balanced_accuracy,accuracy,f1,fn,fp,note
30% low-confidence selective review baseline,v159,baseline,all_domains,696,0.6982758620689655,0.3017241379310345,0.0,0.8790297339593114,0.8793103448275862,0.8494623655913979,33,51,30% review budget; reviewed cases are assumed corrected.
30% low-confidence selective review baseline,v159,baseline,strict_external,105,0.6952380952380952,0.3047619047619048,0.0,0.780997798972854,0.7714285714285715,0.7735849056603774,6,18,30% review budget; reviewed cases are assumed corrected.
30% dev-stable direction router,v159,router candidate,all_domains,696,0.6982758620689655,0.3017241379310345,0.0,0.8804642670839854,0.889367816091954,0.8549905838041432,43,34,30% review budget; reviewed cases are assumed corrected.
30% dev-stable direction router,v159,router candidate,strict_external,105,0.6952380952380952,0.3047619047619048,0.0,0.7987894350696991,0.8,0.7789473684210526,10,11,30% review budget; reviewed cases are assumed corrected.
30% image-direction router,v159,router candidate,all_domains,696,0.6982758620689655,0.3017241379310345,0.0,0.8794209702660407,0.8922413793103449,0.8554913294797688,48,27,30% review budget; reviewed cases are assumed corrected.
30% image-direction router,v159,router candidate,strict_external,105,0.6952380952380952,0.3047619047619048,0.0,0.8059427732942039,0.819047619047619,0.7710843373493976,15,4,30% review budget; reviewed cases are assumed corrected.
v118 high-safety two-signal scorecard,v159,high-safety baseline,all_domains,699,0.2002861230329041,0.7997138769670958,0.0,0.9981481481481482,0.9985693848354792,0.9981447124304268,1,0,Review/control cases are assumed corrected; this is the current high-safety scorecard operating point.
v118 high-safety two-signal scorecard,v159,high-safety baseline,strict_external,108,0.1296296296296296,0.8703703703703703,0.0,1.0,1.0,1.0,0,0,Review/control cases are assumed corrected; this is the current high-safety scorecard operating point.
severe-shift gated concept auto-correction,v159,auto-correction candidate,all_domains,696,0.9497126436781608,0.0,0.050287356321839,0.7832550860719875,0.7844827586206896,0.7368421052631579,60,90,No review is added here; this isolates the gated auto-correction module.
severe-shift gated concept auto-correction,v159,auto-correction candidate,strict_external,105,0.6666666666666666,0.0,0.3333333333333333,0.7709097578870139,0.7714285714285715,0.75,11,13,No review is added here; this isolates the gated auto-correction module.
v161 safe-release high-safety scorecard,v161/v162/v164,current high-safety efficiency candidate,all_domains,699,0.4248927038626609,0.575107296137339,0.0,0.9981481481481482,0.9985693848354792,0.9981447124304268,1,0,
v161 safe-release high-safety scorecard,v161/v162/v164,current high-safety efficiency candidate,old_data,285,0.4456140350877193,0.5543859649122806,0.0,1.0,1.0,1.0,0,0,
v161 safe-release high-safety scorecard,v161/v162/v164,current high-safety efficiency candidate,third_batch,306,0.4444444444444444,0.5555555555555556,0.0,0.9939024390243902,0.9967320261437908,0.9938650306748468,1,0,
v161 safe-release high-safety scorecard,v161/v162/v164,current high-safety efficiency candidate,strict_external,108,0.3148148148148148,0.6851851851851852,0.0,1.0,1.0,1.0,0,0,
