workflow,scope,n,release_n,release_rate,released_error_n,review_rate,auto_pass_rate,remaining_error_n,fn,fp,balanced_accuracy,accuracy,f1,auc
outer_domain_intersection_fold_1,heldout_fold_1,119,23,0.19327731092436976,1,0.6050420168067226,0.3949579831932773,1,1,0,0.9891304347826086,0.9915966386554622,0.989010989010989,0.8478260869565217
outer_domain_intersection_fold_2,heldout_fold_2,118,26,0.22033898305084745,1,0.5677966101694916,0.4322033898305085,1,1,0,0.9886363636363636,0.9915254237288136,0.9885057471264368,0.8406019656019655
outer_domain_intersection_fold_3,heldout_fold_3,118,22,0.1864406779661017,0,0.576271186440678,0.423728813559322,1,1,0,0.9886363636363636,0.9915254237288136,0.9885057471264368,0.832002457002457
outer_domain_intersection_fold_4,heldout_fold_4,118,22,0.1864406779661017,2,0.6186440677966102,0.3813559322033898,2,1,1,0.981879606879607,0.9830508474576272,0.9772727272727273,0.8667076167076168
outer_domain_intersection_fold_5,heldout_fold_5,118,32,0.2711864406779661,0,0.5084745762711864,0.4915254237288136,0,0,0,1.0,1.0,1.0,0.917199391171994
outer_domain_intersection,old_data,285,52,0.1824561403508772,0,0.5789473684210527,0.42105263157894735,0,0,0,1.0,1.0,1.0,0.8737687155240348
outer_domain_intersection,third_batch,306,73,0.238562091503268,4,0.5718954248366013,0.42810457516339867,5,4,1,0.9733776132404182,0.9836601307189542,0.968944099378882,0.818270905923345
outer_domain_intersection,internal_all,591,125,0.21150592216582065,4,0.5752961082910322,0.42470389170896783,5,4,1,0.9896726944823553,0.9915397631133672,0.9887133182844243,0.860011698186781
outer_domain_intersection_external_vote_ge_1,strict_external,108,33,0.3055555555555556,0,0.5648148148148148,0.4351851851851852,0,0,0,1.0,1.0,1.0,0.67317753749564
outer_domain_intersection_external_vote_ge_3,strict_external,108,18,0.16666666666666666,0,0.7037037037037037,0.2962962962962963,0,0,0,1.0,1.0,1.0,0.67317753749564
outer_domain_intersection_external_vote_ge_5,strict_external,108,16,0.14814814814814814,0,0.7222222222222222,0.2777777777777778,0,0,0,1.0,1.0,1.0,0.67317753749564
outer_inner_fold_intersection_fold_1,heldout_fold_1,119,23,0.19327731092436976,1,0.6050420168067226,0.3949579831932773,1,1,0,0.9891304347826086,0.9915966386554622,0.989010989010989,0.8478260869565217
outer_inner_fold_intersection_fold_2,heldout_fold_2,118,25,0.211864406779661,0,0.576271186440678,0.423728813559322,0,0,0,1.0,1.0,1.0,0.8406019656019655
outer_inner_fold_intersection_fold_3,heldout_fold_3,118,22,0.1864406779661017,0,0.576271186440678,0.423728813559322,1,1,0,0.9886363636363636,0.9915254237288136,0.9885057471264368,0.832002457002457
outer_inner_fold_intersection_fold_4,heldout_fold_4,118,21,0.17796610169491525,1,0.6271186440677966,0.3728813559322034,1,0,1,0.9932432432432432,0.9915254237288136,0.9887640449438202,0.8667076167076168
outer_inner_fold_intersection_fold_5,heldout_fold_5,118,34,0.288135593220339,0,0.4915254237288136,0.5084745762711864,0,0,0,1.0,1.0,1.0,0.917199391171994
outer_inner_fold_intersection,old_data,285,53,0.18596491228070175,0,0.5754385964912281,0.4245614035087719,0,0,0,1.0,1.0,1.0,0.8737687155240348
outer_inner_fold_intersection,third_batch,306,72,0.23529411764705882,2,0.5751633986928104,0.42483660130718953,3,2,1,0.9855727351916377,0.9901960784313726,0.9815950920245399,0.818270905923345
outer_inner_fold_intersection,internal_all,591,125,0.21150592216582065,2,0.5752961082910322,0.42470389170896783,3,2,1,0.9941569994150907,0.9949238578680203,0.9932584269662922,0.860011698186781
outer_inner_fold_intersection_external_vote_ge_1,strict_external,108,34,0.3148148148148148,0,0.5555555555555556,0.4444444444444444,0,0,0,1.0,1.0,1.0,0.67317753749564
outer_inner_fold_intersection_external_vote_ge_3,strict_external,108,18,0.16666666666666666,0,0.7037037037037037,0.2962962962962963,0,0,0,1.0,1.0,1.0,0.67317753749564
outer_inner_fold_intersection_external_vote_ge_5,strict_external,108,18,0.16666666666666666,0,0.7037037037037037,0.2962962962962963,0,0,0,1.0,1.0,1.0,0.67317753749564
