domain,fold_id,n,released_n,released_error_n,final_review_rate,auto_pass_rate
old_data,1,57,10,0,0.5789473684210527,0.42105263157894735
old_data,2,57,13,0,0.5087719298245614,0.49122807017543857
old_data,3,57,13,0,0.5614035087719298,0.43859649122807015
old_data,4,57,6,0,0.6491228070175439,0.3508771929824561
old_data,5,57,17,0,0.47368421052631576,0.5263157894736842
third_batch,1,62,13,0,0.6290322580645161,0.3709677419354839
third_batch,2,61,17,0,0.5573770491803278,0.4426229508196721
third_batch,3,61,15,0,0.4918032786885246,0.5081967213114754
third_batch,4,61,16,0,0.5901639344262295,0.4098360655737705
third_batch,5,61,17,0,0.5081967213114754,0.4918032786885246
