review_policy,model,feature_set,confidence_threshold,scope,n,original_review_rate,auto_correct_n,auto_correct_rate,remaining_review_n,remaining_review_rate,auto_correct_error_n,auto_correct_error_rate_among_corrected,rescued_n,hurt_n,accuracy,balanced_accuracy,f1,auc,fn,fp,selected_threshold_by_internal_oof
v118_review_or_control,tabular_logreg_c1,tabular,0.95,old_data,285,0.7614035087719299,196,0.6877192982456141,21,0.07368421052631578,0,0.0,0,0,1.0,1.0,1.0,0.9968971631205674,0,0,0.95
v118_review_or_control,tabular_logreg_c1,tabular,0.95,third_batch,306,0.8104575163398693,135,0.4411764705882353,113,0.369281045751634,4,0.02962962962962963,0,0,0.9836601307189542,0.977243031358885,0.9693251533742331,0.9642312717770035,3,2,0.95
v118_review_or_control,tabular_logreg_c1,tabular,0.95,strict_external,108,0.8703703703703703,90,0.8333333333333334,4,0.037037037037037035,0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0.95
v118_review_or_control,tabular_logreg_c1,tabular,0.95,all_domains,699,0.7997138769670958,421,0.6022889842632332,138,0.19742489270386265,4,0.009501187648456057,0,0,0.9928469241773963,0.9921134421134421,0.9907235621521335,0.9892428559095225,3,2,0.95
v161_final_review_or_reject,tabular_logreg_c1,tabular,0.95,old_data,285,0.5543859649122806,121,0.4245614035087719,37,0.12982456140350876,0,0.0,0,0,1.0,1.0,1.0,0.9964046493301812,0,0,0.95
v161_final_review_or_reject,tabular_logreg_c1,tabular,0.95,third_batch,306,0.5555555555555556,103,0.3366013071895425,67,0.21895424836601307,2,0.019417475728155338,0,0,0.9901960784313726,0.9894381533101045,0.9818181818181818,0.9793118466898953,1,2,0.95
v161_final_review_or_reject,tabular_logreg_c1,tabular,0.95,strict_external,108,0.6851851851851852,64,0.5925925925925926,10,0.09259259259259259,0,0.0,0,0,1.0,1.0,1.0,0.9996512033484478,0,0,0.95
v161_final_review_or_reject,tabular_logreg_c1,tabular,0.95,all_domains,699,0.575107296137339,288,0.41201716738197425,114,0.1630901287553648,2,0.006944444444444444,0,0,0.9957081545064378,0.9958171458171459,0.9944547134935305,0.9913062246395579,1,2,0.95
v118_review_or_control,dino_pca64_logreg_c03,dino,0.9,old_data,285,0.7614035087719299,28,0.09824561403508772,189,0.6631578947368421,9,0.32142857142857145,0,9,0.968421052631579,0.9683067375886525,0.967741935483871,0.7160657998423955,6,3,0.9
v118_review_or_control,dino_pca64_logreg_c03,dino,0.9,third_batch,306,0.8104575163398693,27,0.08823529411764706,221,0.7222222222222222,2,0.07407407407407407,0,2,0.9901960784313726,0.9817073170731707,0.9813664596273292,0.7594729965156796,3,0,0.9
v118_review_or_control,dino_pca64_logreg_c03,dino,0.9,strict_external,108,0.8703703703703703,6,0.05555555555555555,88,0.8148148148148148,3,0.5,0,3,0.9722222222222222,0.9729682595047087,0.968421052631579,0.6794558772235787,1,2,0.9
v118_review_or_control,dino_pca64_logreg_c03,dino,0.9,all_domains,699,0.7997138769670958,61,0.08726752503576538,498,0.7124463519313304,14,0.22950819672131148,0,14,0.9785407725321889,0.9756539756539756,0.9719626168224299,0.7355089355089355,10,5,0.9
v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.5,old_data,285,0.5543859649122806,158,0.5543859649122806,0,0.0,94,0.5949367088607594,1,94,0.6701754385964912,0.6701388888888888,0.6666666666666666,0.7345843183609141,47,47,0.5
v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.5,third_batch,306,0.5555555555555556,170,0.5555555555555556,0,0.0,96,0.5647058823529412,3,91,0.6830065359477124,0.6443270905923345,0.48677248677248675,0.7054660278745644,36,61,0.5
v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.5,strict_external,108,0.6851851851851852,74,0.6851851851851852,0,0.0,33,0.44594594594594594,0,33,0.6944444444444444,0.666027206138821,0.56,0.6700383676316707,26,7,0.5
v161_final_review_or_reject,dino_pca64_logreg_c03,dino,0.5,all_domains,699,0.575107296137339,402,0.575107296137339,0,0.0,223,0.554726368159204,4,218,0.6795422031473534,0.6641155141155142,0.5897435897435898,0.7255460588793922,109,115,0.5
v118_review_or_control,dino_pca128_logreg_c01,dino,0.95,old_data,285,0.7614035087719299,49,0.17192982456140352,168,0.5894736842105263,20,0.40816326530612246,0,20,0.9298245614035088,0.9296690307328606,0.9280575539568345,0.6728230890464935,12,8,0.95
v118_review_or_control,dino_pca128_logreg_c01,dino,0.95,third_batch,306,0.8104575163398693,58,0.1895424836601307,190,0.6209150326797386,17,0.29310344827586204,0,16,0.9411764705882353,0.9173018292682926,0.8875,0.6839067944250872,11,7,0.95
v118_review_or_control,dino_pca128_logreg_c01,dino,0.95,strict_external,108,0.8703703703703703,15,0.1388888888888889,79,0.7314814814814815,6,0.4,0,6,0.9444444444444444,0.9459365190094176,0.9375,0.6006278339727938,2,4,0.95
v118_review_or_control,dino_pca128_logreg_c01,dino,0.95,all_domains,699,0.7997138769670958,122,0.17453505007153075,437,0.6251788268955651,43,0.3524590163934426,0,42,0.9370529327610873,0.9315591815591815,0.9176029962546817,0.6813001813001812,25,19,0.95
v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.7,old_data,285,0.5543859649122806,119,0.41754385964912283,39,0.1368421052631579,71,0.5966386554621849,0,71,0.7508771929824561,0.750812647754137,0.7473309608540926,0.6300236406619385,36,35,0.7
v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.7,third_batch,306,0.5555555555555556,124,0.40522875816993464,46,0.1503267973856209,69,0.5564516129032258,3,65,0.7712418300653595,0.727787456445993,0.5977011494252874,0.5904834494773518,30,40,0.7
v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.7,strict_external,108,0.6851851851851852,56,0.5185185185185185,18,0.16666666666666666,25,0.44642857142857145,0,25,0.7685185185185185,0.7462504359958144,0.6835443037974683,0.6149284966864319,20,5,0.7
v161_final_review_or_reject,dino_pca128_logreg_c01,dino,0.7,all_domains,699,0.575107296137339,299,0.42775393419170243,103,0.1473533619456366,165,0.5518394648829431,3,161,0.7625178826895566,0.7475006475006475,0.6891385767790262,0.6200811534144868,86,80,0.7
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.95,old_data,285,0.7614035087719299,16,0.056140350877192984,201,0.7052631578947368,3,0.1875,0,3,0.9894736842105263,0.9894355791962175,0.9893238434163701,0.7403467297084318,2,1,0.95
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.95,third_batch,306,0.8104575163398693,13,0.042483660130718956,235,0.7679738562091504,0,0.0,0,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.7591463414634146,1,0,0.95
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.95,strict_external,108,0.8703703703703703,4,0.037037037037037035,90,0.8333333333333334,1,0.25,0,1,0.9907407407407407,0.9893617021276595,0.989247311827957,0.6822462504359958,1,0,0.95
v118_review_or_control,tabular_dino_pca64_logreg_c03,tabular_dino,0.95,all_domains,699,0.7997138769670958,33,0.04721030042918455,526,0.7525035765379113,4,0.12121212121212122,0,4,0.9928469241773963,0.9914270914270914,0.9906890130353817,0.7475524475524475,4,1,0.95
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.85,old_data,285,0.5543859649122806,11,0.03859649122807018,147,0.5157894736842106,8,0.7272727272727273,0,8,0.9719298245614035,0.9717789598108748,0.9712230215827338,0.7402974783293932,6,2,0.85
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.85,third_batch,306,0.5555555555555556,14,0.0457516339869281,156,0.5098039215686274,5,0.35714285714285715,0,4,0.9803921568627451,0.9634146341463414,0.9620253164556962,0.6957752613240419,6,0,0.85
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.85,strict_external,108,0.6851851851851852,5,0.046296296296296294,69,0.6388888888888888,3,0.6,0,3,0.9722222222222222,0.9680851063829787,0.967032967032967,0.6648064178583886,3,0,0.85
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,0.85,all_domains,699,0.575107296137339,30,0.04291845493562232,372,0.5321888412017167,16,0.5333333333333333,0,15,0.9756795422031473,0.96989121989122,0.967741935483871,0.7242942242942243,15,2,0.85
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.6,old_data,285,0.7614035087719299,48,0.16842105263157894,169,0.5929824561403508,1,0.020833333333333332,0,1,0.9964912280701754,0.9964539007092199,0.99644128113879,0.9660165484633569,1,0,0.6
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.6,third_batch,306,0.8104575163398693,78,0.2549019607843137,170,0.5555555555555556,1,0.01282051282051282,0,0,0.9934640522875817,0.9878048780487805,0.9876543209876543,0.9184995644599303,2,0,0.6
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.6,strict_external,108,0.8703703703703703,8,0.07407407407407407,86,0.7962962962962963,0,0.0,0,0,1.0,1.0,1.0,0.8566445762120684,0,0,0.6
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,0.6,all_domains,699,0.7997138769670958,134,0.1917024320457797,425,0.6080114449213162,2,0.014925373134328358,0,1,0.9957081545064378,0.9944444444444445,0.994413407821229,0.9369593369593369,3,0,0.6
v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.55,old_data,285,0.5543859649122806,78,0.2736842105263158,80,0.2807017543859649,4,0.05128205128205128,0,4,0.9859649122807017,0.9858156028368794,0.9856115107913669,0.9760145784081954,4,0,0.55
v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.55,third_batch,306,0.5555555555555556,80,0.26143790849673204,90,0.29411764705882354,12,0.15,0,6,0.9575163398692811,0.9207317073170731,0.9139072847682119,0.9198061846689896,13,0,0.55
v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.55,strict_external,108,0.6851851851851852,35,0.32407407407407407,39,0.3611111111111111,1,0.02857142857142857,0,1,0.9907407407407407,0.9893617021276595,0.989247311827957,0.9141960237181723,1,0,0.55
v161_final_review_or_reject,tabular_dino_extra_trees_d4,tabular_dino,0.55,all_domains,699,0.575107296137339,193,0.2761087267525036,209,0.2989985693848355,17,0.08808290155440414,0,11,0.9742489270386266,0.9666666666666667,0.9655172413793104,0.949002849002849,18,0,0.55
v118_review_or_control,tabular_hgb_l2,tabular,0.95,old_data,285,0.7614035087719299,197,0.6912280701754386,20,0.07017543859649122,0,0.0,0,0,1.0,1.0,1.0,0.9968725374310482,0,0,0.95
v118_review_or_control,tabular_hgb_l2,tabular,0.95,third_batch,306,0.8104575163398693,215,0.7026143790849673,33,0.10784313725490197,6,0.027906976744186046,0,0,0.9771241830065359,0.9650479094076655,0.9565217391304348,0.9606108449477352,5,2,0.95
v118_review_or_control,tabular_hgb_l2,tabular,0.95,strict_external,108,0.8703703703703703,84,0.7777777777777778,10,0.09259259259259259,0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0.95
v118_review_or_control,tabular_hgb_l2,tabular,0.95,all_domains,699,0.7997138769670958,496,0.709585121602289,63,0.09012875536480687,6,0.012096774193548387,0,0,0.9899856938483548,0.9884097384097384,0.9869646182495344,0.9872830872830873,5,2,0.95
v161_final_review_or_reject,tabular_hgb_l2,tabular,0.95,old_data,285,0.5543859649122806,130,0.45614035087719296,28,0.09824561403508772,0,0.0,0,0,1.0,1.0,1.0,0.9960352639873917,0,0,0.95
v161_final_review_or_reject,tabular_hgb_l2,tabular,0.95,third_batch,306,0.5555555555555556,142,0.46405228758169936,28,0.0915032679738562,4,0.028169014084507043,0,0,0.9836601307189542,0.977243031358885,0.9693251533742331,0.9699205139372822,3,2,0.95
v161_final_review_or_reject,tabular_hgb_l2,tabular,0.95,strict_external,108,0.6851851851851852,67,0.6203703703703703,7,0.06481481481481481,0,0.0,0,0,1.0,1.0,1.0,0.9996512033484479,0,0,0.95
v161_final_review_or_reject,tabular_hgb_l2,tabular,0.95,all_domains,699,0.575107296137339,339,0.48497854077253216,63,0.09012875536480687,4,0.011799410029498525,0,0,0.9928469241773963,0.9921134421134421,0.9907235621521335,0.9885521885521886,3,2,0.95
